KSSS,MAPE_ML,MAPE_weights,MAPE_cur,Способ прогноза,Детали прогноза
1059,8.123,9.94,10.801,МЛ,SARIMAX
1060,5.629,6.63,7.147,МЛ,RandomForest
1062,6.102,7.41,8.406,МЛ,SARIMAX
1063,13.4,10.72,12.08,веса,"(0.01, 0.01, 0.98)"
1064,6.805,8.75,11.557,МЛ,RandomForest
1066,7.167,9.01,8.956,МЛ,RandomForest
1067,8.589,13.06,14.612,МЛ,SARIMAX
1068,10.583,10.04,11.529,веса,"(0.16, 0.26, 0.58)"
1071,7.344,8.77,8.608,МЛ,RandomForest
1072,7.482,23.13,30.395,МЛ,RandomForest
1073,7.013,8.98,11.817,МЛ,RandomForest
1077,6.035,9.05,12.853,МЛ,SARIMAX
1078,10.222,10.06,10.37,веса,"(0.19, 0.29, 0.52)"
1079,12.265,88.48,38.958,МЛ,RandomForest
1081,4.912,9.2,9.473,МЛ,SARIMAX
1083,9.302,10.12,12.493,МЛ,SARIMAX
1084,6.521,8.19,9.72,МЛ,SARIMAX
1087,8.129,13.65,16.217,МЛ,HoltWinters
1089,7.126,11.36,12.026,МЛ,RandomForest
1094,9.601,10.77,13.597,МЛ,RandomForest
1095,6.826,12.93,13.644,МЛ,HoltWinters
1097,13.41,9.29,12.241,веса,"(0.03, 0.00, 0.97)"
1101,8.338,7.31,9.247,веса,"(0.07, 0.02, 0.91)"
1102,9.516,9.72,12.241,МЛ,RandomForest
1104,6.001,7.7,10.267,МЛ,SARIMAX
1106,5.255,7.65,8.736,МЛ,SARIMAX
1110,6.565,7.24,9.591,МЛ,RandomForest
1115,14.392,18.48,21.358,МЛ,SARIMAX
1116,8.734,11.46,15.454,МЛ,SARIMAX
1119,8.197,14.21,15.592,МЛ,RandomForest
1120,43.247,21.62,26.68,веса,"(0.08, 0.16, 0.76)"
1121,7.719,16.01,12.918,МЛ,SARIMAX
1122,8.671,14.35,15.77,МЛ,SARIMAX
1252,11.538,14.67,16.495,МЛ,SARIMAX
1254,5.629,14.67,11.777,МЛ,SARIMAX
1255,4.447,11.05,9.829,МЛ,RandomForest
1256,6.61,46.03,25.516,МЛ,HoltWinters
1257,10.609,19.25,13.113,МЛ,RandomForest
1259,8.152,9.39,14.207,МЛ,RandomForest
1260,7.844,11.03,15.65,МЛ,SARIMAX
1261,7.297,10.35,10.491,МЛ,RandomForest
1262,8.666,17.1,18.937,МЛ,SARIMAX
1263,15.715,14.39,14.763,веса,"(0.60, 0.02, 0.38)"
1264,11.939,13.9,14.93,МЛ,RandomForest
1265,15.883,36.18,58.408,МЛ,SARIMAX
1266,6.511,8.06,7.924,МЛ,RandomForest
1268,10.645,11.45,11.727,МЛ,RandomForest
1269,12.559,18.73,18.984,МЛ,HoltWinters
1270,11.211,12.19,10.174,старая,старая
1271,170.296,71.8,96.877,веса,"(1.00, 0.00, 0.00)"
1273,6.865,14.31,12.182,МЛ,SARIMAX
1274,6.453,10.06,11.379,МЛ,RandomForest
1275,7.605,16.89,17.16,МЛ,RandomForest
1278,3.745,15.26,26.631,МЛ,SARIMAX
1279,4.724,7.5,9.266,МЛ,SARIMAX
1752,8.664,10.36,10.793,МЛ,RandomForest
1756,4.919,6.59,8.68,МЛ,RandomForest
1767,16.162,10.22,9.974,старая,старая
1777,8.585,7.84,9.123,веса,"(0.10, 0.09, 0.81)"
1779,17.71,18.3,10.636,старая,старая
1780,16.552,13.48,16.45,веса,"(0.00, 0.09, 0.91)"
1781,6.094,6.93,8.366,МЛ,HoltWinters
1783,19.264,16.73,12.924,старая,старая
1785,17.049,17.74,13.995,старая,старая
1788,11.061,11.72,18.038,МЛ,RandomForest
1789,8.007,25.92,14.01,МЛ,RandomForest
1794,6.496,19.03,21.873,МЛ,RandomForest
1798,22.271,15.14,13.624,старая,старая
1801,11.348,10.13,10.974,веса,"(0.10, 0.00, 0.90)"
1809,10.352,55.89,14.663,МЛ,HoltWinters
1810,17.321,21.19,18.818,МЛ,RandomForest
1811,11.441,19.81,25.121,МЛ,RandomForest
1814,6.966,9.21,10.361,МЛ,RandomForest
1823,9.531,11.39,12.051,МЛ,RandomForest
1827,12.983,16.49,12.76,старая,старая
1831,39.347,25.36,15.931,старая,старая
1834,14.02,13.73,10.351,старая,старая
1835,17.026,12.15,10.978,старая,старая
1837,11.294,12.18,13.726,МЛ,RandomForest
1845,13.183,30.11,39.104,МЛ,HoltWinters
1846,7.179,13.96,13.144,МЛ,SARIMAX
1855,21.433,26.17,27.087,МЛ,RandomForest
1856,1901.081,373.79,747.991,веса,"(0.00, 0.00, 1.00)"
1858,22.656,24.72,25.793,МЛ,RandomForest
1859,12.745,24.91,13.555,МЛ,RandomForest
1861,13.733,14.18,14.114,МЛ,SARIMAX
1862,11.146,14.84,14.789,МЛ,RandomForest
1863,10.358,17.4,19.276,МЛ,RandomForest
1864,20.181,16.73,11.738,старая,старая
1867,213.023,129.9,16.877,старая,старая
1873,13.761,24.15,22.421,МЛ,SARIMAX
1874,19.109,12.14,12.293,веса,"(0.39, 0.31, 0.30)"
1875,11.294,12.16,13.847,МЛ,RandomForest
1876,5.944,20.05,12.771,МЛ,RandomForest
