КССС|Веса|МАРЕ
104001|(0.02, 0.00, 0.98)|8.60
104005|(0.23, 0.43, 0.34)|46.80
104801|(0.04, 0.24, 0.72)|8.12
104802|(0.20, 0.20, 0.60)|9.82
1059|(0.07, 0.05, 0.88)|9.94
1060|(0.08, 0.00, 0.92)|6.63
1062|(0.12, 0.03, 0.85)|7.41
1063|(0.01, 0.01, 0.98)|10.72
1064|(0.06, 0.07, 0.87)|8.75
1066|(0.07, 0.01, 0.92)|9.01
1067|(0.04, 0.12, 0.84)|13.06
1068|(0.16, 0.26, 0.58)|10.04
1071|(0.11, 0.06, 0.83)|8.77
1072|(0.16, 0.00, 0.84)|23.13
1073|(0.00, 0.04, 0.96)|8.98
1077|(0.32, 0.12, 0.56)|9.05
1078|(0.19, 0.29, 0.52)|10.06
1079|(1.00, 0.00, 0.00)|88.48
1081|(0.08, 0.04, 0.88)|9.20
1083|(0.02, 0.01, 0.97)|10.12
1084|(0.13, 0.04, 0.83)|8.19
1087|(0.37, 0.16, 0.47)|13.65
1089|(0.11, 0.27, 0.62)|11.36
1094|(0.04, 0.06, 0.90)|10.77
1095|(0.00, 0.41, 0.59)|12.93
1097|(0.03, 0.00, 0.97)|9.29
1101|(0.07, 0.02, 0.91)|7.31
1102|(0.04, 0.02, 0.94)|9.72
1104|(0.04, 0.02, 0.94)|7.70
1106|(0.04, 0.02, 0.94)|7.65
1110|(0.04, 0.00, 0.96)|7.24
1115|(0.00, 0.46, 0.54)|18.48
1116|(0.00, 0.10, 0.90)|11.46
1119|(0.08, 0.04, 0.88)|14.21
1120|(0.08, 0.16, 0.76)|21.62
1121|(0.00, 0.04, 0.96)|16.01
1122|(0.00, 0.06, 0.94)|14.35
114401|(0.07, 0.27, 0.66)|12.49
114602|(0.05, 0.04, 0.91)|6.46
115002|(0.00, 0.36, 0.64)|14.48
115003|(0.00, 0.17, 0.83)|21.02
115007|(0.24, 0.43, 0.33)|22.93
118601|(0.98, 0.00, 0.02)|21.18
123002|(0.05, 0.11, 0.84)|7.38
124002|(0.00, 0.30, 0.70)|9.15
124401|(0.00, 0.31, 0.69)|10.12
1252|(0.00, 0.52, 0.48)|14.67
1254|(0.34, 0.29, 0.37)|14.67
1255|(0.58, 0.17, 0.25)|11.05
1256|(0.00, 0.89, 0.11)|46.03
125602|(0.33, 0.29, 0.38)|12.45
125603|(0.91, 0.07, 0.02)|13.96
125604|(0.27, 0.30, 0.43)|9.88
125605|(0.07, 0.12, 0.81)|8.67
125606|(0.00, 0.29, 0.71)|8.79
125607|(0.00, 0.17, 0.83)|7.28
