КССС|Веса|МАРЕ
125609|(0.93, 0.07, -0.00)|15.67
125610|(0.00, 0.51, 0.49)|16.77
125611|(0.00, 0.37, 0.63)|14.61
125613|(0.33, 0.25, 0.42)|10.77
125614|(1.00, 0.00, 0.00)|95.56
125615|(0.00, 0.41, 0.59)|15.46
125616|(0.46, 0.54, 0.00)|184.95
125617|(0.55, 0.20, 0.25)|10.19
125618|(0.49, 0.51, 0.00)|16.09
125619|(0.44, 0.31, 0.25)|19.91
125620|(0.50, 0.28, 0.22)|14.39
125621|(1.00, 0.00, 0.00)|399.75
125622|(1.00, 0.00, 0.00)|504.78
125623|(0.99, 0.00, 0.01)|17.02
125627|(1.00, 0.00, 0.00)|457.16
125628|(0.00, 0.00, 1.00)|362.77
125629|(0.88, 0.00, 0.12)|23.67
125631|(0.75, 0.25, 0.00)|22.72
125632|(0.98, 0.00, 0.02)|17.05
125634|(0.86, 0.14, 0.00)|21.02
125636|(0.00, 0.47, 0.53)|18.04
125638|(1.00, 0.00, 0.00)|16.76
125639|(0.85, 0.00, 0.15)|18.14
125641|(0.94, 0.00, 0.06)|19.18
125644|(0.00, 0.42, 0.58)|14.53
125647|(0.34, 0.47, 0.19)|10.78
125649|(0.00, 0.41, 0.59)|13.67
125650|(0.23, 0.63, 0.14)|16.10
125655|(0.00, 0.52, 0.48)|12.87
125656|(0.00, 0.10, 0.90)|15.62
125657|(0.00, 0.39, 0.61)|13.48
125662|(0.57, 0.20, 0.23)|13.99
125668|(0.13, 0.41, 0.46)|14.67
125669|(0.93, 0.07, -0.00)|20.11
1257|(1.00, 0.00, 0.00)|19.25
1259|(0.14, 0.01, 0.85)|9.39
1260|(0.05, 0.03, 0.92)|11.03
1261|(0.15, 0.08, 0.77)|10.35
1262|(0.26, 0.31, 0.43)|17.10
126204|(0.85, 0.09, 0.06)|10.37
1263|(0.60, 0.02, 0.38)|14.39
1264|(0.47, 0.16, 0.37)|13.90
1265|(0.00, 0.41, 0.59)|36.18
1266|(0.35, 0.25, 0.40)|8.06
1268|(0.34, 0.02, 0.64)|11.45
1269|(0.96, 0.00, 0.04)|18.73
1270|(0.00, 0.25, 0.75)|12.19
127001|(0.66, 0.00, 0.34)|12.69
127003|(0.60, 0.40, 0.00)|18.75
1271|(1.00, 0.00, 0.00)|71.80
1273|(0.93, 0.04, 0.03)|14.31
1274|(0.66, 0.02, 0.32)|10.06
1275|(0.40, 0.13, 0.47)|16.89
1278|(0.71, 0.00, 0.29)|15.26
127801|(0.91, 0.00, 0.09)|21.71
127802|(0.84, 0.16, 0.00)|30.68
1279|(0.54, 0.05, 0.41)|7.50
128201|(0.00, 0.23, 0.77)|14.17
128801|(0.67, 0.11, 0.22)|29.42
129003|(0.00, 0.29, 0.71)|11.71
129004|(0.03, 0.73, 0.24)|11.29
132002|(0.00, 0.24, 0.76)|9.15
132203|(0.09, 0.24, 0.67)|9.82
133206|(0.43, 0.30, 0.27)|16.77
133207|(0.00, 0.40, 0.60)|16.49
133208|(0.26, 0.24, 0.50)|13.32
133209|(0.05, 0.06, 0.89)|12.13
133210|(0.35, 0.24, 0.41)|12.44
133211|(0.13, 0.06, 0.81)|15.48
133212|(0.42, 0.40, 0.18)|23.47
133213|(0.36, 0.41, 0.23)|12.98
133214|(0.06, 0.32, 0.62)|15.70
133215|(0.18, 0.40, 0.42)|15.91
133216|(0.29, 0.00, 0.71)|18.48
133222|(0.48, 0.18, 0.34)|14.46
133223|(0.27, 0.24, 0.49)|20.91
133225|(0.67, 0.00, 0.33)|12.44
133227|(0.28, 0.07, 0.65)|12.35
133228|(0.56, 0.11, 0.33)|11.22
133229|(0.36, 0.06, 0.58)|11.54
133230|(0.01, 0.00, 0.99)|15.18
133232|(0.58, 0.02, 0.40)|11.82
133235|(0.00, 0.04, 0.96)|15.56
133237|(0.18, 0.40, 0.42)|20.11
133238|(0.03, 0.05, 0.92)|17.05
133239|(0.00, 0.12, 0.88)|62.92
133240|(0.10, 0.25, 0.65)|14.37
133241|(0.16, 0.15, 0.69)|12.89
133242|(0.80, 0.02, 0.18)|18.09
133244|(0.00, 0.89, 0.11)|61.90
133245|(0.00, 0.42, 0.58)|18.03
133246|(0.33, 0.07, 0.60)|13.90
133248|(0.04, 0.12, 0.84)|14.83
133249|(0.04, 0.18, 0.78)|14.51
133252|(0.00, 0.09, 0.91)|10.41
133253|(0.00, 0.47, 0.53)|45.19
133255|(0.16, 0.03, 0.81)|50.16
133256|(0.05, 0.08, 0.87)|7.64
133257|(0.05, 0.11, 0.84)|9.32
133259|(0.00, 0.57, 0.43)|25.22
133260|(0.42, 0.12, 0.46)|16.96
133264|(0.15, 0.27, 0.58)|12.53
133265|(0.67, 0.00, 0.33)|14.01
133266|(0.00, 0.09, 0.91)|9.57
133268|(0.52, 0.03, 0.45)|12.00
133269|(0.04, 0.08, 0.88)|11.19
133271|(0.00, 0.00, 1.00)|33.50
133272|(0.07, 0.24, 0.69)|9.81
133273|(0.00, 0.57, 0.43)|19.83
133274|(0.40, 0.10, 0.50)|10.50
133275|(0.69, 0.11, 0.20)|20.53
133276|(0.63, 0.15, 0.22)|10.83
133277|(0.17, 0.02, 0.81)|10.30
133282|(0.03, 0.14, 0.83)|13.12
133283|(0.00, 0.79, 0.21)|37.81
133284|(0.65, 0.02, 0.33)|86.95
133285|(0.37, 0.17, 0.46)|16.89
133286|(0.05, 0.15, 0.80)|18.39
133287|(0.07, 0.00, 0.93)|28.00
133288|(0.27, 0.09, 0.64)|16.02
133289|(0.01, 0.39, 0.60)|15.85
133292|(0.07, 0.03, 0.90)|9.19
133293|(0.07, 0.45, 0.48)|14.12
133294|(0.00, 0.24, 0.76)|12.50
133295|(0.15, 0.00, 0.85)|7.67
133296|(0.22, 0.06, 0.72)|8.71
133297|(0.06, 0.00, 0.94)|8.68
133298|(0.02, 0.04, 0.94)|8.19
133299|(0.01, 0.10, 0.89)|11.52
133300|(0.21, 0.09, 0.70)|10.57
133301|(0.06, 0.20, 0.74)|20.32
133302|(0.13, 0.16, 0.71)|12.57
133303|(0.11, 0.63, 0.26)|23.09
133304|(0.26, 0.13, 0.61)|11.38
133305|(0.00, 0.61, 0.39)|17.02
133306|(0.23, 0.32, 0.45)|12.28
133308|(0.00, 0.30, 0.70)|16.09
133309|(0.42, 0.05, 0.53)|11.71
133311|(0.55, 0.15, 0.30)|12.62
133313|(0.43, 0.13, 0.44)|12.68
133314|(0.30, 0.06, 0.64)|13.09
133315|(0.16, 0.11, 0.73)|9.88
133316|(0.05, 0.52, 0.43)|18.03
133317|(0.26, 0.45, 0.29)|22.11
133318|(0.00, 0.40, 0.60)|147.66
133319|(0.10, 0.20, 0.70)|9.58
133320|(0.22, 0.52, 0.26)|34.18
133321|(0.01, 0.33, 0.66)|16.07
133322|(0.12, 0.39, 0.49)|14.82
133324|(0.00, 0.44, 0.56)|21.86
133325|(0.00, 0.30, 0.70)|14.00
133327|(0.15, 0.29, 0.56)|17.94
133328|(0.00, 0.01, 0.99)|18.82
133330|(0.00, 0.19, 0.81)|27.09
133331|(0.00, 0.16, 0.84)|14.27
133332|(0.22, 0.09, 0.69)|10.28
133333|(0.16, 0.00, 0.84)|11.26
133334|(0.11, 0.09, 0.80)|9.62
133335|(0.75, 0.00, 0.25)|14.51
133336|(0.13, 0.50, 0.37)|15.04
133337|(0.37, 0.14, 0.49)|16.95
133338|(0.00, 0.32, 0.68)|10.65
133340|(0.00, 0.80, 0.20)|21.77
133341|(0.39, 0.37, 0.24)|12.85
133342|(0.03, 0.13, 0.84)|8.75
133343|(0.07, 0.39, 0.54)|15.19
133344|(0.39, 0.61, 0.00)|28.94
133345|(0.46, 0.20, 0.34)|15.08
133346|(0.07, 0.37, 0.56)|14.27
133348|(0.52, 0.13, 0.35)|14.42
133349|(0.08, 0.26, 0.66)|13.89
133350|(0.00, 0.21, 0.79)|12.31
133351|(0.08, 0.43, 0.49)|17.06
133352|(0.01, 0.40, 0.59)|12.90
133353|(0.40, 0.32, 0.28)|17.08
133354|(0.11, 0.10, 0.79)|9.21
133355|(0.00, 0.75, 0.25)|17.49
133356|(0.03, 0.06, 0.91)|8.24
133357|(0.23, 0.16, 0.61)|11.32
133358|(0.00, 0.54, 0.46)|11.29
133359|(0.00, 0.06, 0.94)|11.04
133361|(1.00, 0.00, 0.00)|68.91
133363|(0.27, 0.00, 0.73)|48.07
133364|(0.00, 0.49, 0.51)|38.29
133365|(0.32, 0.28, 0.40)|11.17
133367|(0.06, 0.16, 0.78)|9.43
133368|(0.02, 0.33, 0.65)|16.09
133370|(0.51, 0.08, 0.41)|13.46
133371|(0.00, 0.01, 0.99)|76.87
133372|(0.04, 0.24, 0.72)|8.85
133376|(0.36, 0.18, 0.46)|9.82
133377|(0.00, 0.12, 0.88)|13.31
133378|(0.00, 0.21, 0.79)|15.14
133379|(0.77, 0.00, 0.23)|11.97
133380|(0.11, 0.70, 0.19)|27.27
133381|(0.12, 0.23, 0.65)|10.98
133383|(0.00, 0.08, 0.92)|12.20
133386|(0.08, 0.08, 0.84)|7.80
133387|(0.00, 0.21, 0.79)|52.91
133388|(0.05, 0.00, 0.95)|48.43
133393|(0.04, 0.13, 0.83)|8.65
133394|(0.19, 0.40, 0.41)|12.19
133396|(0.09, 0.07, 0.84)|8.26
133397|(0.30, 0.18, 0.52)|9.07
133399|(0.00, 0.18, 0.82)|14.07
133400|(0.33, 0.16, 0.51)|10.12
133401|(0.00, 0.17, 0.83)|13.71
133402|(0.00, 0.33, 0.67)|17.29
133405|(0.11, 0.03, 0.86)|8.29
133406|(0.00, 0.12, 0.88)|14.23
133407|(0.10, 0.15, 0.75)|7.92
133408|(0.08, 0.00, 0.92)|10.03
133410|(0.00, 0.03, 0.97)|13.25
133411|(0.19, 0.03, 0.78)|10.01
133425|(0.00, 0.13, 0.87)|8.96
133426|(0.00, 1.00, 0.00)|475.76
133433|(0.00, 0.14, 0.86)|12.44
133434|(0.40, 0.48, 0.12)|22.34
133436|(0.00, 1.00, 0.00)|41.08
133437|(0.00, 0.36, 0.64)|18.55
133438|(0.54, 0.12, 0.34)|11.99
133439|(0.38, 0.19, 0.43)|13.45
133440|(0.00, 0.35, 0.65)|17.62
133441|(0.07, 0.30, 0.63)|9.65
133442|(0.00, 0.40, 0.60)|13.10
133443|(0.40, 0.20, 0.40)|10.42
133444|(0.02, 0.55, 0.43)|14.71
133447|(0.00, 1.00, 0.00)|34.58
133448|(0.45, 0.12, 0.43)|14.10
133449|(0.00, 0.89, 0.11)|24.02
133450|(0.43, 0.00, 0.57)|9.26
133451|(0.42, 0.26, 0.32)|11.34
133452|(0.00, 0.11, 0.89)|17.55
133453|(0.00, 0.01, 0.99)|9.83
133454|(0.02, 0.09, 0.89)|13.84
133455|(0.03, 0.05, 0.92)|8.00
133456|(0.30, 0.15, 0.55)|16.82
133457|(0.21, 0.08, 0.71)|8.95
133458|(0.42, 0.05, 0.53)|8.36
133459|(0.35, 0.15, 0.50)|9.27
133460|(0.32, 0.06, 0.62)|12.49
133461|(0.10, 0.06, 0.84)|10.11
133462|(0.02, 0.21, 0.77)|13.21
133463|(0.55, 0.38, 0.07)|75.66
133464|(0.00, 0.65, 0.35)|49.44
133465|(0.00, 0.38, 0.62)|13.61
133468|(0.00, 0.17, 0.83)|14.59
133469|(0.66, 0.00, 0.34)|16.61
133470|(0.60, 0.00, 0.40)|13.70
133471|(0.03, 0.02, 0.95)|8.52
133472|(0.72, 0.11, 0.17)|11.12
133473|(0.04, 0.02, 0.94)|9.47
133474|(0.00, 0.16, 0.84)|13.56
133475|(0.00, 0.38, 0.62)|14.10
133476|(0.00, 0.11, 0.89)|17.09
133477|(0.00, 0.09, 0.91)|11.15
133478|(0.00, 0.27, 0.73)|16.47
133479|(0.34, 0.13, 0.53)|12.62
133480|(0.30, 0.40, 0.30)|12.32
133481|(0.00, 0.60, 0.40)|19.61
133482|(0.00, 0.85, 0.15)|93.30
133483|(0.26, 0.31, 0.43)|16.14
133484|(0.38, 0.14, 0.48)|31.75
133485|(0.49, 0.10, 0.41)|19.05
133486|(0.33, 0.27, 0.40)|13.79
133487|(0.21, 0.27, 0.52)|8.10
133488|(0.00, 0.70, 0.30)|25.44
133489|(0.51, 0.10, 0.39)|12.41
133490|(0.00, 0.55, 0.45)|47.62
133492|(0.00, 0.75, 0.25)|18.54
133493|(0.00, 0.80, 0.20)|24.41
133494|(0.43, 0.19, 0.38)|14.06
133495|(0.20, 0.29, 0.51)|13.32
133496|(0.44, 0.24, 0.32)|9.46
133498|(0.25, 0.28, 0.47)|10.44
133499|(0.00, 0.50, 0.50)|23.42
133501|(0.06, 0.09, 0.85)|35.24
133506|(0.17, 0.30, 0.53)|17.83
133507|(0.12, 0.09, 0.79)|10.00
133508|(0.19, 0.03, 0.78)|11.05
133509|(0.00, 0.31, 0.69)|29.26
133511|(0.00, 0.30, 0.70)|30.09
133513|(0.19, 0.08, 0.73)|11.96
133514|(0.31, 0.29, 0.40)|17.37
133515|(0.03, 0.12, 0.85)|8.02
133517|(0.43, 0.40, 0.17)|16.99
133518|(0.00, 0.28, 0.72)|18.24
133519|(0.35, 0.09, 0.56)|12.10
133520|(0.22, 0.00, 0.78)|56.13
133522|(0.00, 0.82, 0.18)|48.86
133523|(0.03, 0.04, 0.93)|9.37
133525|(0.06, 0.17, 0.77)|6.98
133526|(0.48, 0.24, 0.28)|14.64
133527|(0.49, 0.12, 0.39)|9.69
133528|(0.69, 0.14, 0.17)|12.34
133529|(0.52, 0.05, 0.43)|11.06
133530|(0.61, 0.00, 0.39)|8.94
133531|(0.12, 0.00, 0.88)|9.04
133533|(0.21, 0.23, 0.56)|17.39
133534|(0.56, 0.17, 0.27)|10.63
133535|(0.13, 0.07, 0.80)|19.02
133536|(0.85, 0.12, 0.03)|318.99
133539|(0.32, 0.07, 0.61)|22.83
133540|(0.65, 0.23, 0.12)|16.01
133541|(0.26, 0.00, 0.74)|11.30
133542|(0.00, 0.45, 0.55)|21.30
133543|(0.71, 0.01, 0.28)|18.70
133544|(0.10, 0.07, 0.83)|8.49
133545|(0.07, 0.10, 0.83)|9.71
133546|(0.11, 0.07, 0.82)|8.63
133547|(0.55, 0.16, 0.29)|12.19
133548|(0.00, 0.25, 0.75)|10.54
133549|(0.00, 1.00, 0.00)|173.71
133550|(0.10, 0.24, 0.66)|9.86
133553|(0.14, 0.02, 0.84)|10.07
133554|(0.22, 0.20, 0.58)|15.43
133556|(0.45, 0.00, 0.55)|10.81
133557|(0.39, 0.24, 0.37)|13.62
133558|(0.00, 0.38, 0.62)|15.46
133559|(0.05, 0.18, 0.77)|10.08
133561|(0.47, 0.06, 0.47)|8.98
133564|(0.09, 0.04, 0.87)|8.61
133565|(0.34, 0.42, 0.24)|14.71
133566|(0.01, 0.04, 0.95)|18.11
133567|(0.22, 0.26, 0.52)|12.41
133568|(0.00, 0.06, 0.94)|9.28
133569|(0.00, 0.11, 0.89)|8.79
133570|(0.64, 0.15, 0.21)|10.41
133571|(0.02, 0.42, 0.56)|9.52
133572|(0.00, 0.54, 0.46)|29.22
133573|(0.30, 0.11, 0.59)|12.14
133574|(0.07, 0.14, 0.79)|14.40
133575|(0.70, 0.02, 0.28)|11.00
133577|(0.58, 0.24, 0.18)|10.60
133582|(0.39, 0.04, 0.57)|16.20
133583|(0.24, 0.15, 0.61)|26.14
133584|(0.00, 0.22, 0.78)|12.54
133589|(0.75, 0.15, 0.10)|12.96
133591|(0.95, 0.05, 0.00)|13.66
133592|(0.09, 0.02, 0.89)|7.67
133597|(0.14, 0.12, 0.74)|7.32
133599|(0.00, 0.43, 0.57)|12.86
133600|(0.00, 0.57, 0.43)|16.10
133601|(0.62, 0.15, 0.23)|12.17
133602|(1.00, 0.00, 0.00)|18.56
133603|(0.31, 0.08, 0.61)|11.57
133604|(0.91, 0.06, 0.03)|20.36
133605|(0.34, 0.07, 0.59)|9.75
133606|(0.10, 0.04, 0.86)|13.76
133607|(0.31, 0.24, 0.45)|11.28
133608|(0.00, 0.26, 0.74)|10.46
133609|(0.37, 0.13, 0.50)|12.10
133610|(0.34, 0.03, 0.63)|12.53
133611|(0.11, 0.01, 0.88)|8.89
133612|(0.68, 0.00, 0.32)|18.41
133613|(0.87, 0.08, 0.05)|14.17
133614|(0.00, 0.07, 0.93)|6.82
133615|(0.95, 0.05, 0.00)|12.79
133616|(0.02, 0.09, 0.89)|7.59
133617|(0.04, 0.06, 0.90)|7.17
133618|(0.85, 0.10, 0.05)|12.99
133619|(0.20, 0.08, 0.72)|8.61
133620|(0.61, 0.19, 0.20)|11.95
133621|(0.94, 0.06, 0.00)|15.47
133625|(0.83, 0.04, 0.13)|15.39
133626|(0.32, 0.13, 0.55)|12.00
133627|(0.31, 0.20, 0.49)|13.92
133629|(0.01, 0.05, 0.94)|9.17
133630|(0.25, 0.06, 0.69)|10.74
133631|(0.10, 0.18, 0.72)|11.30
133632|(0.00, 0.22, 0.78)|8.88
133633|(0.10, 0.22, 0.68)|11.00
133634|(0.00, 0.12, 0.88)|8.62
133636|(0.14, 0.15, 0.71)|12.25
133637|(0.00, 0.18, 0.82)|10.79
133638|(0.00, 0.29, 0.71)|9.97
133639|(0.00, 0.10, 0.90)|52.91
133640|(0.92, 0.08, -0.00)|19.87
133641|(0.26, 0.04, 0.70)|11.52
133642|(0.89, 0.00, 0.11)|13.99
133644|(0.14, 0.12, 0.74)|8.52
133645|(0.07, 0.03, 0.90)|10.61
133649|(0.30, 0.53, 0.17)|17.72
133650|(0.81, 0.15, 0.04)|10.43
133652|(0.04, 0.09, 0.87)|7.67
133653|(0.23, 0.16, 0.61)|9.70
133655|(0.33, 0.18, 0.49)|9.52
133656|(0.16, 0.15, 0.69)|7.75
133657|(0.00, 0.21, 0.79)|10.35
133659|(0.09, 0.04, 0.87)|9.45
133660|(0.15, 0.39, 0.46)|15.93
133662|(0.00, 0.00, 1.00)|82.95
133663|(0.27, 0.10, 0.63)|11.57
133664|(0.41, 0.07, 0.52)|8.57
133666|(0.00, 0.35, 0.65)|10.07
133667|(0.02, 0.05, 0.93)|11.32
133668|(0.00, 0.53, 0.47)|14.92
133670|(0.09, 0.08, 0.83)|7.73
133671|(0.71, 0.17, 0.12)|13.56
133672|(0.00, 0.11, 0.89)|11.66
133673|(0.14, 0.18, 0.68)|8.77
133674|(0.47, 0.16, 0.37)|6.64
133675|(0.02, 0.08, 0.90)|14.45
133676|(0.72, 0.28, 0.00)|18.29
133678|(0.06, 0.03, 0.91)|8.16
133679|(0.81, 0.04, 0.15)|8.95
133680|(0.90, 0.10, -0.00)|12.74
133682|(0.45, 0.17, 0.38)|12.55
133685|(0.40, 0.12, 0.48)|7.95
133686|(0.13, 0.09, 0.78)|5.94
133689|(0.08, 0.10, 0.82)|8.31
133690|(0.04, 0.06, 0.90)|9.53
133693|(0.04, 0.08, 0.88)|9.57
133695|(0.00, 0.00, 1.00)|805.06
133696|(0.98, 0.02, 0.00)|12.20
133697|(0.00, 0.39, 0.61)|15.46
133698|(0.07, 0.00, 0.93)|7.16
133699|(0.04, 0.18, 0.78)|11.94
133700|(0.86, 0.05, 0.09)|14.79
133702|(0.12, 0.01, 0.87)|7.80
133703|(0.04, 0.09, 0.87)|9.50
133706|(0.36, 0.23, 0.41)|9.96
133707|(0.15, 0.21, 0.64)|13.92
133708|(0.00, 0.23, 0.77)|16.10
133709|(0.38, 0.04, 0.58)|16.17
133710|(0.28, 0.00, 0.72)|9.73
133711|(0.77, 0.04, 0.19)|15.05
133712|(0.63, 0.14, 0.23)|11.96
133713|(0.45, 0.43, 0.12)|13.71
133714|(0.46, 0.54, 0.00)|15.35
133715|(0.96, 0.00, 0.04)|11.40
133716|(0.72, 0.25, 0.03)|17.81
133718|(0.73, 0.14, 0.13)|10.08
133719|(1.00, 0.00, 0.00)|11.60
133720|(0.04, 0.18, 0.78)|10.43
133721|(0.00, 0.19, 0.81)|11.02
133723|(0.00, 0.22, 0.78)|8.61
133724|(0.17, 0.00, 0.83)|28.84
133725|(0.85, 0.07, 0.08)|14.26
133727|(0.01, 0.21, 0.78)|7.41
133728|(0.91, 0.09, -0.00)|11.73
133732|(0.00, 0.24, 0.76)|9.12
133733|(0.73, 0.21, 0.06)|20.87
133735|(0.00, 0.33, 0.67)|15.66
133736|(0.57, 0.00, 0.43)|72.13
133738|(0.07, 0.09, 0.84)|9.28
133739|(0.27, 0.58, 0.15)|19.26
133740|(0.00, 0.86, 0.14)|75.85
133743|(0.00, 0.13, 0.87)|9.28
133744|(0.00, 0.06, 0.94)|12.59
133748|(0.06, 0.33, 0.61)|10.35
133749|(0.81, 0.07, 0.12)|17.71
133750|(0.85, 0.13, 0.02)|28.84
133751|(0.89, 0.04, 0.07)|11.60
133752|(0.27, 0.25, 0.48)|15.39
133756|(0.00, 0.26, 0.74)|48.90
133757|(0.13, 0.05, 0.82)|11.27
133758|(0.22, 0.17, 0.61)|15.54
133759|(0.00, 0.11, 0.89)|13.31
133760|(0.00, 0.75, 0.25)|18.08
133761|(0.78, 0.22, -0.00)|37.90
133763|(0.25, 0.60, 0.15)|14.56
133764|(0.00, 0.35, 0.65)|12.21
133765|(0.00, 0.70, 0.30)|15.64
133768|(0.00, 0.06, 0.94)|15.58
133769|(0.00, 0.87, 0.13)|33.11
133770|(0.00, 0.33, 0.67)|12.66
133771|(0.00, 0.26, 0.74)|8.87
133774|(0.23, 0.32, 0.45)|13.10
133777|(0.72, 0.28, 0.00)|17.27
133778|(0.13, 0.63, 0.24)|17.25
133779|(0.00, 0.32, 0.68)|21.67
133780|(0.24, 0.28, 0.48)|17.06
133781|(0.69, 0.14, 0.17)|18.24
133782|(0.02, 0.29, 0.69)|9.46
133783|(0.00, 0.19, 0.81)|9.16
133784|(0.07, 0.22, 0.71)|10.28
133785|(0.18, 0.44, 0.38)|9.37
133786|(0.00, 0.22, 0.78)|9.24
133787|(0.15, 0.28, 0.57)|12.01
133789|(0.52, 0.11, 0.37)|8.65
133790|(0.33, 0.11, 0.56)|9.63
133791|(0.00, 0.18, 0.82)|10.52
133792|(0.05, 0.48, 0.47)|12.84
133793|(0.21, 0.15, 0.64)|10.80
133794|(0.00, 0.35, 0.65)|8.88
133796|(0.74, 0.00, 0.26)|13.21
133798|(0.72, 0.00, 0.28)|12.40
133802|(0.00, 0.35, 0.65)|11.27
133804|(0.00, 0.33, 0.67)|12.83
133805|(0.82, 0.01, 0.17)|11.88
133806|(0.91, 0.04, 0.05)|24.70
133807|(0.31, 0.17, 0.52)|15.47
133808|(0.70, 0.30, 0.00)|15.01
133809|(0.63, 0.37, 0.00)|17.97
133810|(0.00, 0.34, 0.66)|23.41
133811|(0.65, 0.18, 0.17)|26.03
133812|(0.13, 0.54, 0.33)|13.82
133813|(0.00, 0.53, 0.47)|33.58
134001|(0.92, 0.08, -0.00)|118.31
134002|(0.01, 0.42, 0.57)|14.23
134003|(0.24, 0.10, 0.66)|15.83
134004|(0.07, 0.18, 0.75)|7.91
134005|(0.55, 0.08, 0.37)|9.62
134007|(0.00, 0.00, 1.00)|45.16
134009|(0.59, 0.14, 0.27)|10.59
134010|(0.00, 0.44, 0.56)|12.92
134011|(0.64, 0.15, 0.21)|16.84
134014|(0.50, 0.22, 0.28)|12.00
134015|(0.00, 0.43, 0.57)|53.40
134017|(0.06, 0.10, 0.84)|16.62
134020|(0.21, 0.67, 0.12)|14.41
134021|(0.11, 0.33, 0.56)|8.93
134022|(0.14, 0.47, 0.39)|13.00
134024|(0.71, 0.11, 0.18)|16.81
134026|(0.26, 0.53, 0.21)|18.69
134029|(0.37, 0.18, 0.45)|12.38
134030|(0.24, 0.18, 0.58)|14.11
134031|(0.55, 0.13, 0.32)|10.37
134034|(0.05, 0.06, 0.89)|11.28
134035|(0.22, 0.12, 0.66)|11.06
134036|(0.31, 0.22, 0.47)|9.03
134037|(0.05, 0.00, 0.95)|11.88
134039|(0.00, 0.92, 0.08)|79.80
134040|(0.23, 0.04, 0.73)|185.21
134041|(0.00, 0.15, 0.85)|16.00
134042|(0.00, 0.51, 0.49)|16.43
134043|(0.04, 0.08, 0.88)|11.12
134044|(0.00, 0.12, 0.88)|18.37
134045|(0.07, 0.08, 0.85)|10.52
134047|(0.19, 0.12, 0.69)|14.17
134048|(0.04, 0.10, 0.86)|14.64
134049|(0.00, 0.00, 1.00)|997.60
134050|(0.00, 0.25, 0.75)|22.50
134053|(0.24, 0.16, 0.60)|12.40
134054|(0.14, 0.35, 0.51)|22.05
134055|(0.00, 0.65, 0.35)|16.18
134057|(0.11, 0.08, 0.81)|8.84
134058|(0.07, 0.02, 0.91)|8.87
134059|(0.09, 0.04, 0.87)|10.56
134060|(0.08, 0.06, 0.86)|8.90
134061|(0.02, 0.35, 0.63)|34.11
134062|(0.01, 0.40, 0.59)|19.46
134063|(0.00, 0.48, 0.52)|387.86
134064|(1.00, 0.00, 0.00)|227.23
134065|(0.30, 0.65, 0.05)|17.27
134067|(0.13, 0.45, 0.42)|16.14
134068|(0.33, 0.20, 0.47)|9.82
134069|(0.41, 0.59, 0.00)|19.37
134071|(0.00, 0.00, 1.00)|47.15
134072|(0.22, 0.11, 0.67)|16.77
