ORG_KSSS,date,Чеки дневные,Чеки ночные,Часы дневные,Часы ночные,Совокупное кол-во суточных чеков,Совокупное кол-во суточных часов
1071,2026-02-01,624.0,197.0,24,12,821,36
1071,2026-02-02,679.0,215.0,36,12,894,48
1071,2026-02-03,697.0,220.0,36,12,917,48
1071,2026-02-04,702.0,222.0,36,12,924,48
1071,2026-02-05,705.0,223.0,36,12,928,48
1071,2026-02-06,698.0,221.0,36,12,919,48
1071,2026-02-07,692.0,219.0,36,12,911,48
1071,2026-02-08,626.0,198.0,24,12,824,36
1071,2026-02-09,669.0,212.0,36,12,881,48
1071,2026-02-10,677.0,214.0,36,12,891,48
1071,2026-02-11,678.0,214.0,36,12,892,48
1071,2026-02-12,677.0,214.0,36,12,891,48
1071,2026-02-13,691.0,219.0,36,12,910,48
1071,2026-02-14,670.0,212.0,36,12,882,48
1071,2026-02-15,609.0,193.0,24,12,802,36
1071,2026-02-16,668.0,211.0,36,12,879,48
1071,2026-02-17,690.0,218.0,36,12,908,48
1071,2026-02-18,684.0,216.0,36,12,900,48
1071,2026-02-19,687.0,217.0,36,12,904,48
1071,2026-02-20,695.0,220.0,36,12,915,48
1071,2026-02-21,675.0,214.0,36,12,889,48
1071,2026-02-22,611.0,193.0,24,12,804,36
1071,2026-02-23,659.0,209.0,36,12,868,48
1071,2026-02-24,670.0,212.0,36,12,882,48
1071,2026-02-25,677.0,214.0,36,12,891,48
1071,2026-02-26,668.0,211.0,36,12,879,48
1071,2026-02-27,690.0,218.0,36,12,908,48
1071,2026-02-28,664.0,210.0,36,12,874,48
1270,2026-02-01,297.0,54.0,12,12,351,24
1270,2026-02-02,301.0,55.0,12,12,356,24
1270,2026-02-03,308.0,56.0,12,12,364,24
1270,2026-02-04,321.0,59.0,12,12,380,24
1270,2026-02-05,339.0,62.0,12,12,401,24
1270,2026-02-06,331.0,61.0,12,12,392,24
1270,2026-02-07,310.0,57.0,12,12,367,24
1270,2026-02-08,303.0,55.0,12,12,358,24
1270,2026-02-09,287.0,52.0,12,12,339,24
1270,2026-02-10,285.0,52.0,12,12,337,24
1270,2026-02-11,287.0,52.0,12,12,339,24
1270,2026-02-12,298.0,55.0,12,12,353,24
1270,2026-02-13,289.0,53.0,12,12,342,24
1270,2026-02-14,277.0,51.0,12,12,328,24
1270,2026-02-15,271.0,50.0,12,12,321,24
1270,2026-02-16,259.0,47.0,12,12,306,24
1270,2026-02-17,260.0,48.0,12,12,308,24
1270,2026-02-18,262.0,48.0,12,12,310,24
1270,2026-02-19,282.0,51.0,12,12,333,24
1270,2026-02-20,273.0,50.0,12,12,323,24
1270,2026-02-21,269.0,49.0,12,12,318,24
1270,2026-02-22,266.0,49.0,12,12,315,24
1270,2026-02-23,279.0,51.0,12,12,330,24
1270,2026-02-24,290.0,53.0,12,12,343,24
1270,2026-02-25,300.0,55.0,12,12,355,24
1270,2026-02-26,298.0,54.0,12,12,352,24
1270,2026-02-27,290.0,53.0,12,12,343,24
1270,2026-02-28,283.0,52.0,12,12,335,24
1810,2026-02-01,140.0,34.0,12,12,174,24
1810,2026-02-02,140.0,34.0,12,12,174,24
1810,2026-02-03,141.0,34.0,12,12,175,24
1810,2026-02-04,138.0,33.0,12,12,171,24
1810,2026-02-05,148.0,36.0,12,12,184,24
1810,2026-02-06,129.0,31.0,12,12,160,24
1810,2026-02-07,118.0,28.0,12,12,146,24
1810,2026-02-08,136.0,33.0,12,12,169,24
1810,2026-02-09,140.0,34.0,12,12,174,24
1810,2026-02-10,141.0,34.0,12,12,175,24
1810,2026-02-11,138.0,33.0,12,12,171,24
1810,2026-02-12,148.0,36.0,12,12,184,24
1810,2026-02-13,129.0,31.0,12,12,160,24
1810,2026-02-14,118.0,28.0,12,12,146,24
1810,2026-02-15,136.0,33.0,12,12,169,24
1810,2026-02-16,140.0,34.0,12,12,174,24
1810,2026-02-17,141.0,34.0,12,12,175,24
1810,2026-02-18,138.0,33.0,12,12,171,24
1810,2026-02-19,148.0,36.0,12,12,184,24
1810,2026-02-20,129.0,31.0,12,12,160,24
1810,2026-02-21,118.0,28.0,12,12,146,24
1810,2026-02-22,137.0,33.0,12,12,170,24
1810,2026-02-23,140.0,34.0,12,12,174,24
1810,2026-02-24,141.0,34.0,12,12,175,24
1810,2026-02-25,138.0,33.0,12,12,171,24
1810,2026-02-26,148.0,36.0,12,12,184,24
1810,2026-02-27,129.0,31.0,12,12,160,24
1810,2026-02-28,118.0,28.0,12,12,146,24
2250,2026-02-01,298.0,88.0,12,12,386,24
2250,2026-02-02,304.0,90.0,12,12,394,24
2250,2026-02-03,305.0,90.0,12,12,395,24
2250,2026-02-04,308.0,91.0,12,12,399,24
2250,2026-02-05,334.0,98.0,12,12,432,24
2250,2026-02-06,324.0,95.0,12,12,419,24
