ORG_KSSS,date,Чеки дневные,Чеки ночные,Часы дневные,Часы ночные,Совокупное кол-во суточных чеков,Совокупное кол-во суточных часов
1270,2026-02-01,297.0,54.0,12,12,351,24
1270,2026-02-02,301.0,55.0,12,12,356,24
1270,2026-02-03,308.0,56.0,12,12,364,24
1270,2026-02-04,321.0,59.0,12,12,380,24
1270,2026-02-05,339.0,62.0,12,12,401,24
1270,2026-02-06,331.0,61.0,12,12,392,24
1270,2026-02-07,310.0,57.0,12,12,367,24
1270,2026-02-08,303.0,55.0,12,12,358,24
1270,2026-02-09,287.0,52.0,12,12,339,24
1270,2026-02-10,285.0,52.0,12,12,337,24
1270,2026-02-11,287.0,52.0,12,12,339,24
1270,2026-02-12,298.0,55.0,12,12,353,24
1270,2026-02-13,289.0,53.0,12,12,342,24
1270,2026-02-14,277.0,51.0,12,12,328,24
1270,2026-02-15,271.0,50.0,12,12,321,24
1270,2026-02-16,259.0,47.0,12,12,306,24
1270,2026-02-17,260.0,48.0,12,12,308,24
1270,2026-02-18,262.0,48.0,12,12,310,24
1270,2026-02-19,282.0,51.0,12,12,333,24
1270,2026-02-20,273.0,50.0,12,12,323,24
1270,2026-02-21,269.0,49.0,12,12,318,24
1270,2026-02-22,266.0,49.0,12,12,315,24
1270,2026-02-23,279.0,51.0,12,12,330,24
1270,2026-02-24,290.0,53.0,12,12,343,24
1270,2026-02-25,300.0,55.0,12,12,355,24
1270,2026-02-26,298.0,54.0,12,12,352,24
1270,2026-02-27,290.0,53.0,12,12,343,24
1270,2026-02-28,283.0,52.0,12,12,335,24
