ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
3432,2026-01-04,665,512.0,153.0
3432,2026-01-05,668,514.0,154.0
3432,2026-01-06,662,510.0,152.0
3432,2026-01-07,673,518.0,155.0
3432,2026-01-08,649,500.0,149.0
3432,2026-01-09,752,579.0,173.0
3432,2026-01-10,763,588.0,175.0
3432,2026-01-11,665,512.0,153.0
3432,2026-01-12,668,514.0,154.0
3432,2026-01-13,662,510.0,152.0
3432,2026-01-14,673,518.0,155.0
3432,2026-01-15,649,500.0,149.0
3432,2026-01-16,752,579.0,173.0
3432,2026-01-17,763,588.0,175.0
3432,2026-01-18,665,512.0,153.0
3432,2026-01-19,668,514.0,154.0
3432,2026-01-20,662,510.0,152.0
3432,2026-01-21,673,518.0,155.0
3432,2026-01-22,649,500.0,149.0
3432,2026-01-23,752,579.0,173.0
3432,2026-01-24,763,588.0,175.0
3432,2026-01-25,665,512.0,153.0
3432,2026-01-26,668,514.0,154.0
3432,2026-01-27,662,510.0,152.0
3432,2026-01-28,673,518.0,155.0
3432,2026-01-29,649,500.0,149.0
3432,2026-01-30,752,579.0,173.0
3432,2026-01-31,763,588.0,175.0
3432,2026-02-01,665,512.0,153.0
3432,2026-02-02,668,514.0,154.0
3432,2026-02-03,662,510.0,152.0
