КССС|Веса|МАРЕ
104001|(0.00, 0.00, 1.00)|9.07
104005|(0.26, 0.55, 0.19)|59.26
104801|(0.00, 0.30, 0.70)|8.48
104802|(0.30, 0.20, 0.50)|10.80
1059|(0.07, 0.05, 0.88)|10.67
1060|(0.07, 0.00, 0.93)|7.06
1062|(0.10, 0.00, 0.90)|7.59
1063|(0.00, 0.00, 1.00)|11.28
1064|(0.06, 0.08, 0.86)|9.35
1066|(0.06, 0.00, 0.94)|9.45
1067|(0.02, 0.09, 0.89)|14.00
1068|(0.15, 0.18, 0.67)|8.72
1069|(0.62, 0.09, 0.29)|11.24
1070|(0.00, 0.05, 0.95)|11.79
1071|(0.13, 0.09, 0.78)|9.60
1072|(0.13, 0.10, 0.77)|11.23
1073|(0.00, 0.05, 0.95)|9.45
1075|(0.00, 0.69, 0.31)|25.27
1077|(0.34, 0.05, 0.61)|7.46
1078|(0.21, 0.10, 0.69)|9.78
107801|(0.00, 0.53, 0.47)|33.83
1079|(1.00, 0.00, 0.00)|116.88
1081|(0.05, 0.02, 0.93)|8.60
1083|(0.01, 0.00, 0.99)|10.03
1084|(0.10, 0.00, 0.90)|7.12
1087|(0.37, 0.16, 0.47)|10.54
1089|(0.09, 0.36, 0.55)|10.96
1092|(0.03, 0.05, 0.92)|11.16
1094|(0.00, 0.09, 0.91)|10.80
1095|(0.00, 0.34, 0.66)|13.04
1097|(0.01, 0.00, 0.99)|8.95
1098|(0.01, 0.00, 0.99)|11.20
1101|(0.05, 0.01, 0.94)|7.57
1102|(0.03, 0.01, 0.96)|10.05
1104|(0.04, 0.06, 0.90)|7.13
1105|(0.12, 0.01, 0.87)|8.84
1106|(0.02, 0.00, 0.98)|7.91
1107|(0.14, 0.17, 0.69)|11.52
1108|(0.50, 0.17, 0.33)|15.69
1110|(0.02, 0.00, 0.98)|7.25
1112|(0.00, 0.51, 0.49)|181.72
1113|(0.00, 0.00, 1.00)|13.30
1114|(0.03, 0.06, 0.91)|7.83
1115|(0.00, 0.55, 0.45)|19.89
1116|(0.00, 0.10, 0.90)|11.94
1119|(0.06, 0.06, 0.88)|10.05
1120|(0.08, 0.18, 0.74)|17.04
1121|(0.00, 0.02, 0.98)|17.85
1122|(0.00, 0.08, 0.92)|15.47
114401|(0.13, 0.21, 0.66)|8.87
114602|(0.02, 0.04, 0.94)|6.44
115002|(0.00, 0.45, 0.55)|13.16
115003|(0.00, 0.22, 0.78)|25.10
115007|(0.24, 0.52, 0.24)|26.25
118601|(0.94, 0.06, 0.00)|19.04
123002|(0.03, 0.10, 0.87)|6.33
123401|(0.00, 0.05, 0.95)|8.26
124002|(0.00, 0.38, 0.62)|10.14
124401|(0.00, 0.32, 0.68)|10.12
1252|(0.15, 0.51, 0.34)|14.81
1253|(0.00, 0.87, 0.13)|17.06
1254|(0.49, 0.38, 0.13)|14.06
1255|(0.58, 0.31, 0.11)|9.90
1256|(0.09, 0.91, 0.00)|54.45
125601|(0.00, 0.38, 0.62)|13.60
125602|(0.37, 0.26, 0.37)|8.96
125603|(0.92, 0.08, -0.00)|14.45
125604|(0.30, 0.34, 0.36)|10.47
125605|(0.12, 0.14, 0.74)|8.44
125606|(0.00, 0.34, 0.66)|9.04
125607|(0.00, 0.22, 0.78)|7.65
125608|(0.00, 0.83, 0.17)|23.43
125609|(0.90, 0.10, -0.00)|17.42
125610|(0.00, 0.61, 0.39)|18.93
125611|(0.00, 0.39, 0.61)|16.09
125612|(0.00, 0.17, 0.83)|13.30
125613|(0.34, 0.21, 0.45)|11.16
125614|(1.00, 0.00, 0.00)|21.00
125615|(0.00, 0.46, 0.54)|16.90
125616|(0.56, 0.00, 0.44)|250.15
125617|(0.56, 0.19, 0.25)|10.54
125618|(0.49, 0.51, 0.00)|16.57
125619|(0.46, 0.54, 0.00)|20.82
125620|(0.54, 0.29, 0.17)|15.28
125621|(0.74, 0.17, 0.09)|17.38
125622|(0.92, 0.07, 0.01)|12.04
125623|(0.95, 0.05, 0.00)|16.67
125627|(0.88, 0.12, 0.00)|18.61
125628|(0.40, 0.15, 0.45)|24.09
125629|(0.85, 0.11, 0.04)|22.56
125631|(0.89, 0.05, 0.06)|22.45
125632|(1.00, 0.00, 0.00)|18.07
125634|(1.00, 0.00, 0.00)|19.48
125635|(0.91, 0.09, -0.00)|28.27
125636|(0.08, 0.46, 0.46)|18.00
125638|(1.00, 0.00, 0.00)|18.73
125639|(0.77, 0.00, 0.23)|16.82
125640|(0.75, 0.00, 0.25)|29.02
125641|(0.89, 0.04, 0.07)|17.58
125642|(0.00, 0.39, 0.61)|13.30
125643|(0.00, 0.33, 0.67)|10.93
125644|(0.24, 0.03, 0.73)|12.92
125645|(0.00, 0.40, 0.60)|10.71
125646|(0.00, 0.49, 0.51)|13.26
125647|(0.32, 0.16, 0.52)|8.73
125648|(0.11, 0.08, 0.81)|11.02
125649|(0.00, 0.21, 0.79)|10.96
125650|(0.22, 0.53, 0.25)|14.19
125651|(0.06, 0.18, 0.76)|10.32
125652|(0.53, 0.33, 0.14)|12.41
125653|(0.00, 0.43, 0.57)|19.16
125654|(0.20, 0.56, 0.24)|14.71
125655|(0.00, 0.60, 0.40)|12.29
125656|(0.03, 0.08, 0.89)|15.62
125657|(0.00, 0.13, 0.87)|12.24
125659|(0.03, 0.10, 0.87)|9.24
125660|(0.69, 0.15, 0.16)|10.30
125661|(0.00, 0.09, 0.91)|18.38
125662|(0.62, 0.06, 0.32)|14.33
125663|(0.68, 0.18, 0.14)|15.74
125664|(0.00, 0.30, 0.70)|18.12
125665|(0.18, 0.39, 0.43)|14.01
125666|(0.26, 0.30, 0.44)|15.30
125668|(0.06, 0.54, 0.40)|14.28
125669|(0.96, 0.04, 0.00)|22.37
1257|(0.89, 0.11, -0.00)|20.40
125801|(0.03, 0.34, 0.63)|12.89
1259|(0.15, 0.07, 0.78)|9.37
1260|(0.13, 0.00, 0.87)|9.39
1261|(0.16, 0.09, 0.75)|8.83
1262|(0.32, 0.39, 0.29)|19.52
126204|(0.86, 0.14, 0.00)|10.15
1263|(0.65, 0.00, 0.35)|14.95
1264|(0.48, 0.00, 0.52)|12.92
1265|(0.00, 0.41, 0.59)|36.18
1266|(0.38, 0.25, 0.37)|8.53
1268|(0.33, 0.04, 0.63)|11.20
1269|(0.97, 0.00, 0.03)|19.05
1270|(0.00, 0.24, 0.76)|11.42
127001|(0.68, 0.03, 0.29)|12.35
127003|(0.62, 0.38, 0.00)|20.31
1271|(0.75, 0.04, 0.21)|17.98
1273|(0.89, 0.11, -0.00)|13.36
1274|(0.68, 0.09, 0.23)|9.87
1275|(0.42, 0.26, 0.32)|18.42
1278|(0.86, 0.00, 0.14)|16.60
127801|(0.97, 0.00, 0.03)|21.82
127802|(0.89, 0.11, -0.00)|34.19
1279|(0.57, 0.00, 0.43)|7.23
128201|(0.00, 0.22, 0.78)|15.28
128801|(0.65, 0.25, 0.10)|27.96
129003|(0.00, 0.43, 0.57)|13.07
129004|(0.12, 0.38, 0.50)|9.20
129401|(0.89, 0.00, 0.11)|45.01
131803|(0.24, 0.73, 0.03)|21.44
132001|(0.19, 0.08, 0.73)|8.04
132002|(0.00, 0.24, 0.76)|9.65
132203|(0.07, 0.11, 0.82)|9.21
132802|(0.16, 0.04, 0.80)|5.47
133206|(0.48, 0.28, 0.24)|17.29
133207|(0.00, 0.18, 0.82)|11.35
133208|(0.27, 0.15, 0.58)|12.09
133209|(0.01, 0.11, 0.88)|10.61
133210|(0.36, 0.27, 0.37)|13.54
133211|(0.15, 0.06, 0.79)|15.53
133212|(0.43, 0.57, 0.00)|26.75
133213|(0.29, 0.32, 0.39)|10.36
133214|(0.03, 0.37, 0.60)|16.81
133215|(0.21, 0.22, 0.57)|15.63
133216|(0.34, 0.00, 0.66)|21.23
133222|(0.58, 0.23, 0.19)|15.42
133223|(0.24, 0.48, 0.28)|19.07
133225|(0.66, 0.00, 0.34)|13.08
133226|(0.28, 0.10, 0.62)|11.79
133227|(0.30, 0.14, 0.56)|12.29
133228|(0.58, 0.10, 0.32)|11.58
133229|(0.39, 0.08, 0.53)|12.70
133230|(0.03, 0.00, 0.97)|16.92
133232|(0.59, 0.11, 0.30)|10.81
133235|(0.00, 0.01, 0.99)|17.66
133237|(0.33, 0.50, 0.17)|18.77
133238|(0.05, 0.10, 0.85)|12.60
133239|(0.00, 0.08, 0.92)|82.48
133240|(0.13, 0.30, 0.57)|16.70
133241|(0.19, 0.19, 0.62)|14.84
133242|(0.73, 0.15, 0.12)|16.83
133244|(0.00, 0.92, 0.08)|74.33
133245|(0.00, 0.53, 0.47)|16.19
133246|(0.40, 0.12, 0.48)|14.64
133248|(0.05, 0.07, 0.88)|12.92
133249|(0.03, 0.23, 0.74)|16.08
133250|(0.02, 0.17, 0.81)|11.73
133251|(0.01, 0.59, 0.40)|20.22
133252|(0.00, 0.07, 0.93)|10.06
133253|(0.00, 0.26, 0.74)|39.41
133255|(0.16, 0.02, 0.82)|62.11
133256|(0.05, 0.06, 0.89)|8.26
133257|(0.07, 0.04, 0.89)|9.18
133259|(0.00, 0.66, 0.34)|26.41
133260|(0.33, 0.23, 0.44)|18.00
133264|(0.06, 0.23, 0.71)|11.98
133265|(0.68, 0.00, 0.32)|14.85
133266|(0.00, 0.07, 0.93)|10.22
133267|(0.27, 0.07, 0.66)|11.18
133268|(0.55, 0.04, 0.41)|13.08
133269|(0.05, 0.07, 0.88)|11.39
133270|(0.00, 0.46, 0.54)|16.35
133271|(0.00, 0.12, 0.88)|10.29
133272|(0.05, 0.27, 0.68)|10.47
133273|(0.00, 0.69, 0.31)|21.98
133274|(0.41, 0.09, 0.50)|10.89
133275|(0.71, 0.10, 0.19)|22.85
133276|(0.65, 0.15, 0.20)|11.07
133277|(0.22, 0.00, 0.78)|10.93
133279|(0.05, 0.00, 0.95)|13.83
133280|(0.20, 0.01, 0.79)|14.12
133281|(0.22, 0.00, 0.78)|13.44
133282|(0.00, 0.08, 0.92)|13.32
133283|(0.00, 0.94, 0.06)|36.61
133284|(0.56, 0.25, 0.19)|15.26
133285|(0.42, 0.19, 0.39)|13.79
133286|(0.06, 0.17, 0.77)|21.12
133287|(0.08, 0.00, 0.92)|7.83
133288|(0.20, 0.22, 0.58)|14.83
133289|(0.00, 0.39, 0.61)|16.71
133290|(0.03, 0.22, 0.75)|12.66
133292|(0.08, 0.01, 0.91)|7.62
133293|(0.04, 0.51, 0.45)|15.36
133294|(0.00, 0.25, 0.75)|13.44
133295|(0.11, 0.01, 0.88)|7.81
133296|(0.24, 0.05, 0.71)|9.02
133297|(0.06, 0.00, 0.94)|8.46
133298|(0.04, 0.00, 0.96)|8.56
133299|(0.00, 0.10, 0.90)|11.92
133300|(0.23, 0.08, 0.69)|11.14
133301|(0.20, 0.16, 0.64)|23.43
133302|(0.13, 0.06, 0.81)|11.24
133303|(0.04, 0.76, 0.20)|22.99
133304|(0.31, 0.00, 0.69)|12.29
133305|(0.00, 0.64, 0.36)|17.23
133306|(0.29, 0.29, 0.42)|13.48
133308|(0.00, 0.34, 0.66)|17.60
133309|(0.47, 0.07, 0.46)|12.85
133310|(0.28, 0.03, 0.69)|11.56
133311|(0.50, 0.30, 0.20)|13.51
133312|(0.00, 0.50, 0.50)|19.79
133313|(0.43, 0.22, 0.35)|13.79
133314|(0.34, 0.05, 0.61)|13.93
133315|(0.18, 0.05, 0.77)|9.33
133316|(0.05, 0.29, 0.66)|15.02
133317|(0.28, 0.59, 0.13)|23.16
133318|(0.00, 0.45, 0.55)|204.19
133319|(0.09, 0.22, 0.69)|10.22
133320|(0.43, 0.21, 0.36)|39.65
133321|(0.13, 0.37, 0.50)|18.38
133322|(0.20, 0.46, 0.34)|17.13
133323|(0.00, 0.82, 0.18)|31.44
133324|(0.00, 0.50, 0.50)|24.46
133325|(0.00, 0.25, 0.75)|12.73
133326|(1.00, 0.00, 0.00)|216.04
133327|(0.17, 0.51, 0.32)|18.45
133328|(0.00, 0.00, 1.00)|20.66
133330|(0.00, 0.20, 0.80)|31.72
133331|(0.00, 0.12, 0.88)|14.31
133332|(0.32, 0.04, 0.64)|9.72
133333|(0.15, 0.02, 0.83)|11.58
133334|(0.07, 0.06, 0.87)|8.07
133335|(0.79, 0.04, 0.17)|15.19
133336|(0.12, 0.58, 0.30)|13.43
133337|(0.37, 0.20, 0.43)|18.16
133338|(0.00, 0.26, 0.74)|8.40
133340|(0.00, 1.00, 0.00)|22.57
133341|(0.45, 0.21, 0.34)|10.82
133342|(0.00, 0.12, 0.88)|6.55
133343|(0.10, 0.33, 0.57)|15.19
133344|(0.39, 0.61, 0.00)|34.03
133345|(0.49, 0.23, 0.28)|15.80
133346|(0.11, 0.11, 0.78)|11.41
133347|(0.00, 0.68, 0.32)|17.07
133348|(0.56, 0.13, 0.31)|14.74
133349|(0.03, 0.43, 0.54)|11.37
133350|(0.00, 0.15, 0.85)|9.48
133351|(0.13, 0.36, 0.51)|14.44
133352|(0.01, 0.38, 0.61)|13.37
133353|(0.40, 0.24, 0.36)|15.72
133354|(0.08, 0.05, 0.87)|9.23
133355|(0.00, 0.80, 0.20)|18.75
133356|(0.01, 0.00, 0.99)|7.33
133357|(0.27, 0.22, 0.51)|12.28
133358|(0.04, 0.48, 0.48)|10.85
133359|(0.00, 0.00, 1.00)|7.08
133360|(0.36, 0.43, 0.21)|16.90
133361|(0.75, 0.25, 0.00)|11.55
133363|(0.35, 0.00, 0.65)|17.57
133364|(0.00, 0.61, 0.39)|45.98
133365|(0.37, 0.23, 0.40)|11.25
133366|(0.00, 0.00, 1.00)|223.96
133367|(0.03, 0.01, 0.96)|8.72
133368|(0.01, 0.03, 0.96)|16.47
133369|(0.20, 0.13, 0.67)|10.41
133370|(0.50, 0.14, 0.36)|14.30
133371|(0.00, 0.06, 0.94)|10.18
133372|(0.00, 0.17, 0.83)|7.99
133373|(0.02, 0.04, 0.94)|9.67
133374|(0.10, 0.16, 0.74)|6.98
133375|(0.00, 0.94, 0.06)|28.39
133376|(0.40, 0.11, 0.49)|9.71
133377|(0.01, 0.10, 0.89)|14.19
133378|(0.00, 0.23, 0.77)|16.52
133379|(0.77, 0.07, 0.16)|11.24
133380|(0.06, 0.84, 0.10)|29.61
133381|(0.12, 0.29, 0.59)|11.71
133383|(0.00, 0.04, 0.96)|12.01
133384|(0.00, 0.00, 1.00)|12.39
133385|(0.05, 0.00, 0.95)|7.67
133386|(0.06, 0.06, 0.88)|6.93
133387|(0.76, 0.24, 0.00)|24.80
133388|(0.05, 0.02, 0.93)|9.29
133393|(0.00, 0.03, 0.97)|7.58
133394|(0.19, 0.35, 0.46)|11.83
133395|(0.00, 0.00, 1.00)|12.84
133396|(0.07, 0.02, 0.91)|6.47
133397|(0.32, 0.20, 0.48)|8.87
133399|(0.00, 0.23, 0.77)|12.42
133400|(0.33, 0.03, 0.64)|10.19
133401|(0.00, 0.12, 0.88)|11.96
133402|(0.00, 0.29, 0.71)|17.95
133403|(0.00, 0.11, 0.89)|11.24
133404|(0.01, 0.00, 0.99)|8.10
133405|(0.10, 0.03, 0.87)|8.21
133406|(0.00, 0.04, 0.96)|10.68
133407|(0.07, 0.16, 0.77)|7.46
133408|(0.07, 0.00, 0.93)|8.28
133409|(0.05, 0.35, 0.60)|9.87
133410|(0.00, 0.02, 0.98)|13.68
133411|(0.15, 0.00, 0.85)|8.66
133425|(0.00, 0.07, 0.93)|8.41
133426|(0.00, 0.12, 0.88)|69.86
133433|(0.00, 0.09, 0.91)|10.47
133434|(0.39, 0.61, 0.00)|23.70
133436|(0.00, 1.00, 0.00)|26.79
133437|(0.00, 0.61, 0.39)|21.23
133438|(0.57, 0.27, 0.16)|12.51
133439|(0.39, 0.26, 0.35)|13.26
133440|(0.00, 0.36, 0.64)|17.86
133441|(0.07, 0.39, 0.54)|8.92
133442|(0.00, 0.47, 0.53)|12.79
133443|(0.41, 0.39, 0.20)|11.00
133444|(0.00, 0.50, 0.50)|15.42
133445|(0.34, 0.14, 0.52)|13.47
133446|(0.22, 0.31, 0.47)|14.88
133447|(0.00, 1.00, 0.00)|32.18
133448|(0.38, 0.28, 0.34)|14.96
133449|(0.00, 0.96, 0.04)|25.54
133450|(0.41, 0.02, 0.57)|9.01
133451|(0.50, 0.03, 0.47)|10.53
133452|(0.00, 0.08, 0.92)|18.70
133453|(0.00, 0.02, 0.98)|10.14
133454|(0.04, 0.08, 0.88)|14.37
133455|(0.02, 0.05, 0.93)|8.49
133456|(0.27, 0.38, 0.35)|18.11
133457|(0.24, 0.10, 0.66)|9.51
133458|(0.43, 0.15, 0.42)|8.41
133459|(0.43, 0.19, 0.38)|9.83
133460|(0.32, 0.11, 0.57)|11.94
133461|(0.10, 0.12, 0.78)|11.20
133462|(0.02, 0.23, 0.75)|13.67
133463|(0.45, 0.48, 0.07)|93.51
133464|(0.00, 0.78, 0.22)|61.47
133465|(0.00, 0.35, 0.65)|12.71
133468|(0.00, 0.18, 0.82)|14.65
133469|(0.55, 0.07, 0.38)|11.25
133470|(0.72, 0.04, 0.24)|11.94
133471|(0.01, 0.04, 0.95)|8.72
133472|(0.72, 0.27, 0.01)|11.05
133473|(0.00, 0.02, 0.98)|10.25
133474|(0.00, 0.09, 0.91)|14.53
133475|(0.00, 0.39, 0.61)|15.60
133476|(0.00, 0.12, 0.88)|18.16
133477|(0.00, 0.09, 0.91)|12.11
133478|(0.00, 0.44, 0.56)|18.12
133479|(0.23, 0.25, 0.52)|12.09
133480|(0.38, 0.39, 0.23)|12.80
133481|(0.00, 0.35, 0.65)|17.78
133482|(0.00, 0.97, 0.03)|82.43
133483|(0.22, 0.29, 0.49)|19.34
133484|(0.34, 0.29, 0.37)|36.40
133485|(0.54, 0.21, 0.25)|16.64
133486|(0.35, 0.35, 0.30)|15.20
133487|(0.22, 0.35, 0.43)|8.35
133488|(0.00, 0.72, 0.28)|24.82
133489|(0.55, 0.19, 0.26)|13.37
133490|(0.00, 0.61, 0.39)|57.31
133491|(0.02, 0.00, 0.98)|67.18
133492|(0.00, 0.83, 0.17)|20.69
133493|(0.00, 0.81, 0.19)|20.74
133494|(0.55, 0.05, 0.40)|13.94
133495|(0.21, 0.31, 0.48)|12.24
133496|(0.43, 0.18, 0.39)|8.35
133497|(0.52, 0.02, 0.46)|12.16
133498|(0.22, 0.09, 0.69)|9.93
133499|(0.00, 0.59, 0.41)|21.44
