ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
6481,2026-03-01,113.0,92.0,21.0
6481,2026-03-02,111.0,90.0,21.0
6481,2026-03-03,107.0,87.0,20.0
6481,2026-03-04,106.0,86.0,20.0
6481,2026-03-05,120.0,98.0,23.0
6481,2026-03-06,122.0,99.0,23.0
6481,2026-03-07,118.0,96.0,22.0
6481,2026-03-08,110.0,89.0,21.0
6481,2026-03-09,109.0,89.0,20.0
6481,2026-03-10,108.0,88.0,20.0
6481,2026-03-11,109.0,89.0,21.0
6481,2026-03-12,116.0,94.0,22.0
6481,2026-03-13,120.0,98.0,23.0
6481,2026-03-14,114.0,92.0,21.0
6481,2026-03-15,109.0,89.0,20.0
6481,2026-03-16,107.0,87.0,20.0
6481,2026-03-17,107.0,87.0,20.0
6481,2026-03-18,109.0,89.0,20.0
6481,2026-03-19,118.0,96.0,22.0
6481,2026-03-20,125.0,102.0,24.0
6481,2026-03-21,123.0,100.0,23.0
6481,2026-03-22,117.0,95.0,22.0
6481,2026-03-23,113.0,91.0,21.0
6481,2026-03-24,112.0,91.0,21.0
6481,2026-03-25,115.0,94.0,22.0
6481,2026-03-26,128.0,104.0,24.0
6481,2026-03-27,137.0,111.0,26.0
6481,2026-03-28,124.0,101.0,23.0
6481,2026-03-29,127.0,103.0,24.0
6481,2026-03-30,119.0,96.0,22.0
6481,2026-03-31,113.0,92.0,21.0
6482,2026-03-01,133.0,96.0,37.0
6482,2026-03-02,134.0,97.0,37.0
6482,2026-03-03,133.0,96.0,37.0
6482,2026-03-04,139.0,101.0,39.0
6482,2026-03-05,151.0,109.0,42.0
6482,2026-03-06,144.0,104.0,40.0
6482,2026-03-07,159.0,115.0,44.0
6482,2026-03-08,133.0,96.0,37.0
6482,2026-03-09,134.0,97.0,37.0
6482,2026-03-10,132.0,96.0,37.0
6482,2026-03-11,139.0,100.0,39.0
6482,2026-03-12,151.0,109.0,42.0
6482,2026-03-13,143.0,104.0,40.0
6482,2026-03-14,159.0,115.0,44.0
6482,2026-03-15,132.0,96.0,37.0
6482,2026-03-16,133.0,96.0,37.0
6482,2026-03-17,132.0,95.0,37.0
6482,2026-03-18,139.0,100.0,38.0
6482,2026-03-19,151.0,109.0,42.0
6482,2026-03-20,143.0,103.0,40.0
6482,2026-03-21,159.0,115.0,44.0
6482,2026-03-22,132.0,95.0,37.0
6482,2026-03-23,133.0,96.0,37.0
6482,2026-03-24,132.0,95.0,37.0
6482,2026-03-25,138.0,100.0,38.0
6482,2026-03-26,150.0,109.0,42.0
6482,2026-03-27,143.0,103.0,40.0
6482,2026-03-28,158.0,114.0,44.0
6482,2026-03-29,132.0,95.0,37.0
6482,2026-03-30,133.0,96.0,37.0
6482,2026-03-31,132.0,95.0,36.0
