ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
6481,2026-02-01,113.0,91.0,21.0
6481,2026-02-02,109.0,88.0,20.0
6481,2026-02-03,107.0,87.0,20.0
6481,2026-02-04,104.0,84.0,19.0
6481,2026-02-05,119.0,96.0,22.0
6481,2026-02-06,121.0,98.0,23.0
6481,2026-02-07,116.0,94.0,22.0
6481,2026-02-08,108.0,88.0,20.0
6481,2026-02-09,107.0,87.0,20.0
6481,2026-02-10,105.0,85.0,20.0
6481,2026-02-11,104.0,84.0,20.0
6481,2026-02-12,113.0,92.0,21.0
6481,2026-02-13,115.0,93.0,22.0
6481,2026-02-14,112.0,91.0,21.0
6481,2026-02-15,106.0,86.0,20.0
6481,2026-02-16,107.0,87.0,20.0
6481,2026-02-17,107.0,87.0,20.0
6481,2026-02-18,110.0,89.0,21.0
6481,2026-02-19,115.0,93.0,22.0
6481,2026-02-20,120.0,98.0,23.0
6481,2026-02-21,115.0,93.0,22.0
6481,2026-02-22,107.0,87.0,20.0
6481,2026-02-23,109.0,89.0,21.0
6481,2026-02-24,109.0,89.0,21.0
6481,2026-02-25,112.0,91.0,21.0
6481,2026-02-26,117.0,95.0,22.0
6481,2026-02-27,124.0,100.0,23.0
6481,2026-02-28,115.0,93.0,22.0
6482,2026-02-01,133.0,96.0,37.0
6482,2026-02-02,134.0,97.0,37.0
6482,2026-02-03,133.0,96.0,37.0
6482,2026-02-04,139.0,101.0,39.0
6482,2026-02-05,151.0,109.0,42.0
6482,2026-02-06,144.0,104.0,40.0
6482,2026-02-07,159.0,115.0,44.0
6482,2026-02-08,133.0,96.0,37.0
6482,2026-02-09,134.0,97.0,37.0
6482,2026-02-10,132.0,96.0,37.0
6482,2026-02-11,139.0,100.0,39.0
6482,2026-02-12,151.0,109.0,42.0
6482,2026-02-13,143.0,104.0,40.0
6482,2026-02-14,159.0,115.0,44.0
6482,2026-02-15,132.0,96.0,37.0
6482,2026-02-16,133.0,96.0,37.0
6482,2026-02-17,132.0,95.0,37.0
6482,2026-02-18,139.0,100.0,38.0
6482,2026-02-19,151.0,109.0,42.0
6482,2026-02-20,143.0,103.0,40.0
6482,2026-02-21,159.0,115.0,44.0
6482,2026-02-22,132.0,95.0,37.0
6482,2026-02-23,133.0,96.0,37.0
6482,2026-02-24,132.0,95.0,37.0
6482,2026-02-25,138.0,100.0,38.0
6482,2026-02-26,150.0,109.0,42.0
6482,2026-02-27,143.0,103.0,40.0
6482,2026-02-28,158.0,114.0,44.0
