ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
6481,2025-12-23,124.0,103.0,22.0
6481,2025-12-24,127.0,105.0,22.0
6481,2025-12-25,138.0,114.0,24.0
6481,2025-12-26,136.0,113.0,24.0
6481,2025-12-27,137.0,114.0,24.0
6481,2025-12-28,134.0,111.0,23.0
6481,2025-12-29,123.0,102.0,21.0
6481,2025-12-30,114.0,95.0,20.0
6481,2025-12-31,111.0,91.0,19.0
6481,2026-01-01,113.0,93.0,20.0
6481,2026-01-02,121.0,100.0,21.0
6481,2026-01-03,126.0,104.0,22.0
6481,2026-01-04,128.0,106.0,22.0
6481,2026-01-05,124.0,103.0,22.0
6481,2026-01-06,126.0,104.0,22.0
6481,2026-01-07,119.0,98.0,21.0
6481,2026-01-08,119.0,98.0,21.0
6481,2026-01-09,116.0,96.0,20.0
6481,2026-01-10,106.0,88.0,18.0
6481,2026-01-11,103.0,85.0,18.0
6481,2026-01-12,101.0,83.0,18.0
6481,2026-01-13,102.0,84.0,18.0
6481,2026-01-14,99.0,82.0,17.0
6481,2026-01-15,105.0,87.0,18.0
6481,2026-01-16,109.0,90.0,19.0
6481,2026-01-17,105.0,86.0,18.0
6481,2026-01-18,100.0,83.0,17.0
6481,2026-01-19,99.0,82.0,17.0
6481,2026-01-20,99.0,82.0,17.0
6481,2026-01-21,97.0,81.0,17.0
6481,2026-01-22,108.0,89.0,19.0
6482,2025-12-23,133.0,98.0,35.0
6482,2025-12-24,134.0,99.0,35.0
6482,2025-12-25,133.0,98.0,35.0
6482,2025-12-26,139.0,103.0,37.0
6482,2025-12-27,151.0,111.0,40.0
6482,2025-12-28,144.0,106.0,38.0
6482,2025-12-29,159.0,117.0,42.0
6482,2025-12-30,133.0,98.0,35.0
6482,2025-12-31,134.0,98.0,35.0
6482,2026-01-01,132.0,97.0,35.0
6482,2026-01-02,139.0,102.0,37.0
6482,2026-01-03,151.0,111.0,40.0
6482,2026-01-04,143.0,106.0,38.0
6482,2026-01-05,159.0,117.0,42.0
6482,2026-01-06,132.0,97.0,35.0
6482,2026-01-07,133.0,98.0,35.0
6482,2026-01-08,132.0,97.0,35.0
6482,2026-01-09,139.0,102.0,37.0
6482,2026-01-10,151.0,111.0,40.0
6482,2026-01-11,143.0,105.0,38.0
6482,2026-01-12,159.0,117.0,42.0
6482,2026-01-13,132.0,97.0,35.0
6482,2026-01-14,133.0,98.0,35.0
6482,2026-01-15,132.0,97.0,35.0
6482,2026-01-16,138.0,102.0,36.0
6482,2026-01-17,150.0,111.0,40.0
6482,2026-01-18,143.0,105.0,38.0
6482,2026-01-19,158.0,117.0,42.0
6482,2026-01-20,132.0,97.0,35.0
6482,2026-01-21,133.0,98.0,35.0
6482,2026-01-22,132.0,97.0,35.0
