ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
6481,2026-02-04,109.0,89.0,20.0
6481,2026-02-05,117.0,95.0,22.0
6481,2026-02-06,120.0,98.0,22.0
6481,2026-02-07,116.0,94.0,21.0
6481,2026-02-08,113.0,92.0,21.0
6481,2026-02-09,107.0,87.0,20.0
6481,2026-02-10,105.0,85.0,19.0
6481,2026-02-11,104.0,84.0,19.0
6481,2026-02-12,113.0,92.0,21.0
6481,2026-02-13,116.0,94.0,21.0
6481,2026-02-14,114.0,93.0,21.0
6481,2026-02-15,105.0,86.0,20.0
6481,2026-02-16,108.0,88.0,20.0
6481,2026-02-17,107.0,87.0,20.0
6481,2026-02-18,108.0,88.0,20.0
6481,2026-02-19,116.0,94.0,21.0
6481,2026-02-20,121.0,98.0,22.0
6481,2026-02-21,114.0,93.0,21.0
6481,2026-02-22,107.0,87.0,20.0
6481,2026-02-23,109.0,89.0,20.0
6481,2026-02-24,109.0,89.0,20.0
6481,2026-02-25,112.0,91.0,21.0
6481,2026-02-26,118.0,96.0,22.0
6481,2026-02-27,124.0,101.0,23.0
6481,2026-02-28,115.0,94.0,21.0
6481,2026-03-01,109.0,89.0,20.0
6481,2026-03-02,110.0,89.0,20.0
6481,2026-03-03,108.0,88.0,20.0
6481,2026-03-04,108.0,88.0,20.0
6481,2026-03-05,119.0,97.0,22.0
6481,2026-03-06,125.0,102.0,23.0
6482,2026-02-04,133.0,96.0,37.0
6482,2026-02-05,134.0,97.0,37.0
6482,2026-02-06,133.0,96.0,37.0
6482,2026-02-07,139.0,100.0,39.0
6482,2026-02-08,151.0,109.0,42.0
6482,2026-02-09,144.0,103.0,40.0
6482,2026-02-10,159.0,115.0,45.0
6482,2026-02-11,133.0,96.0,37.0
6482,2026-02-12,134.0,96.0,37.0
6482,2026-02-13,132.0,95.0,37.0
6482,2026-02-14,139.0,100.0,39.0
6482,2026-02-15,151.0,109.0,42.0
6482,2026-02-16,143.0,103.0,40.0
6482,2026-02-17,159.0,115.0,44.0
6482,2026-02-18,132.0,95.0,37.0
6482,2026-02-19,133.0,96.0,37.0
6482,2026-02-20,132.0,95.0,37.0
6482,2026-02-21,139.0,100.0,39.0
6482,2026-02-22,151.0,109.0,42.0
6482,2026-02-23,143.0,103.0,40.0
6482,2026-02-24,159.0,114.0,44.0
6482,2026-02-25,132.0,95.0,37.0
6482,2026-02-26,133.0,96.0,37.0
6482,2026-02-27,132.0,95.0,37.0
6482,2026-02-28,138.0,100.0,39.0
6482,2026-03-01,150.0,108.0,42.0
6482,2026-03-02,143.0,103.0,40.0
6482,2026-03-03,158.0,114.0,44.0
6482,2026-03-04,132.0,95.0,37.0
6482,2026-03-05,133.0,96.0,37.0
6482,2026-03-06,132.0,95.0,37.0
