KSSS,MAPE_ML,MAPE_weights,MAPE_cur,Способ прогноза,Детали прогноза
1071,7.344,8.77,8.608,МЛ,RandomForest
1270,8.632,12.19,10.174,МЛ,NBEATS
1810,10.931,21.19,18.818,МЛ,SARIMAX
2250,6.543,9.46,10.095,МЛ,SARIMAX
2674,7.814,17.77,14.671,МЛ,SARIMAX
