KSSS,w1,w2,w3,weights_mape_pct,ml_best_model,ml_best_mape_pct,current_mape_pct,chosen_source,chosen_model,chosen_w1,chosen_w2,chosen_w3,chosen_mape_pct
6430,0.65,0.2,0.15,7.8,RandomForest,12.403,6.505,current,current,,,,6.505
159201,0.08,0.18,0.74,6.87,RandomForest,22.802,6.618,current,current,,,,6.618
57402,0.0,1.0,0.0,283.7,HoltWinters,13.883,6.684,current,current,,,,6.684
135057,0.0,0.45,0.55,14.46,HoltWinters,13.708,7.524,current,current,,,,7.524
133589,0.81,0.19,-0.0,13.02,RandomForest,16.208,7.562,current,current,,,,7.562
133458,0.43,0.15,0.42,8.41,SARIMAX,8.418,7.851,current,current,,,,7.851
133457,0.24,0.1,0.66,9.51,RandomForest,8.171,7.937,current,current,,,,7.937
50601,0.73,0.0,0.27,8.18,RandomForest,17.951,8.162,current,current,,,,8.162
133679,0.83,0.07,0.1,9.39,RandomForest,14.624,8.172,current,current,,,,8.172
2549,0.77,0.22,0.01,9.81,RandomForest,28.424,8.21,current,current,,,,8.21
2890,0.53,0.13,0.34,10.22,RandomForest,13.312,8.226,current,current,,,,8.226
8714,0.0,0.32,0.68,18.29,RandomForest,8.698,8.524,current,current,,,,8.524
63803,0.93,0.0,0.07,13.34,RandomForest,15.344,8.588,current,current,,,,8.588
5974,0.44,0.23,0.33,9.86,RandomForest,11.627,8.784,current,current,,,,8.784
9207,0.53,0.37,0.1,10.54,RandomForest,11.201,8.789,current,current,,,,8.789
64203,0.39,0.38,0.23,12.31,SARIMAX,9.847,8.929,current,current,,,,8.929
66208,0.52,0.48,0.0,13.49,RandomForest,15.656,8.933,current,current,,,,8.933
135033,0.73,0.19,0.08,10.49,RandomForest,10.983,9.061,current,current,,,,9.061
133332,0.32,0.04,0.64,9.72,SARIMAX,11.767,9.1,current,current,,,,9.1
126204,0.86,0.14,0.0,10.15,RandomForest,9.755,9.123,current,current,,,,9.123
133438,0.57,0.27,0.16,12.51,RandomForest,14.371,9.15,current,current,,,,9.15
3755,0.0,0.54,0.46,11.54,RandomForest,10.374,9.299,current,current,,,,9.299
6479,0.41,0.2,0.39,12.3,HoltWinters,9.781,9.346,current,current,,,,9.346
133313,0.43,0.22,0.35,13.79,HoltWinters,9.599,9.434,current,current,,,,9.434
9315,0.0,0.19,0.81,10.56,RandomForest,10.746,9.459,current,current,,,,9.459
155013,0.8,0.01,0.19,15.89,RandomForest,10.426,9.524,current,current,,,,9.524
1255,0.58,0.31,0.11,9.9,RandomForest,16.915,9.539,current,current,,,,9.539
5037,0.01,0.08,0.91,15.44,HoltWinters,11.702,9.615,current,current,,,,9.615
1886,0.64,0.13,0.23,13.29,RandomForest,16.144,9.652,current,current,,,,9.652
133626,0.35,0.24,0.41,13.22,HoltWinters,12.28,9.679,current,current,,,,9.679
133232,0.59,0.11,0.3,10.81,RandomForest,12.344,9.695,current,current,,,,9.695
135058,0.39,0.27,0.34,15.29,RandomForest,11.048,9.705,current,current,,,,9.705
134145,0.65,0.35,0.0,12.68,RandomForest,15.103,9.782,current,current,,,,9.782
133802,0.0,0.55,0.45,10.3,RandomForest,12.304,9.789,current,current,,,,9.789
133529,0.58,0.12,0.3,12.24,RandomForest,15.305,9.798,current,current,,,,9.798
133379,0.77,0.07,0.16,11.24,RandomForest,12.922,9.85,current,current,,,,9.85
133620,0.61,0.29,0.1,12.82,HoltWinters,10.684,9.853,current,current,,,,9.853
1089,0.09,0.36,0.55,10.96,RandomForest,12.957,9.953,current,current,,,,9.953
3972,0.0,0.18,0.82,12.82,HoltWinters,11.565,9.964,current,current,,,,9.964
134153,0.66,0.07,0.27,14.56,RandomForest,12.25,9.991,current,current,,,,9.991
136938,0.99,0.01,0.0,13.6,RandomForest,66.711,10.019,current,current,,,,10.019
135059,0.39,0.25,0.36,11.37,RandomForest,10.335,10.115,current,current,,,,10.115
155110,0.0,0.0,1.0,51.27,SARIMAX,10.969,10.168,current,current,,,,10.168
1270,0.0,0.24,0.76,11.42,SARIMAX,13.478,10.174,current,current,,,,10.174
133603,0.36,0.0,0.64,12.0,RandomForest,10.694,10.22,current,current,,,,10.22
1963,0.81,0.05,0.14,11.5,RandomForest,14.724,10.224,current,current,,,,10.224
7283,0.47,0.39,0.14,13.38,RandomForest,17.567,10.274,current,current,,,,10.274
35401,0.4,0.39,0.21,15.58,RandomForest,15.749,10.35,current,current,,,,10.35
1834,0.03,0.34,0.63,14.74,RandomForest,16.693,10.444,current,current,,,,10.444
136939,0.0,0.32,0.68,15.09,RandomForest,11.233,10.446,current,current,,,,10.446
133340,0.0,1.0,0.0,22.57,HoltWinters,12.01,10.469,current,current,,,,10.469
155033,0.76,0.0,0.24,13.47,RandomForest,18.858,10.493,current,current,,,,10.493
1779,0.93,0.01,0.06,19.25,RandomForest,16.878,10.526,current,current,,,,10.526
9378,0.13,0.27,0.6,10.74,RandomForest,14.787,10.561,current,current,,,,10.561
155094,0.84,0.05,0.11,12.78,HoltWinters,73.218,10.564,current,current,,,,10.564
