КССС|Веса|МАРЕ
104001|(0.02, 0.00, 0.98)|8.81
104005|(0.13, 0.43, 0.44)|49.78
104801|(0.00, 0.24, 0.76)|8.08
104802|(0.20, 0.21, 0.59)|10.15
1059|(0.07, 0.05, 0.88)|10.12
1060|(0.08, 0.00, 0.92)|6.57
1062|(0.11, 0.01, 0.88)|7.46
1063|(0.01, 0.01, 0.98)|10.83
1064|(0.07, 0.09, 0.84)|8.98
1066|(0.06, 0.00, 0.94)|8.99
1067|(0.04, 0.12, 0.84)|13.41
1068|(0.16, 0.19, 0.65)|9.76
1069|(0.59, 0.07, 0.34)|11.83
1070|(0.00, 0.06, 0.94)|11.89
1071|(0.12, 0.06, 0.82)|8.98
1072|(0.17, 0.00, 0.83)|24.36
1073|(0.00, 0.04, 0.96)|9.02
1075|(0.00, 0.70, 0.30)|266.35
1077|(0.34, 0.06, 0.60)|8.91
1078|(0.20, 0.27, 0.53)|10.27
107801|(0.00, 0.53, 0.47)|33.83
1079|(1.00, 0.00, 0.00)|95.27
1081|(0.07, 0.02, 0.91)|8.90
1083|(0.02, 0.00, 0.98)|10.15
1084|(0.11, 0.00, 0.89)|7.75
1087|(0.34, 0.17, 0.49)|12.62
1089|(0.10, 0.28, 0.62)|11.70
1092|(0.05, 0.05, 0.90)|11.17
1094|(0.03, 0.07, 0.90)|10.80
1095|(0.00, 0.38, 0.62)|12.95
1097|(0.04, 0.00, 0.96)|9.13
1098|(0.00, 0.11, 0.89)|12.41
1101|(0.05, 0.02, 0.93)|7.33
1102|(0.04, 0.01, 0.95)|9.71
1104|(0.06, 0.00, 0.94)|7.94
1105|(0.10, 0.08, 0.82)|8.62
1106|(0.03, 0.00, 0.97)|7.56
1107|(0.15, 0.17, 0.68)|11.06
1108|(0.45, 0.08, 0.47)|15.90
1110|(0.03, 0.00, 0.97)|7.17
1112|(0.00, 0.37, 0.63)|152.98
1113|(0.00, 0.00, 1.00)|14.52
1114|(0.04, 0.10, 0.86)|7.88
1115|(0.00, 0.49, 0.51)|18.54
1116|(0.00, 0.06, 0.94)|11.69
1119|(0.08, 0.04, 0.88)|9.27
1120|(0.08, 0.16, 0.76)|21.62
1121|(0.00, 0.03, 0.97)|16.48
1122|(0.00, 0.05, 0.95)|14.71
114401|(0.13, 0.23, 0.64)|12.17
114602|(0.02, 0.04, 0.94)|6.28
115002|(0.00, 0.36, 0.64)|14.49
115003|(0.00, 0.15, 0.85)|21.81
115007|(0.24, 0.45, 0.31)|23.70
118601|(0.92, 0.00, 0.08)|20.86
123002|(0.05, 0.11, 0.84)|7.47
123401|(0.00, 0.06, 0.94)|8.63
124002|(1.00, 0.00, 0.00)|263.03
124401|(0.00, 0.31, 0.69)|10.55
1252|(0.01, 0.53, 0.46)|14.54
1253|(0.00, 0.81, 0.19)|16.51
1254|(0.36, 0.30, 0.34)|15.13
1255|(0.58, 0.19, 0.23)|10.87
1256|(0.01, 0.90, 0.09)|48.81
125601|(0.00, 0.41, 0.59)|18.03
125602|(0.30, 0.20, 0.50)|11.49
125603|(0.94, 0.06, 0.00)|13.98
125604|(0.29, 0.33, 0.38)|10.24
125605|(0.09, 0.13, 0.78)|8.94
125606|(0.00, 0.30, 0.70)|9.08
125607|(0.00, 0.13, 0.87)|7.37
125608|(0.00, 0.76, 0.24)|22.30
125609|(0.94, 0.06, 0.00)|16.25
125610|(0.00, 0.53, 0.47)|17.56
125611|(0.00, 0.37, 0.63)|15.05
125612|(0.00, 0.15, 0.85)|13.07
125613|(0.33, 0.24, 0.43)|10.91
125614|(1.00, 0.00, 0.00)|101.49
125615|(0.00, 0.44, 0.56)|16.11
125616|(0.47, 0.53, 0.00)|200.52
125617|(0.56, 0.19, 0.25)|10.42
125618|(0.50, 0.50, 0.00)|15.31
125619|(0.45, 0.35, 0.20)|19.75
125620|(0.55, 0.27, 0.18)|14.69
125621|(1.00, 0.00, 0.00)|364.49
125622|(1.00, 0.00, 0.00)|366.52
125623|(0.99, 0.00, 0.01)|17.02
125627|(1.00, 0.00, 0.00)|306.07
125628|(0.11, 0.00, 0.89)|395.30
125629|(0.85, 0.00, 0.15)|24.17
125631|(0.73, 0.27, 0.00)|22.65
125632|(1.00, 0.00, 0.00)|17.39
125634|(0.91, 0.09, -0.00)|20.98
125635|(0.91, 0.09, -0.00)|28.27
125636|(0.06, 0.42, 0.52)|18.30
125638|(1.00, 0.00, 0.00)|17.38
125639|(0.78, 0.00, 0.22)|16.40
125640|(0.68, 0.00, 0.32)|26.76
125641|(0.91, 0.00, 0.09)|18.55
125642|(0.00, 0.74, 0.26)|16.47
125643|(0.00, 0.37, 0.63)|15.16
125644|(0.00, 0.39, 0.61)|14.71
125645|(0.00, 0.50, 0.50)|14.97
125646|(0.00, 0.58, 0.42)|19.10
125647|(0.35, 0.40, 0.25)|10.62
125648|(0.11, 0.17, 0.72)|14.41
125649|(0.00, 0.40, 0.60)|13.39
125650|(0.25, 0.67, 0.08)|16.14
125651|(0.08, 0.19, 0.73)|10.45
125652|(0.50, 0.39, 0.11)|12.00
125653|(0.00, 0.46, 0.54)|24.77
125654|(0.16, 0.62, 0.22)|17.42
125655|(0.00, 0.60, 0.40)|13.25
125656|(0.00, 0.04, 0.96)|16.15
125657|(0.00, 0.14, 0.86)|13.31
125659|(0.04, 0.22, 0.74)|11.83
125660|(0.69, 0.29, 0.02)|12.65
