ORG_KSSS|year|month|day|time_segment|unique_cheques
104801|2025|11|21|other|846.0
104801|2025|11|22|08_20|1662.0
104801|2025|11|22|other|656.0
104801|2025|11|23|08_20|1345.0
104801|2025|11|23|other|564.0
104801|2025|11|24|08_20|1488.0
104801|2025|11|24|other|721.0
104801|2025|11|25|08_20|1517.0
104801|2025|11|25|other|683.0
104801|2025|11|26|08_20|1500.0
104801|2025|11|26|other|730.0
104801|2025|11|27|08_20|1261.0
104801|2025|11|27|other|662.0
104801|2025|11|28|08_20|1442.0
104801|2025|11|28|other|735.0
104801|2025|11|29|08_20|1506.0
104801|2025|11|29|other|587.0
104801|2025|11|30|08_20|1352.0
104801|2025|11|30|other|534.0
104802|2025|11|1|08_20|845.0
104802|2025|11|1|other|216.0
104802|2025|11|2|08_20|665.0
104802|2025|11|2|other|184.0
104802|2025|11|3|08_20|541.0
104802|2025|11|3|other|161.0
104802|2025|11|4|08_20|591.0
104802|2025|11|4|other|112.0
104802|2025|11|5|08_20|736.0
104802|2025|11|5|other|254.0
104802|2025|11|6|08_20|734.0
104802|2025|11|6|other|215.0
104802|2025|11|7|08_20|764.0
104802|2025|11|7|other|273.0
104802|2025|11|8|08_20|802.0
104802|2025|11|8|other|188.0
104802|2025|11|9|08_20|687.0
104802|2025|11|9|other|178.0
104802|2025|11|10|08_20|778.0
104802|2025|11|10|other|248.0
104802|2025|11|11|08_20|718.0
104802|2025|11|11|other|173.0
104802|2025|11|12|08_20|696.0
104802|2025|11|12|other|265.0
104802|2025|11|13|08_20|659.0
104802|2025|11|13|other|216.0
104802|2025|11|14|08_20|835.0
104802|2025|11|14|other|290.0
104802|2025|11|15|08_20|806.0
104802|2025|11|15|other|216.0
104802|2025|11|16|08_20|727.0
104802|2025|11|16|other|144.0
104802|2025|11|17|08_20|683.0
104802|2025|11|17|other|246.0
104802|2025|11|18|08_20|708.0
104802|2025|11|18|other|207.0
104802|2025|11|19|08_20|683.0
104802|2025|11|19|other|247.0
104802|2025|11|20|08_20|733.0
104802|2025|11|20|other|247.0
104802|2025|11|21|08_20|718.0
104802|2025|11|21|other|262.0
104802|2025|11|22|08_20|772.0
104802|2025|11|22|other|189.0
104802|2025|11|23|08_20|700.0
104802|2025|11|23|other|156.0
104802|2025|11|24|08_20|687.0
104802|2025|11|24|other|206.0
104802|2025|11|25|08_20|711.0
104802|2025|11|25|other|218.0
104802|2025|11|26|08_20|711.0
104802|2025|11|26|other|209.0
104802|2025|11|27|08_20|720.0
104802|2025|11|27|other|221.0
104802|2025|11|28|08_20|670.0
104802|2025|11|28|other|235.0
104802|2025|11|29|08_20|725.0
104802|2025|11|29|other|190.0
104802|2025|11|30|08_20|694.0
104802|2025|11|30|other|205.0
1059|2025|11|1|08_20|429.0
1059|2025|11|1|other|102.0
1059|2025|11|2|08_20|261.0
1059|2025|11|2|other|103.0
1059|2025|11|3|08_20|359.0
1059|2025|11|3|other|88.0
1059|2025|11|4|08_20|351.0
1059|2025|11|4|other|81.0
1059|2025|11|5|08_20|427.0
1059|2025|11|5|other|121.0
1059|2025|11|6|08_20|428.0
1059|2025|11|6|other|128.0
1059|2025|11|7|08_20|465.0
1059|2025|11|7|other|114.0
1059|2025|11|8|08_20|320.0
1059|2025|11|8|other|68.0
1059|2025|11|9|08_20|284.0
1059|2025|11|9|other|75.0
1059|2025|11|10|08_20|398.0
1059|2025|11|10|other|131.0
1059|2025|11|11|08_20|383.0
1059|2025|11|11|other|140.0
1059|2025|11|12|08_20|450.0
1059|2025|11|12|other|162.0
1059|2025|11|13|08_20|490.0
1059|2025|11|13|other|173.0
1059|2025|11|14|08_20|463.0
1059|2025|11|14|other|136.0
1059|2025|11|15|08_20|348.0
1059|2025|11|15|other|92.0
1059|2025|11|16|08_20|251.0
1059|2025|11|16|other|67.0
1059|2025|11|17|08_20|425.0
1059|2025|11|17|other|122.0
1059|2025|11|18|08_20|422.0
1059|2025|11|18|other|136.0
1059|2025|11|19|08_20|401.0
1059|2025|11|19|other|101.0
1059|2025|11|20|08_20|375.0
1059|2025|11|20|other|119.0
1059|2025|11|21|08_20|397.0
1059|2025|11|21|other|132.0
1059|2025|11|22|08_20|292.0
1059|2025|11|22|other|68.0
1059|2025|11|23|08_20|234.0
1059|2025|11|23|other|58.0
1059|2025|11|24|08_20|362.0
1059|2025|11|24|other|111.0
1059|2025|11|25|08_20|408.0
1059|2025|11|25|other|117.0
1059|2025|11|26|08_20|307.0
1059|2025|11|26|other|136.0
1059|2025|11|27|08_20|384.0
1059|2025|11|27|other|111.0
1059|2025|11|28|08_20|445.0
1059|2025|11|28|other|160.0
1059|2025|11|29|08_20|316.0
1059|2025|11|29|other|74.0
1059|2025|11|30|08_20|261.0
1059|2025|11|30|other|80.0
1060|2025|11|1|08_20|1304.0
1060|2025|11|1|other|446.0
1060|2025|11|2|08_20|1018.0
1060|2025|11|2|other|351.0
1060|2025|11|3|08_20|1139.0
1060|2025|11|3|other|315.0
1060|2025|11|4|08_20|1031.0
1060|2025|11|4|other|371.0
1060|2025|11|5|08_20|1120.0
1060|2025|11|5|other|396.0
1060|2025|11|6|08_20|1079.0
1060|2025|11|6|other|398.0
