ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
155115,2026-02-01,287.0,227.0,60.0
155115,2026-02-02,307.0,243.0,64.0
155115,2026-02-03,307.0,243.0,64.0
155115,2026-02-04,301.0,238.0,63.0
155115,2026-02-05,299.0,236.0,63.0
155115,2026-02-06,297.0,235.0,62.0
155115,2026-02-07,294.0,233.0,61.0
155115,2026-02-08,307.0,243.0,64.0
155115,2026-02-09,303.0,240.0,63.0
155115,2026-02-10,303.0,239.0,63.0
155115,2026-02-11,303.0,240.0,63.0
155115,2026-02-12,307.0,243.0,64.0
155115,2026-02-13,310.0,245.0,65.0
155115,2026-02-14,308.0,244.0,64.0
155115,2026-02-15,330.0,261.0,69.0
155115,2026-02-16,319.0,252.0,67.0
155115,2026-02-17,321.0,254.0,67.0
155115,2026-02-18,325.0,257.0,68.0
155115,2026-02-19,327.0,259.0,68.0
155115,2026-02-20,329.0,260.0,69.0
155115,2026-02-21,329.0,260.0,69.0
155115,2026-02-22,342.0,270.0,71.0
155115,2026-02-23,325.0,257.0,68.0
155115,2026-02-24,326.0,258.0,68.0
155115,2026-02-25,329.0,260.0,69.0
155115,2026-02-26,334.0,264.0,70.0
155115,2026-02-27,336.0,266.0,70.0
155115,2026-02-28,331.0,262.0,69.0
155125,2026-02-01,487,350.0,137.0
155125,2026-02-02,458,329.0,129.0
155125,2026-02-03,429,308.0,121.0
155125,2026-02-04,418,300.0,118.0
155125,2026-02-05,429,308.0,121.0
155125,2026-02-06,463,332.0,131.0
155125,2026-02-07,471,338.0,133.0
155125,2026-02-08,490,352.0,138.0
155125,2026-02-09,461,331.0,130.0
155125,2026-02-10,438,315.0,123.0
155125,2026-02-11,446,320.0,126.0
155125,2026-02-12,455,327.0,128.0
155125,2026-02-13,470,337.0,133.0
155125,2026-02-14,511,367.0,144.0
155125,2026-02-15,510,366.0,144.0
155125,2026-02-16,449,322.0,127.0
155125,2026-02-17,443,318.0,125.0
155125,2026-02-18,433,311.0,122.0
155125,2026-02-19,452,325.0,127.0
155125,2026-02-20,486,349.0,137.0
155125,2026-02-21,494,355.0,139.0
155125,2026-02-22,513,368.0,145.0
155125,2026-02-23,458,329.0,129.0
155125,2026-02-24,439,315.0,124.0
155125,2026-02-25,447,321.0,126.0
155125,2026-02-26,444,319.0,125.0
155125,2026-02-27,485,348.0,137.0
155125,2026-02-28,507,364.0,143.0
