ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
1060,2025-12-22,1547.0,1126.0,422.0
1060,2025-12-23,1606.0,1168.0,438.0
1060,2025-12-24,1626.0,1182.0,443.0
1060,2025-12-25,1631.0,1186.0,445.0
1060,2025-12-26,1674.0,1218.0,456.0
1060,2025-12-27,1535.0,1117.0,419.0
1060,2025-12-28,1483.0,1078.0,404.0
1060,2025-12-29,1543.0,1122.0,421.0
1060,2025-12-30,1529.0,1112.0,417.0
1060,2025-12-31,1517.0,1103.0,414.0
1060,2026-01-01,1284.0,934.0,350.0
1060,2026-01-02,1094.0,796.0,298.0
1060,2026-01-03,1133.0,824.0,309.0
1060,2026-01-04,1129.0,821.0,308.0
1060,2026-01-05,1273.0,926.0,347.0
1060,2026-01-06,1248.0,908.0,340.0
1060,2026-01-07,1255.0,913.0,342.0
1060,2026-01-08,1332.0,969.0,363.0
1060,2026-01-09,1447.0,1052.0,394.0
1060,2026-01-10,1342.0,976.0,366.0
1060,2026-01-11,1247.0,907.0,340.0
1060,2026-01-12,1462.0,1063.0,399.0
1060,2026-01-13,1527.0,1111.0,416.0
1060,2026-01-14,1599.0,1163.0,436.0
1060,2026-01-15,1581.0,1150.0,431.0
1060,2026-01-16,1656.0,1204.0,451.0
1060,2026-01-17,1421.0,1033.0,387.0
1060,2026-01-18,1283.0,933.0,350.0
1060,2026-01-19,1475.0,1073.0,402.0
1060,2026-01-20,1534.0,1116.0,418.0
1060,2026-01-21,1559.0,1134.0,425.0
1271,2025-12-22,446.0,317.0,129.0
1271,2025-12-23,428.0,305.0,123.0
1271,2025-12-24,472.0,336.0,136.0
1271,2025-12-25,452.0,322.0,130.0
1271,2025-12-26,480.0,342.0,138.0
1271,2025-12-27,577.0,411.0,166.0
1271,2025-12-28,655.0,466.0,189.0
1271,2025-12-29,882.0,628.0,254.0
1271,2025-12-30,1047.0,745.0,302.0
1271,2025-12-31,550.0,392.0,158.0
1271,2026-01-01,313.0,223.0,90.0
1271,2026-01-02,688.0,490.0,198.0
1271,2026-01-03,750.0,534.0,216.0
1271,2026-01-04,544.0,387.0,157.0
1271,2026-01-05,550.0,392.0,158.0
1271,2026-01-06,537.0,382.0,155.0
1271,2026-01-07,445.0,317.0,128.0
