KSSS,w1,w2,w3,weights_mape_pct,ml_best_model,ml_best_mape_pct,current_mape_pct,chosen_source,chosen_model,chosen_w1,chosen_w2,chosen_w3,chosen_mape_pct
6430,,,,,RandomForest,12.403,6.505,current,current,,,,6.505
159201,,,,,RandomForest,22.802,6.618,current,current,,,,6.618
57402,,,,,HoltWinters,13.883,6.684,current,current,,,,6.684
133597,,,,,RandomForest,7.644,7.322,current,current,,,,7.322
135057,,,,,HoltWinters,13.708,7.524,current,current,,,,7.524
133589,,,,,RandomForest,16.208,7.562,current,current,,,,7.562
133458,,,,,SARIMAX,8.418,7.851,current,current,,,,7.851
133457,,,,,RandomForest,8.171,7.937,current,current,,,,7.937
50601,,,,,RandomForest,17.951,8.162,current,current,,,,8.162
133679,,,,,RandomForest,14.624,8.172,current,current,,,,8.172
2549,,,,,RandomForest,28.424,8.21,current,current,,,,8.21
2890,,,,,RandomForest,13.312,8.226,current,current,,,,8.226
7279,,,,,RandomForest,9.596,8.343,current,current,,,,8.343
8714,,,,,RandomForest,8.698,8.524,current,current,,,,8.524
7330,,,,,RandomForest,10.539,8.528,current,current,,,,8.528
63803,,,,,RandomForest,15.344,8.588,current,current,,,,8.588
5974,,,,,RandomForest,11.627,8.784,current,current,,,,8.784
9207,,,,,RandomForest,11.201,8.789,current,current,,,,8.789
64203,,,,,SARIMAX,9.847,8.929,current,current,,,,8.929
66208,,,,,RandomForest,15.656,8.933,current,current,,,,8.933
135033,,,,,RandomForest,10.983,9.061,current,current,,,,9.061
133332,,,,,SARIMAX,11.767,9.1,current,current,,,,9.1
126204,,,,,RandomForest,9.755,9.123,current,current,,,,9.123
133334,,,,,RandomForest,9.192,9.131,current,current,,,,9.131
133438,,,,,RandomForest,14.371,9.15,current,current,,,,9.15
3315,,,,,RandomForest,10.993,9.26,current,current,,,,9.26
3755,,,,,RandomForest,10.374,9.299,current,current,,,,9.299
6479,,,,,HoltWinters,9.781,9.346,current,current,,,,9.346
133313,,,,,HoltWinters,9.599,9.434,current,current,,,,9.434
3325,,,,,SARIMAX,11.175,9.455,current,current,,,,9.455
9315,,,,,RandomForest,10.746,9.459,current,current,,,,9.459
155013,,,,,RandomForest,10.426,9.524,current,current,,,,9.524
1255,0.58,0.21,0.21,10.89,RandomForest,16.915,9.539,current,current,,,,9.539
7315,,,,,RandomForest,18.311,9.603,current,current,,,,9.603
5037,,,,,HoltWinters,11.702,9.615,current,current,,,,9.615
1886,,,,,RandomForest,16.144,9.652,current,current,,,,9.652
133626,,,,,HoltWinters,12.28,9.679,current,current,,,,9.679
133232,,,,,RandomForest,12.344,9.695,current,current,,,,9.695
135058,,,,,RandomForest,11.048,9.705,current,current,,,,9.705
134145,,,,,RandomForest,15.103,9.782,current,current,,,,9.782
133802,,,,,RandomForest,12.304,9.789,current,current,,,,9.789
133529,,,,,RandomForest,15.305,9.798,current,current,,,,9.798
133379,,,,,RandomForest,12.922,9.85,current,current,,,,9.85
133620,,,,,HoltWinters,10.684,9.853,current,current,,,,9.853
3734,,,,,RandomForest,18.488,9.92,current,current,,,,9.92
1089,0.1,0.31,0.59,11.61,RandomForest,12.957,9.953,current,current,,,,9.953
3972,,,,,HoltWinters,11.565,9.964,current,current,,,,9.964
134153,,,,,RandomForest,12.25,9.991,current,current,,,,9.991
136938,,,,,RandomForest,66.711,10.019,current,current,,,,10.019
135059,,,,,RandomForest,10.335,10.115,current,current,,,,10.115
155110,,,,,SARIMAX,10.969,10.168,current,current,,,,10.168
1270,0.0,0.22,0.78,11.92,SARIMAX,13.478,10.174,current,current,,,,10.174
133603,,,,,RandomForest,10.694,10.22,current,current,,,,10.22
1963,,,,,RandomForest,14.724,10.224,current,current,,,,10.224
134179,,,,,RandomForest,10.669,10.232,current,current,,,,10.232
7283,,,,,RandomForest,17.567,10.274,current,current,,,,10.274
133790,,,,,SARIMAX,14.947,10.277,current,current,,,,10.277
35401,,,,,RandomForest,15.749,10.35,current,current,,,,10.35
136911,,,,,RandomForest,12.971,10.355,current,current,,,,10.355
1834,,,,,RandomForest,16.693,10.444,current,current,,,,10.444
136939,,,,,RandomForest,11.233,10.446,current,current,,,,10.446
133340,,,,,HoltWinters,12.01,10.469,current,current,,,,10.469
155033,,,,,RandomForest,18.858,10.493,current,current,,,,10.493
1779,0.92,0.01,0.07,18.52,RandomForest,16.878,10.526,current,current,,,,10.526
9378,,,,,RandomForest,14.787,10.561,current,current,,,,10.561
133782,,,,,RandomForest,12.399,10.562,current,current,,,,10.562
155094,,,,,HoltWinters,73.218,10.564,current,current,,,,10.564
4216,,,,,HoltWinters,71.155,10.565,current,current,,,,10.565
139801,,,,,SARIMAX,12.74,10.633,current,current,,,,10.633
78602,,,,,SARIMAX,17.919,10.692,current,current,,,,10.692
123002,,,,,HoltWinters,11.241,10.693,current,current,,,,10.693
133591,,,,,RandomForest,11.727,10.746,current,current,,,,10.746
133706,,,,,HoltWinters,22.734,10.762,current,current,,,,10.762
35403,,,,,RandomForest,24.422,10.778,current,current,,,,10.778
160027,,,,,HoltWinters,11.964,10.78,current,current,,,,10.78
133715,,,,,HoltWinters,29.039,10.795,current,current,,,,10.795
133738,,,,,RandomForest,11.393,10.807,current,current,,,,10.807
5002,,,,,RandomForest,13.775,10.807,current,current,,,,10.807
127001,,,,,RandomForest,17.959,10.81,current,current,,,,10.81
3839,,,,,RandomForest,13.498,10.819,current,current,,,,10.819
134189,,,,,HoltWinters,27.061,10.872,current,current,,,,10.872
133696,,,,,RandomForest,12.004,10.873,current,current,,,,10.873
63802,,,,,RandomForest,14.464,10.892,current,current,,,,10.892
155037,,,,,RandomForest,15.937,10.911,current,current,,,,10.911
133700,,,,,RandomForest,41.657,10.917,current,current,,,,10.917
155082,,,,,RandomForest,21.185,10.919,current,current,,,,10.919
133299,,,,,RandomForest,12.185,10.92,current,current,,,,10.92
133411,,,,,HoltWinters,15.046,10.92,current,current,,,,10.92
8907,,,,,HoltWinters,14.289,10.96,current,current,,,,10.96
65603,,,,,RandomForest,10.985,10.962,current,current,,,,10.962
3205,,,,,RandomForest,14.331,11.066,current,current,,,,11.066
2602,,,,,RandomForest,13.526,11.105,current,current,,,,11.105
133642,,,,,RandomForest,35.947,11.114,current,current,,,,11.114
9516,,,,,HoltWinters,14.3,11.126,current,current,,,,11.126
155076,,,,,RandomForest,11.739,11.157,current,current,,,,11.157
155095,,,,,RandomForest,15.224,11.173,current,current,,,,11.173
8214,,,,,RandomForest,31.781,11.195,current,current,,,,11.195
133350,,,,,RandomForest,13.691,11.208,current,current,,,,11.208
155027,,,,,RandomForest,20.289,11.222,current,current,,,,11.222
3401,,,,,HoltWinters,13.186,11.266,current,current,,,,11.266
1254,0.37,0.31,0.32,15.11,RandomForest,18.387,11.286,current,current,,,,11.286
9748,,,,,RandomForest,12.012,11.296,current,current,,,,11.296
133282,,,,,HoltWinters,11.725,11.312,current,current,,,,11.312
3596,,,,,SARIMAX,13.488,11.334,current,current,,,,11.334
133798,,,,,RandomForest,14.625,11.349,current,current,,,,11.349
3364,,,,,RandomForest,14.935,11.401,current,current,,,,11.401
64404,,,,,RandomForest,17.134,11.433,current,current,,,,11.433
134188,,,,,HoltWinters,18.229,11.441,current,current,,,,11.441
155088,,,,,SARIMAX,13.286,11.453,current,current,,,,11.453
155030,,,,,RandomForest,12.064,11.456,current,current,,,,11.456
163223,,,,,RandomForest,13.527,11.474,current,current,,,,11.474
9521,,,,,HoltWinters,19.925,11.511,current,current,,,,11.511
138001,,,,,SARIMAX,14.638,11.519,current,current,,,,11.519
133783,,,,,HoltWinters,14.209,11.528,current,current,,,,11.528
134135,,,,,HoltWinters,19.754,11.546,current,current,,,,11.546
133338,,,,,RandomForest,14.407,11.574,current,current,,,,11.574
1960,,,,,RandomForest,14.395,11.58,current,current,,,,11.58
133393,,,,,HoltWinters,12.379,11.63,current,current,,,,11.63
7192,,,,,RandomForest,16.44,11.659,current,current,,,,11.659
134157,,,,,RandomForest,12.289,11.732,current,current,,,,11.732
133703,,,,,RandomForest,12.748,11.78,current,current,,,,11.78
