KSSS,w1,w2,w3,weights_mape_pct,ml_best_model,ml_best_mape_pct,current_mape_pct,chosen_source,chosen_model,chosen_w1,chosen_w2,chosen_w3,chosen_mape_pct
133674,,,,,,,6.475,current,current,,,,6.475
3347,,,,,,,6.544,current,current,,,,6.544
159201,,,,,,,6.618,current,current,,,,6.618
57402,,,,,,,6.684,current,current,,,,6.684
6430,,,,,,,6.894,current,current,,,,6.894
133597,,,,,,,7.119,current,current,,,,7.119
84802,,,,,,,7.17,current,current,,,,7.17
135057,,,,,,,7.524,current,current,,,,7.524
1947,,,,,,,7.543,current,current,,,,7.543
1949,,,,,,,7.596,current,current,,,,7.596
133589,,,,,,,7.665,current,current,,,,7.665
133530,,,,,,,7.694,current,current,,,,7.694
2549,,,,,,,7.696,current,current,,,,7.696
133458,,,,,,,7.747,current,current,,,,7.747
125653,,,,,,,7.762,current,current,,,,7.762
3729,,,,,,,7.809,current,current,,,,7.809
133457,,,,,,,7.818,current,current,,,,7.818
9346,,,,,,,7.848,current,current,,,,7.848
133685,,,,,,,7.879,current,current,,,,7.879
7131,,,,,,,7.884,current,current,,,,7.884
9340,,,,,,,7.898,current,current,,,,7.898
133686,,,,,,,7.915,current,current,,,,7.915
3809,,,,,,,7.931,current,current,,,,7.931
133569,,,,,,,7.95,current,current,,,,7.95
155105,,,,,,,7.957,current,current,,,,7.957
3955,,,,,,,7.994,current,current,,,,7.994
3749,,,,,,,8.028,current,current,,,,8.028
134010,,,,,,,8.038,current,current,,,,8.038
133679,,,,,,,8.046,current,current,,,,8.046
133614,,,,,,,8.092,current,current,,,,8.092
133664,,,,,,,8.112,current,current,,,,8.112
1969,,,,,,,8.118,current,current,,,,8.118
50601,,,,,,,8.207,current,current,,,,8.207
3163,,,,,,,8.239,current,current,,,,8.239
6400,,,,,,,8.262,current,current,,,,8.262
2876,,,,,,,8.284,current,current,,,,8.284
7330,,,,,,,8.296,current,current,,,,8.296
133616,,,,,,,8.3,current,current,,,,8.3
133655,,,,,,,8.302,current,current,,,,8.302
2607,,,,,,,8.331,current,current,,,,8.331
133702,,,,,,,8.343,current,current,,,,8.343
7279,,,,,,,8.343,current,current,,,,8.343
66208,,,,,,,8.364,current,current,,,,8.364
133673,,,,,,,8.387,current,current,,,,8.387
3388,,,,,,,8.415,current,current,,,,8.415
63801,,,,,,,8.425,current,current,,,,8.425
6986,,,,,,,8.46,current,current,,,,8.46
1892,,,,,,,8.487,current,current,,,,8.487
3755,,,,,,,8.49,current,current,,,,8.49
2609,,,,,,,8.492,current,current,,,,8.492
8714,,,,,,,8.524,current,current,,,,8.524
139407,,,,,,,8.577,current,current,,,,8.577
9085,,,,,,,8.586,current,current,,,,8.586
1071,0.11,0.07,0.82,8.88,,,8.622,current,current,,,,8.622
133459,,,,,,,8.623,current,current,,,,8.623
2736,,,,,,,8.639,current,current,,,,8.639
155025,,,,,,,8.651,current,current,,,,8.651
133656,,,,,,,8.652,current,current,,,,8.652
133256,,,,,,,8.653,current,current,,,,8.653
162602,,,,,,,8.668,current,current,,,,8.668
9222,,,,,,,8.677,current,current,,,,8.677
2653,,,,,,,8.678,current,current,,,,8.678
9333,,,,,,,8.68,current,current,,,,8.68
9207,,,,,,,8.686,current,current,,,,8.686
3982,,,,,,,8.691,current,current,,,,8.691
155001,,,,,,,8.693,current,current,,,,8.693
9755,,,,,,,8.708,current,current,,,,8.708
3206,,,,,,,8.714,current,current,,,,8.714
133630,,,,,,,8.731,current,current,,,,8.731
125607,,,,,,,8.738,current,current,,,,8.738
2612,,,,,,,8.741,current,current,,,,8.741
8899,,,,,,,8.768,current,current,,,,8.768
133617,,,,,,,8.775,current,current,,,,8.775
5006,,,,,,,8.799,current,current,,,,8.799
133629,,,,,,,8.814,current,current,,,,8.814
3497,,,,,,,8.819,current,current,,,,8.819
4215,,,,,,,8.829,current,current,,,,8.829
64203,,,,,,,8.879,current,current,,,,8.879
9315,,,,,,,8.883,current,current,,,,8.883
6479,,,,,,,8.885,current,current,,,,8.885
126204,,,,,,,8.886,current,current,,,,8.886
133527,,,,,,,8.887,current,current,,,,8.887
1955,,,,,,,8.896,current,current,,,,8.896
3346,,,,,,,8.914,current,current,,,,8.914
5972,,,,,,,8.92,current,current,,,,8.92
133670,,,,,,,8.921,current,current,,,,8.921
133296,,,,,,,8.926,current,current,,,,8.926
133699,,,,,,,8.941,current,current,,,,8.941
3954,,,,,,,8.965,current,current,,,,8.965
163404,,,,,,,8.977,current,current,,,,8.977
39605,,,,,,,9.001,current,current,,,,9.001
133443,,,,,,,9.005,current,current,,,,9.005
92202,,,,,,,9.005,current,current,,,,9.005
104801,,,,,,,9.012,current,current,,,,9.012
133311,,,,,,,9.013,current,current,,,,9.013
133652,,,,,,,9.019,current,current,,,,9.019
3817,,,,,,,9.039,current,current,,,,9.039
133672,,,,,,,9.05,current,current,,,,9.05
133727,,,,,,,9.055,current,current,,,,9.055
