ORG_KSSS,date,Чеки дневные,Чеки ночные,Часы дневные,Часы ночные,Совокупное кол-во суточных чеков,Совокупное кол-во суточных часов
1073,2026-02-01,628.0,188.0,24,12,816,36
1073,2026-02-02,629.0,189.0,24,12,818,36
1073,2026-02-03,622.0,187.0,24,12,809,36
1073,2026-02-04,623.0,187.0,24,12,810,36
1073,2026-02-05,657.0,197.0,36,12,854,48
1073,2026-02-06,554.0,166.0,24,12,720,36
1073,2026-02-07,490.0,147.0,24,12,637,36
1073,2026-02-08,585.0,175.0,24,12,760,36
1073,2026-02-09,615.0,184.0,24,12,799,36
1073,2026-02-10,618.0,185.0,24,12,803,36
1073,2026-02-11,621.0,186.0,24,12,807,36
1073,2026-02-12,657.0,197.0,36,12,854,48
1073,2026-02-13,553.0,166.0,24,12,719,36
1073,2026-02-14,490.0,147.0,24,12,637,36
1073,2026-02-15,585.0,175.0,24,12,760,36
1073,2026-02-16,615.0,184.0,24,12,799,36
1073,2026-02-17,618.0,185.0,24,12,803,36
1073,2026-02-18,621.0,186.0,24,12,807,36
1073,2026-02-19,656.0,197.0,36,12,853,48
1073,2026-02-20,553.0,166.0,24,12,719,36
1073,2026-02-21,490.0,147.0,24,12,637,36
1073,2026-02-22,584.0,175.0,24,12,759,36
1073,2026-02-23,615.0,184.0,24,12,799,36
1073,2026-02-24,618.0,185.0,24,12,803,36
1073,2026-02-25,621.0,186.0,24,12,807,36
1073,2026-02-26,656.0,197.0,36,12,853,48
1073,2026-02-27,553.0,166.0,24,12,719,36
1073,2026-02-28,489.0,147.0,24,12,636,36
