КССС|MAPE, %
1059|10.994
1060|7.483
1062|8.217
1063|13.114
1064|12.388
1066|9.578
1067|15.288
1068|11.632
1071|9.188
1072|12.203
1073|12.708
1075|25.214
1077|11.407
1078|10.61
1079|35.331
1081|9.794
1083|13.484
1084|9.945
1087|15.149
1089|9.953
1094|14.101
1095|14.828
1097|12.241
1101|9.774
1102|12.365
1104|9.518
1106|9.248
1110|10.115
1115|22.773
1116|16.635
1119|8.517
1120|26.68
1121|14.074
1122|16.706
1252|17.949
1254|11.286
1255|9.539
1256|25.516
1257|13.966
1259|14.614
1260|14.289
1261|10.663
1262|19.077
1263|15.319
1264|14.168
1265|58.408
1266|7.93
1268|12.588
1269|19.56
1270|10.174
1271|25.922
1273|246.783
1274|12.148
1275|16.589
1278|29.167
1279|9.599
1751|24.102
1752|10.508
1756|8.747
1767|183.167
1777|9.226
1779|10.526
1780|15.359
1781|8.683
1783|13.174
1785|12.995
1788|18.038
1789|14.553
1794|21.173
1798|13.624
1801|11.669
1809|12.443
1810|18.919
1811|26.791
1814|10.846
1823|12.011
1827|12.396
1831|15.931
1834|10.444
1835|11.109
1837|13.696
1845|42.324
1846|13.294
1855|23.577
1856|61.173
1858|21.143
1859|13.681
1861|12.712
1862|15.684
1863|20.53
1864|12.215
1867|16.877
1873|18.355
1874|11.961
1875|13.446
1876|10.736
1880|16.749
1882|24.2
1883|16.287
1884|14.986
1885|15.767
1886|9.652
1888|12.801
1890|10.51
1891|32.988
1892|8.566
1893|15.691
1894|14.326
1895|11.044
1897|11.374
1898|17.898
1900|15.561
1904|13.624
1905|10.13
1906|13.076
1907|24.367
1908|23.691
1909|10.794
1910|13.955
1911|20.732
1914|10.997
1915|30.991
1916|11.911
1917|14.585
1918|10.46
1919|18.118
1920|10.38
1921|15.503
1935|16.816
1941|16.52
1943|20.304
1947|7.823
1948|19.645
1949|7.973
1954|13.884
1955|8.738
1956|43.214
1957|11.988
1960|11.58
1963|10.224
1964|19.205
1969|8.431
1973|15.959
1978|14.614
1992|15.743
1997|13.89
2092|12.957
2118|13.836
2136|22.901
2147|12.731
2150|12.318
2153|12.145
2155|44.095
2165|11.843
2177|13.571
2190|35.253
2192|9.147
2193|99.001
2195|42.19
2200|11.893
2202|13.975
2206|9.998
2211|15.318
2223|10.316
2226|9.683
2230|26.115
2235|11.128
2243|17.703
2246|14.953
2248|17.055
2250|9.41
2263|15.046
2266|16.985
2271|20.296
2285|57.847
2287|102.86
2300|10.333
2301|10.91
2302|19.18
2307|11.879
2322|17.682
2326|10.622
2447|15.538
2451|11.269
2452|25.191
2546|63.433
2548|9.697
2549|8.21
2588|10.728
2602|11.105
2603|17.939
2604|13.64
2605|9.2
2606|68.04
2607|8.237
2608|11.191
2609|8.724
2610|10.586
2611|22.877
2612|9.326
2613|12.486
2614|13.92
2615|12.537
2616|13.87
2646|8.42
2648|51.594
2649|10.94
2651|312.204
2653|8.182
2654|15.498
2660|12.191
2662|42.702
2664|17.301
2668|12.052
2674|14.145
2685|11.848
2707|13.824
2709|10.049
2711|11.085
2713|9.18
2715|29.264
2717|19.41
2726|546.234
2729|20.357
2735|12.052
2736|9.002
2738|10.971
2741|12.271
2749|10.618
2750|13.486
2789|9.666
2827|9.092
2828|10.571
2873|12.825
2874|19.068
2875|14.329
2876|8.641
2877|8.522
2879|9.533
2880|10.598
2882|13.602
2883|15.388
2886|10.134
2887|11.245
2888|10.599
2889|22.092
2890|8.226
