КССС|MAPE, %
3504|21.617
3511|64.381
3540|13.062
3543|20.937
3544|33.083
3545|13.933
3595|10.012
3596|12.754
3605|16.591
3634|19.336
3645|14.157
3651|11.076
3654|9.842
3658|14.089
3659|10.048
3660|13.504
3714|11.266
3715|14.353
3722|10.13
3725|10.807
3729|7.915
3730|13.146
3734|9.903
3739|10.731
3740|12.549
3741|13.29
3743|11.226
3745|16.01
3748|15.787
3749|8.095
3755|8.637
3756|15.768
3759|41.107
3760|22.647
3763|19.082
3765|16.159
3767|77.291
3781|13.241
3797|11.922
3802|10.533
3803|219.212
3804|103.786
3807|21.582
3808|12.253
3809|7.718
3811|11.979
3815|10.367
3817|8.793
3818|15.528
3819|18.145
3821|168.946
3822|13.398
3824|846.806
3827|15.232
3831|14.002
3832|18.52
3836|10.496
3839|11.401
3841|20.758
3842|22.109
3843|16.799
3844|16.279
3847|12.51
3848|18.26
3849|18.95
3853|29.069
3865|34.433
3941|24.288
3954|8.978
3955|8.221
3957|21.972
3961|12.708
3962|19.881
3967|10.973
3972|9.964
3981|31.305
3982|8.472
3984|10.042
3985|17.59
3986|17.918
3987|24.742
4121|25.264
4161|12.359
4168|10.945
4169|15.26
4171|12.664
4172|14.942
4173|20.594
4174|24.134
4177|26.01
4178|15.534
4208|14.814
4214|10.401
4215|8.956
4216|11.057
4219|17.68
4224|10.667
4260|13.612
4318|13.819
5000|15.805
5001|13.805
5002|10.825
5005|10.463
5006|8.985
5007|15.34
5008|18.107
5009|13.359
5013|16.513
5014|9.717
5015|9.694
5016|15.851
5017|10.461
5018|25.579
5020|22.139
5023|120.47
5024|11.346
5026|11.533
5027|10.881
5028|29.994
5030|12.364
5031|12.682
5034|12.218
5035|11.95
5037|9.615
5038|13.132
5039|25.181
5040|12.076
5041|12.219
5042|10.692
5043|9.44
5044|17.461
5045|12.678
5047|13.688
5050|13.491
5052|12.964
5055|11.881
5056|11.128
5057|13.161
5058|21.944
5059|210.382
5061|12.805
5063|22.304
5065|15.688
5068|16.689
5069|25.551
5070|12.613
5071|20.967
5072|1215.543
5073|13.931
5075|65.368
5076|13.404
5078|17.003
5079|13.823
5081|13.879
5082|17.889
5085|15.151
5087|10.814
5088|9.963
5089|12.763
5091|13.448
5093|13.712
5094|12.063
5095|19.863
5097|11.036
5099|15.665
5102|17.265
5104|15.12
5224|22.018
5226|13.052
5972|8.95
5974|9.2
6394|20.289
6400|8.262
6405|9.304
6406|10.948
6416|9.609
6417|10.539
6418|1493.399
6419|15.842
6420|14.558
6421|14.279
6422|13.618
6423|11.514
6424|22.002
6425|22.488
6426|14.513
6428|12.648
6429|12.218
6430|7.839
6431|12.836
6433|299.326
6435|17.292
6438|21.639
6443|19.83
6446|11.774
6448|17.555
6450|39.969
6452|10.815
6458|86.259
6465|12.589
6467|11.255
6479|8.992
6480|13.071
6481|18.71
6482|15.707
6986|8.505
7061|31.841
7064|17.289
7066|1417.875
7067|14.131
7073|27.308
7079|10.916
7126|16.747
7131|7.876
7141|13.059
7144|24.913
7146|13.275
7147|22.151
7172|41.093
7192|10.875
7279|8.343
7283|10.36
7286|14.273
7287|24.917
7314|13.372
7315|20.032
7323|11.171
7324|10.129
7330|8.319
7339|14.828
7426|12.626
7439|22.541
7608|21.705
7609|10.82
8079|10.371
8159|17.451
8160|12.497
8174|11.253
8181|19.293
8214|11.35
8308|30.934
8654|31.83
8662|10.368
8663|15.339
8664|12.57
8697|14.459
8698|13.872
8714|8.524
8727|11.264
8729|15.097
8731|36.355
8734|16.632
8738|21.528
8740|52.573
8741|46.715
8742|17.221
8747|14.269
8750|13.198
8754|17.002
8774|9.567
8782|14.157
8787|27.401
8788|8.879
8794|12.044
8796|12.981
8874|27.349
8899|8.788
8901|13.686
8903|11.977
8907|19.246
8911|13.482
8912|9.017
8932|10.47
8933|22.303
8934|10.016
8935|12.13
8958|28.634
8996|15.452
9040|14.538
9041|11.462
9049|12.963
9075|31.904
9085|8.512
9086|11.473
9207|8.595
9222|8.69
9241|282.808
9244|1083.913
9245|12.487
9304|23.548
9309|14.043
9310|32.529
9311|9.987
9312|9.352
9313|10.904
9314|31.82
9315|8.933
9316|13.094
9317|9.579
9318|10.451
9319|11.854
9320|9.134
9321|10.881
9325|13.349
9333|8.703
9334|28.964
9335|12.223
9337|16.576
9338|12.002
9339|2173.38
9340|7.983
9342|14.228
9346|8.079
9353|12.531
9354|10.287
9378|10.308
9379|13.142
9385|28.665
9404|9.867
9424|10.152
9426|12.441
9430|14.325
9431|9.303
9465|14.136
9509|11.048
9511|17.739
9516|10.821
9521|11.768
9719|9.349
9720|9.417
9724|13.555
9745|12.262
9746|15.602
9748|10.861
9753|11.543
9755|8.778
9811|9.839
9812|11.132
31401|17.58
35001|13.221
35401|10.002
35403|11.934
35804|10.628
36001|15.643
36002|22.529
36004|12.668
39201|15.481
39202|33.77
39206|11.779
39207|13.269
39208|11.048
39402|11.879
39601|11.559
39602|22.243
39605|9.134
39606|80.726
42601|16.093
44001|20.228
44002|10.98
45204|16.212
47401|13.702
49212|13.201
50601|8.066
51601|12.811
54402|13.312
54403|10.366
57401|15.707
57402|6.684
57403|11.965
57601|13.893
58201|14.05
59002|14.681
60002|28.362
60604|11.609
61001|12.826
62201|158.712
62403|212.223
62404|12.966
62405|24.633
62801|12.75
63603|15.554
63604|13.231
63801|8.27
63802|10.287
63803|11.402
64203|8.797
64401|29.118
64402|36.183
64403|15.072
64404|12.065
64405|9.721
64406|22.388
64601|17.883
64801|18.586
65603|10.611
66202|24.687
66208|8.751
66209|12.918
69201|11.596
69401|11.453
76802|16.978
78602|10.26
83602|375.639
83603|26.862
84802|7.17
85001|14.424
89402|16.52
89601|21.105
89802|15.49
90001|241.84
90401|10.151
91401|10.641
91802|42.691
92201|10.668
92202|9.021
92203|10.405
92401|18.095
92402|27.579
92403|14.758
92404|22.337
92405|12.28
94005|14.587
94403|21.005
95805|9.967
99602|12.293
104001|10.905
104005|10.78
104801|8.991
104802|9.75
114401|15.732
114602|9.372
115002|19.911
115003|16.488
115007|21.036
118601|14.071
123002|9.862
124002|20.123
124401|9.908
125602|22.632
125603|13.901
125604|12.201
125605|11.356
125606|9.569
125607|9.01
125609|13.701
125610|14.103
125611|13.028
125613|15.59
125614|109.653
125615|12.543
125616|18.473
125617|10.198
125618|14.126
125619|14.634
125620|13.365
125621|4937.784
125622|1015.998
125623|16.679
125627|3383.794
125628|717.467
125629|19.211
125631|22.627
125632|16.11
125634|18.295
125636|16.19
125638|13.923
125639|20.429
125641|16.745
125644|20.206
125647|11.536
125649|14.966
125650|16.33
125653|8.56
125655|15.402
125656|30.336
125657|28.408
125662|13.163
125668|16.623
125669|17.549
126204|8.899
127001|10.415
127003|19.081
127801|18.669
127802|18.105
128201|13.917
128801|19.9
129003|9.508
129004|12.873
131803|70.449
132002|13.871
132203|9.836
133206|15.304
133207|18.822
133208|15.944
133209|17.692
133210|10.769
133212|21.579
133213|14.333
133214|28.279
133215|14.824
133222|13.548
133223|18.274
133225|11.519
133227|10.717
133228|11.249
133229|11.671
133230|19.861
133232|9.192
133235|16.621
133237|17.339
133238|21.698
133239|18.911
133240|15.008
133241|17.299
133242|11.64
133244|46.622
133245|17.031
133246|13.974
133248|16.229
133249|15.974
133250|16.215
133252|11.465
133253|60.799
133255|11.887
133256|8.628
133257|17.877
133260|14.158
133265|12.624
133266|10.089
133268|10.374
133269|18.743
133271|66.418
133272|10.036
133273|11.912
133274|9.964
133275|13.897
133276|12.896
133277|11.243
133282|10.98
133284|107.343
133285|15.237
133286|26.919
133287|39.012
133288|16.352
133289|19.46
133292|12.315
133293|10.789
133294|12.133
133295|11.136
133296|9.153
133297|11.568
133298|10.507
133299|10.555
133301|24.276
133303|21.81
133304|10.217
133305|10.554
133306|10.191
133308|19.787
133309|12.299
133311|8.923
133313|9.447
133314|16.231
133316|18.699
133318|30.825
133319|13.841
133320|25.384
133321|17.008
133322|17.032
133324|24.329
133327|17.82
133328|43.575
133331|19.625
133332|10.948
133334|9.131
133335|14.524
133336|17.668
133337|19.193
133338|12.316
133340|10.749
133341|13.614
133342|10.966
133343|16.032
133344|30.057
133345|14.486
133346|14.691
133348|13.495
133349|17.44
133350|12.231
133351|15.882
133352|11.303
133353|15.367
133354|9.879
133357|12.282
133358|13.288
133359|12.803
133361|117.85
133363|82.963
133364|64.182
133365|13.277
133367|11.807
133368|22.351
133370|13.73
133372|9.401
133376|10.288
133377|15.403
133378|13.246
133379|9.673
133380|24.116
133383|12.699
133385|40.321
133386|10.274
133387|63.889
133388|75.456
133393|11.706
133394|14.476
133396|10.943
133397|9.333
133399|16.578
133400|10.484
133401|14.481
133402|17.722
133405|9.558
133406|26.396
133407|10.868
133410|14.414
133411|10.92
133425|11.12
133426|681.914
133433|12.519
133434|16.123
133436|16.449
133437|17.307
133438|9.042
133439|25.042
133440|14.639
133441|11.613
133442|18.4
133443|8.894
133444|12.463
133447|117.518
133448|9.698
133449|18.836
133450|11.915
133451|12.218
133452|13.238
133453|10.666
133454|12.924
133455|12.602
133456|13.424
133457|7.974
133458|7.628
133459|8.702
133460|10.22
133461|9.812
133462|20.965
133463|44.353
133464|23.589
133465|11.647
133468|11.197
133469|24.227
133470|12.342
133471|11.108
133472|10.08
133473|10.647
133474|12.532
133475|10.814
133476|14.956
133477|10.614
133478|17.494
133479|51.319
133480|21.086
133481|17.756
133482|77.238
133483|15.333
133484|18.369
133485|20.716
133486|15.546
133487|40.768
133488|21.042
133489|15.072
133490|18.674
133492|20.425
133493|28.297
133494|9.963
133495|17.447
133496|10.638
133498|11.735
133499|29.552
133501|49.269
133506|14.075
133507|10.27
133508|9.257
133509|22.016
133510|79.875
133511|28.346
133513|9.414
133514|15.305
133515|9.414
133517|14.079
133518|21.213
133519|11.515
133520|124.719
133522|65.53
133523|12.299
133525|15.492
133526|11.114
133527|8.967
133528|11.123
133529|9.576
133530|7.775
133531|18.981
133533|14.207
