ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
1059,2026-01-04,552.0,430.0,122.0
1059,2026-01-05,555.0,433.0,122.0
1059,2026-01-06,570.0,445.0,126.0
1059,2026-01-07,439.0,342.0,97.0
1059,2026-01-08,400.0,312.0,88.0
1059,2026-01-09,535.0,417.0,118.0
1059,2026-01-10,535.0,417.0,118.0
1059,2026-01-11,537.0,419.0,118.0
1059,2026-01-12,538.0,419.0,119.0
1059,2026-01-13,564.0,440.0,124.0
1059,2026-01-14,438.0,341.0,96.0
1059,2026-01-15,410.0,319.0,90.0
1059,2026-01-16,533.0,415.0,117.0
1059,2026-01-17,531.0,414.0,117.0
1059,2026-01-18,534.0,417.0,118.0
1059,2026-01-19,535.0,417.0,118.0
1059,2026-01-20,563.0,439.0,124.0
1059,2026-01-21,437.0,341.0,96.0
1059,2026-01-22,410.0,320.0,90.0
1059,2026-01-23,532.0,415.0,117.0
1059,2026-01-24,531.0,414.0,117.0
1059,2026-01-25,534.0,416.0,118.0
1059,2026-01-26,534.0,416.0,118.0
1059,2026-01-27,563.0,439.0,124.0
1059,2026-01-28,437.0,340.0,96.0
1059,2026-01-29,410.0,320.0,90.0
1059,2026-01-30,532.0,415.0,117.0
1059,2026-01-31,530.0,413.0,117.0
1059,2026-02-01,533.0,416.0,118.0
1059,2026-02-02,534.0,416.0,118.0
1059,2026-02-03,562.0,438.0,124.0
1068,2026-01-04,494.0,401.0,93.0
1068,2026-01-05,519.0,421.0,98.0
1068,2026-01-06,557.0,452.0,105.0
1068,2026-01-07,557.0,452.0,105.0
1068,2026-01-08,532.0,431.0,101.0
1068,2026-01-09,563.0,457.0,106.0
1068,2026-01-10,543.0,440.0,103.0
1068,2026-01-11,491.0,398.0,93.0
1068,2026-01-12,526.0,427.0,99.0
1068,2026-01-13,565.0,458.0,107.0
1068,2026-01-14,581.0,471.0,110.0
1068,2026-01-15,566.0,459.0,107.0
1068,2026-01-16,571.0,463.0,108.0
1068,2026-01-17,551.0,447.0,104.0
1068,2026-01-18,519.0,421.0,98.0
1068,2026-01-19,514.0,417.0,97.0
1068,2026-01-20,543.0,440.0,103.0
1068,2026-01-21,552.0,448.0,104.0
1068,2026-01-22,570.0,462.0,108.0
1068,2026-01-23,601.0,487.0,114.0
1068,2026-01-24,532.0,431.0,101.0
1068,2026-01-25,469.0,380.0,89.0
1068,2026-01-26,519.0,421.0,98.0
1068,2026-01-27,547.0,444.0,103.0
1068,2026-01-28,548.0,444.0,104.0
1068,2026-01-29,554.0,449.0,105.0
1068,2026-01-30,592.0,480.0,112.0
1068,2026-01-31,530.0,430.0,100.0
1068,2026-02-01,460.0,373.0,87.0
1068,2026-02-02,513.0,416.0,97.0
1068,2026-02-03,544.0,441.0,103.0
1075,2026-01-04,211.0,178.0,33.0
1075,2026-01-05,231.0,195.0,36.0
1075,2026-01-06,209.0,176.0,33.0
1075,2026-01-07,196.0,165.0,31.0
1075,2026-01-08,193.0,163.0,30.0
1075,2026-01-09,205.0,173.0,32.0
1075,2026-01-10,228.0,192.0,36.0
1075,2026-01-11,196.0,165.0,31.0
1075,2026-01-12,201.0,170.0,31.0
1075,2026-01-13,210.0,177.0,33.0
1075,2026-01-14,223.0,188.0,35.0
1075,2026-01-15,216.0,182.0,34.0
1075,2026-01-16,256.0,216.0,40.0
1075,2026-01-17,213.0,180.0,33.0
1075,2026-01-18,195.0,165.0,30.0
1075,2026-01-19,196.0,165.0,31.0
1075,2026-01-20,213.0,180.0,33.0
1075,2026-01-21,209.0,176.0,33.0
1075,2026-01-22,203.0,171.0,32.0
1075,2026-01-23,250.0,211.0,39.0
1075,2026-01-24,227.0,192.0,35.0
1075,2026-01-25,200.0,169.0,31.0
1075,2026-01-26,203.0,171.0,32.0
1075,2026-01-27,196.0,165.0,31.0
1075,2026-01-28,200.0,169.0,31.0
1075,2026-01-29,210.0,177.0,33.0
1075,2026-01-30,250.0,211.0,39.0
1075,2026-01-31,238.0,201.0,37.0
1075,2026-02-01,183.0,154.0,29.0
1075,2026-02-02,203.0,171.0,32.0
1075,2026-02-03,207.0,175.0,32.0
