KSSS,w1,w2,w3,weights_mape_pct,ml_best_model,ml_best_mape_pct,current_mape_pct,chosen_source,chosen_model,chosen_w1,chosen_w2,chosen_w3,chosen_mape_pct
159201,0.0,0.06,0.94,12.07,RandomForest,22.802,6.618,current,current,,,,6.618
57402,0.0,1.0,0.0,240.46,HoltWinters,13.883,6.684,current,current,,,,6.684
6430,0.58,0.12,0.3,7.64,RandomForest,12.403,6.786,current,current,,,,6.786
135057,0.0,0.3,0.7,17.2,HoltWinters,13.708,7.524,current,current,,,,7.524
133458,0.41,0.08,0.51,8.28,SARIMAX,8.418,7.715,current,current,,,,7.715
133457,0.23,0.08,0.69,9.07,RandomForest,8.171,7.906,current,current,,,,7.906
2549,0.76,0.11,0.13,10.08,RandomForest,28.424,8.017,current,current,,,,8.017
2890,0.55,0.01,0.44,9.74,RandomForest,13.312,8.022,current,current,,,,8.022
50601,0.7,0.0,0.3,8.39,RandomForest,17.951,8.229,current,current,,,,8.229
133589,0.71,0.18,0.11,12.9,RandomForest,16.208,8.315,current,current,,,,8.315
125653,0.0,0.46,0.54,24.77,HoltWinters,45.36,8.38,current,current,,,,8.38
9207,0.49,0.24,0.27,9.9,RandomForest,11.201,8.44,current,current,,,,8.44
133679,0.82,0.03,0.15,9.03,RandomForest,14.624,8.515,current,current,,,,8.515
8714,0.0,0.23,0.77,16.25,RandomForest,8.698,8.524,current,current,,,,8.524
64203,0.38,0.24,0.38,11.47,SARIMAX,9.847,8.81,current,current,,,,8.81
66208,0.43,0.32,0.25,13.95,RandomForest,15.656,8.876,current,current,,,,8.876
135033,0.72,0.13,0.15,10.28,RandomForest,10.983,9.009,current,current,,,,9.009
3755,0.0,0.45,0.55,11.32,RandomForest,10.374,9.02,current,current,,,,9.02
63803,0.91,0.0,0.09,13.1,RandomForest,15.344,9.082,current,current,,,,9.082
5974,0.45,0.13,0.42,10.0,RandomForest,11.627,9.153,current,current,,,,9.153
155036,0.84,0.1,0.06,11.25,RandomForest,9.219,9.174,current,current,,,,9.174
126204,0.86,0.09,0.05,10.29,RandomForest,9.755,9.191,current,current,,,,9.191
9315,0.0,0.16,0.84,10.04,RandomForest,10.746,9.253,current,current,,,,9.253
133438,0.54,0.09,0.37,12.1,RandomForest,14.371,9.328,current,current,,,,9.328
1886,0.62,0.09,0.29,12.68,RandomForest,16.144,9.338,current,current,,,,9.338
6479,0.39,0.11,0.5,11.85,HoltWinters,9.781,9.466,current,current,,,,9.466
133313,0.43,0.16,0.41,12.66,HoltWinters,9.599,9.515,current,current,,,,9.515
133626,0.32,0.14,0.54,12.15,HoltWinters,12.28,9.613,current,current,,,,9.613
133620,0.6,0.25,0.15,11.84,HoltWinters,10.684,9.614,current,current,,,,9.614
5037,0.0,0.09,0.91,14.81,HoltWinters,11.702,9.615,current,current,,,,9.615
136911,0.22,0.02,0.76,9.73,RandomForest,12.971,9.645,current,current,,,,9.645
133232,0.56,0.02,0.42,11.32,RandomForest,12.344,9.681,current,current,,,,9.681
135058,0.35,0.2,0.45,13.95,RandomForest,11.048,9.705,current,current,,,,9.705
155013,0.75,0.07,0.18,14.7,RandomForest,10.426,9.772,current,current,,,,9.772
134145,0.6,0.28,0.12,12.03,RandomForest,15.103,9.953,current,current,,,,9.953
133529,0.55,0.05,0.4,11.46,RandomForest,15.305,9.956,current,current,,,,9.956
1963,0.8,0.0,0.2,11.52,RandomForest,14.724,9.958,current,current,,,,9.958
3972,0.01,0.19,0.8,12.85,HoltWinters,11.565,9.964,current,current,,,,9.964
7283,0.43,0.16,0.41,13.54,RandomForest,17.567,9.966,current,current,,,,9.966
35401,0.35,0.22,0.43,15.0,RandomForest,15.749,9.995,current,current,,,,9.995
133603,0.36,0.09,0.55,11.88,RandomForest,10.694,9.998,current,current,,,,9.998
1255,0.58,0.19,0.23,10.87,RandomForest,16.915,10.053,current,current,,,,10.053
136938,1.0,0.0,0.0,15.64,RandomForest,66.711,10.067,current,current,,,,10.067
133379,0.72,0.0,0.28,11.7,RandomForest,12.922,10.07,current,current,,,,10.07
135059,0.32,0.14,0.54,11.28,RandomForest,10.335,10.115,current,current,,,,10.115
155110,0.0,0.0,1.0,51.27,SARIMAX,10.969,10.168,current,current,,,,10.168
1270,0.0,0.23,0.77,12.35,SARIMAX,13.478,10.174,current,current,,,,10.174
9378,0.05,0.19,0.76,10.93,RandomForest,14.787,10.202,current,current,,,,10.202
1834,0.14,0.25,0.61,14.21,RandomForest,16.693,10.213,current,current,,,,10.213
133802,0.0,0.5,0.5,10.77,RandomForest,12.304,10.242,current,current,,,,10.242
139801,0.0,0.35,0.65,11.88,SARIMAX,12.74,10.328,current,current,,,,10.328
4216,0.81,0.07,0.12,17.61,HoltWinters,71.155,10.404,current,current,,,,10.404
136939,0.03,0.34,0.63,15.49,RandomForest,11.233,10.446,current,current,,,,10.446
133299,0.0,0.09,0.91,11.73,RandomForest,12.185,10.449,current,current,,,,10.449
78602,0.57,0.03,0.4,11.25,SARIMAX,17.919,10.464,current,current,,,,10.464
155033,0.76,0.0,0.24,12.61,RandomForest,18.858,10.465,current,current,,,,10.465
133715,0.98,0.0,0.02,11.43,HoltWinters,29.039,10.576,current,current,,,,10.576
155037,0.58,0.01,0.41,14.33,RandomForest,15.937,10.666,current,current,,,,10.666
133591,0.92,0.08,-0.0,13.7,RandomForest,11.727,10.677,current,current,,,,10.677
133696,1.0,0.0,0.0,12.38,RandomForest,12.004,10.696,current,current,,,,10.696
63802,0.89,0.0,0.11,11.6,RandomForest,14.464,10.714,current,current,,,,10.714
155095,0.31,0.02,0.67,12.1,RandomForest,15.224,10.858,current,current,,,,10.858
134153,0.62,0.17,0.21,14.13,RandomForest,12.25,10.889,current,current,,,,10.889
