ORG_KSSS|date|Чеки сутки (шт.)|Чеки день (шт.)|Чеки ночь (шт.)
1059|2026-01-05|357.0|277.0|80.0
1059|2026-01-06|296.0|230.0|66.0
1059|2026-01-07|347.0|269.0|78.0
1059|2026-01-08|430.0|334.0|96.0
1059|2026-01-09|443.0|344.0|99.0
1059|2026-01-10|329.0|255.0|74.0
1059|2026-01-11|255.0|198.0|57.0
1059|2026-01-12|476.0|369.0|107.0
1059|2026-01-13|471.0|365.0|106.0
1059|2026-01-14|459.0|356.0|103.0
1059|2026-01-15|480.0|372.0|108.0
1059|2026-01-16|485.0|376.0|109.0
1059|2026-01-17|373.0|289.0|84.0
1059|2026-01-18|280.0|217.0|63.0
1059|2026-01-19|429.0|333.0|96.0
1059|2026-01-20|461.0|358.0|103.0
1059|2026-01-21|513.0|398.0|115.0
1059|2026-01-22|487.0|378.0|109.0
1059|2026-01-23|516.0|400.0|116.0
1059|2026-01-24|342.0|265.0|77.0
1059|2026-01-25|276.0|214.0|62.0
1059|2026-01-26|423.0|328.0|95.0
1059|2026-01-27|452.0|351.0|101.0
1059|2026-01-28|417.0|323.0|94.0
1059|2026-01-29|443.0|344.0|99.0
1059|2026-01-30|477.0|370.0|107.0
1059|2026-01-31|332.0|258.0|74.0
1059|2026-02-01|302.0|234.0|68.0
1059|2026-02-02|427.0|331.0|96.0
1059|2026-02-03|435.0|337.0|98.0
1059|2026-02-04|434.0|337.0|97.0
