KSSS,MAPE_ML,ML_model,MAPE_weights,MAPE_cur,Способ прогноза,Детали прогноза
1059,7.751,SARIMAX,9.94,10.801,МЛ,SARIMAX
1060,5.629,RandomForest,6.63,7.147,МЛ,RandomForest
1062,5.092,SARIMAX,7.41,8.406,МЛ,SARIMAX
1063,12.459,SARIMAX,10.72,12.08,веса,"(0.01, 0.01, 0.98)"
1064,6.805,RandomForest,8.75,11.557,МЛ,RandomForest
1066,7.167,RandomForest,9.01,8.956,МЛ,RandomForest
1067,8.292,SARIMAX,13.06,14.612,МЛ,SARIMAX
1068,6.666,SARIMAX,10.04,11.529,МЛ,SARIMAX
1071,7.344,RandomForest,8.77,8.608,МЛ,RandomForest
1072,6.943,SARIMAX,23.13,30.395,МЛ,SARIMAX
1073,6.444,TTM,8.98,11.817,МЛ,TTM
1077,5.706,SARIMAX,9.05,12.853,МЛ,SARIMAX
1078,6.43,SARIMAX,10.06,10.37,МЛ,SARIMAX
1079,6.67,SARIMAX,88.48,38.958,МЛ,SARIMAX
1081,4.897,SARIMAX,9.2,9.473,МЛ,SARIMAX
1083,8.817,TTM,10.12,12.493,МЛ,TTM
1084,6.524,SARIMAX,8.19,9.72,МЛ,SARIMAX
1087,7.736,SARIMAX,13.65,16.217,МЛ,SARIMAX
1089,7.126,RandomForest,11.36,12.026,МЛ,RandomForest
1094,9.601,RandomForest,10.77,13.597,МЛ,RandomForest
1095,5.996,SARIMAX,12.93,13.644,МЛ,SARIMAX
1097,11.098,SARIMAX,9.29,12.241,веса,"(0.03, 0.00, 0.97)"
1101,7.659,SARIMAX,7.31,9.247,веса,"(0.07, 0.02, 0.91)"
1102,8.898,SARIMAX,9.72,12.241,МЛ,SARIMAX
1104,5.622,SARIMAX,7.7,10.267,МЛ,SARIMAX
1106,5.29,SARIMAX,7.65,8.736,МЛ,SARIMAX
1110,6.42,SARIMAX,7.24,9.591,МЛ,SARIMAX
1115,10.108,SARIMAX,18.48,21.358,МЛ,SARIMAX
1116,8.263,SARIMAX,11.46,15.454,МЛ,SARIMAX
1119,8.115,SARIMAX,14.21,15.592,МЛ,SARIMAX
1120,28.408,SARIMAX,21.62,26.68,веса,"(0.08, 0.16, 0.76)"
1121,7.075,SARIMAX,16.01,12.918,МЛ,SARIMAX
1122,8.655,SARIMAX,14.35,15.77,МЛ,SARIMAX
1252,9.048,SARIMAX,14.67,16.495,МЛ,SARIMAX
1254,5.612,SARIMAX,14.67,11.777,МЛ,SARIMAX
1255,4.246,SARIMAX,11.05,9.829,МЛ,SARIMAX
1256,7.387,RandomForest,46.03,25.516,МЛ,RandomForest
1257,6.672,SARIMAX,19.25,13.113,МЛ,SARIMAX
1259,7.503,NBEATS,9.39,14.207,МЛ,NBEATS
1260,7.345,SARIMAX,11.03,15.65,МЛ,SARIMAX
1261,7.297,RandomForest,10.35,10.491,МЛ,RandomForest
1262,8.1,SARIMAX,17.1,18.937,МЛ,SARIMAX
1263,10.943,NBEATS,14.39,14.763,МЛ,NBEATS
1264,10.216,SARIMAX,13.9,14.93,МЛ,SARIMAX
1265,15.06,TTM,36.18,58.408,МЛ,TTM
1266,4.748,NBEATS,8.06,7.924,МЛ,NBEATS
1268,6.539,SARIMAX,11.45,11.727,МЛ,SARIMAX
1269,9.0,SARIMAX,18.73,18.984,МЛ,SARIMAX
1270,8.632,NBEATS,12.19,10.174,МЛ,NBEATS
1271,94.047,SARIMAX,71.8,96.877,веса,"(1.00, 0.00, 0.00)"
1273,6.149,SARIMAX,14.31,12.182,МЛ,SARIMAX
1274,5.309,SARIMAX,10.06,11.379,МЛ,SARIMAX
1275,7.605,RandomForest,16.89,17.16,МЛ,RandomForest
1278,3.663,SARIMAX,15.26,26.631,МЛ,SARIMAX
1279,4.685,SARIMAX,7.5,9.266,МЛ,SARIMAX
1752,4.297,SARIMAX,10.36,10.793,МЛ,SARIMAX
1756,4.919,RandomForest,6.59,8.68,МЛ,RandomForest
1767,8.197,NBEATS,10.22,9.974,МЛ,NBEATS
1777,5.799,SARIMAX,7.84,9.123,МЛ,SARIMAX
1779,11.413,SARIMAX,18.3,10.636,старая,старая
1780,14.921,SARIMAX,13.48,16.45,веса,"(0.00, 0.09, 0.91)"
1781,6.094,HoltWinters,6.93,8.366,МЛ,HoltWinters
1783,12.32,SARIMAX,16.73,12.924,МЛ,SARIMAX
1785,12.654,SARIMAX,17.74,13.995,МЛ,SARIMAX
1788,8.704,SARIMAX,11.72,18.038,МЛ,SARIMAX
1789,7.376,SARIMAX,25.92,14.01,МЛ,SARIMAX
1794,6.496,RandomForest,19.03,21.873,МЛ,RandomForest
1798,12.326,SARIMAX,15.14,13.624,МЛ,SARIMAX
1801,8.883,SARIMAX,10.13,10.974,МЛ,SARIMAX
1809,9.952,SARIMAX,55.89,14.663,МЛ,SARIMAX
1810,10.931,SARIMAX,21.19,18.818,МЛ,SARIMAX
1811,11.441,RandomForest,19.81,25.121,МЛ,RandomForest
1814,6.943,TTM,9.21,10.361,МЛ,TTM
1823,7.474,SARIMAX,11.39,12.051,МЛ,SARIMAX
1827,8.571,SARIMAX,16.49,12.76,МЛ,SARIMAX
1831,22.639,SARIMAX,25.36,15.931,старая,старая
1834,7.432,SARIMAX,13.73,10.351,МЛ,SARIMAX
1835,8.474,SARIMAX,12.15,10.978,МЛ,SARIMAX
1837,8.838,SARIMAX,12.18,13.726,МЛ,SARIMAX
1845,12.607,SARIMAX,30.11,39.104,МЛ,SARIMAX
1846,6.132,SARIMAX,13.96,13.144,МЛ,SARIMAX
1855,12.689,SARIMAX,26.17,27.087,МЛ,SARIMAX
1856,95.812,SARIMAX,373.79,747.991,МЛ,SARIMAX
1858,11.305,SARIMAX,24.72,25.793,МЛ,SARIMAX
1859,9.427,SARIMAX,24.91,13.555,МЛ,SARIMAX
1861,12.902,NBEATS,14.18,14.114,МЛ,NBEATS
1862,9.01,SARIMAX,14.84,14.789,МЛ,SARIMAX
1863,8.794,SARIMAX,17.4,19.276,МЛ,SARIMAX
1864,8.895,NBEATS,16.73,11.738,МЛ,NBEATS
1867,34.6,SARIMAX,129.9,16.877,старая,старая
1873,10.174,SARIMAX,24.15,22.421,МЛ,SARIMAX
1874,7.663,SARIMAX,12.14,12.293,МЛ,SARIMAX
1875,10.571,SARIMAX,12.16,13.847,МЛ,SARIMAX
1876,5.944,RandomForest,20.05,12.771,МЛ,RandomForest
1880,8.694,SARIMAX,15.24,16.334,МЛ,SARIMAX
1883,7.045,SARIMAX,11.26,15.304,МЛ,SARIMAX
1884,8.547,SARIMAX,18.77,14.129,МЛ,SARIMAX
1885,6.949,SARIMAX,25.52,14.441,МЛ,SARIMAX
1886,7.943,SARIMAX,12.94,9.506,МЛ,SARIMAX
1888,7.658,SARIMAX,12.29,11.801,МЛ,SARIMAX
1890,6.379,SARIMAX,11.25,10.162,МЛ,SARIMAX
1892,4.721,SARIMAX,14.29,8.529,МЛ,SARIMAX
1893,5.805,SARIMAX,15.55,14.732,МЛ,SARIMAX
1894,6.368,SARIMAX,16.65,13.558,МЛ,SARIMAX
1895,7.496,SARIMAX,12.41,11.756,МЛ,SARIMAX
1897,5.369,SARIMAX,11.91,11.501,МЛ,SARIMAX
1898,20.709,SARIMAX,18.62,17.898,старая,старая
1900,5.154,SARIMAX,11.39,13.93,МЛ,SARIMAX
1904,6.603,HoltWinters,14.35,13.002,МЛ,HoltWinters
1905,4.792,SARIMAX,10.27,9.593,МЛ,SARIMAX
1907,5.608,HoltWinters,43.0,24.367,МЛ,HoltWinters
1908,5.322,SARIMAX,13.37,23.691,МЛ,SARIMAX
1909,5.782,SARIMAX,10.98,10.029,МЛ,SARIMAX
1910,10.386,SARIMAX,15.16,13.284,МЛ,SARIMAX
1911,7.87,SARIMAX,20.06,19.076,МЛ,SARIMAX
1914,5.836,SARIMAX,11.58,10.387,МЛ,SARIMAX
1915,9.693,SARIMAX,27.88,28.448,МЛ,SARIMAX
1916,6.816,SARIMAX,12.95,11.037,МЛ,SARIMAX
1917,8.35,HoltWinters,17.85,13.787,МЛ,HoltWinters
1918,5.417,SARIMAX,8.1,9.705,МЛ,SARIMAX
1919,9.245,SARIMAX,18.98,16.952,МЛ,SARIMAX
1920,5.726,SARIMAX,11.94,11.595,МЛ,SARIMAX
1921,4.669,SARIMAX,21.92,15.423,МЛ,SARIMAX
1935,8.702,TTM,153.57,35.71,МЛ,TTM
1941,7.942,SARIMAX,17.6,15.093,МЛ,SARIMAX
1943,17.642,SARIMAX,27.28,20.539,МЛ,SARIMAX
1947,4.964,SARIMAX,7.39,7.538,МЛ,SARIMAX
1948,9.392,SARIMAX,21.09,20.999,МЛ,SARIMAX
1949,4.616,SARIMAX,8.29,7.673,МЛ,SARIMAX
1954,8.933,SARIMAX,12.64,13.946,МЛ,SARIMAX
1955,4.845,SARIMAX,9.18,9.038,МЛ,SARIMAX
1956,7.38,HoltWinters,14.37,37.014,МЛ,HoltWinters
1957,7.79,SARIMAX,12.02,11.907,МЛ,SARIMAX
1960,6.65,SARIMAX,11.54,13.396,МЛ,SARIMAX
1963,6.981,SARIMAX,12.12,10.217,МЛ,SARIMAX
1964,6.747,SARIMAX,13.12,18.264,МЛ,SARIMAX
1969,4.862,SARIMAX,8.76,8.062,МЛ,SARIMAX
1973,9.287,SARIMAX,13.37,15.522,МЛ,SARIMAX
1978,12.112,SARIMAX,19.34,14.996,МЛ,SARIMAX
1992,10.864,SARIMAX,16.35,15.124,МЛ,SARIMAX
1997,9.691,TTM,14.87,13.83,МЛ,TTM
2092,5.156,HoltWinters,12.03,12.084,МЛ,HoltWinters
2118,10.313,SARIMAX,14.48,14.776,МЛ,SARIMAX
2136,9.726,SARIMAX,22.25,20.67,МЛ,SARIMAX
2147,4.677,SARIMAX,13.95,13.728,МЛ,SARIMAX
2150,4.658,SARIMAX,14.24,13.459,МЛ,SARIMAX
2153,7.216,SARIMAX,12.56,14.514,МЛ,SARIMAX
2155,98.527,SARIMAX,168.2,43.413,старая,старая
2165,6.831,SARIMAX,11.69,11.852,МЛ,SARIMAX
2177,7.926,TTM,13.82,13.526,МЛ,TTM
2190,7.586,SARIMAX,12.44,18.326,МЛ,SARIMAX
2192,6.254,SARIMAX,8.64,9.437,МЛ,SARIMAX
2193,4.484,SARIMAX,9.94,15.459,МЛ,SARIMAX
2195,42.613,SARIMAX,22.72,42.19,веса,"(0.00, 0.01, 0.99)"
2200,7.732,TTM,9.6,12.931,МЛ,TTM
2202,5.89,SARIMAX,9.57,12.655,МЛ,SARIMAX
2206,7.038,SARIMAX,8.76,10.419,МЛ,SARIMAX
2211,7.1,RandomForest,29.19,18.562,МЛ,RandomForest
2223,6.102,SARIMAX,12.25,11.864,МЛ,SARIMAX
2226,5.195,SARIMAX,8.25,9.242,МЛ,SARIMAX
2230,8.291,SARIMAX,23.67,24.803,МЛ,SARIMAX
2235,6.351,SARIMAX,8.95,11.01,МЛ,SARIMAX
2243,8.871,SARIMAX,15.46,18.176,МЛ,SARIMAX
2246,6.568,SARIMAX,12.78,15.611,МЛ,SARIMAX
2248,12.156,SARIMAX,13.18,17.646,МЛ,SARIMAX
2250,6.543,SARIMAX,9.46,10.095,МЛ,SARIMAX
2252,8.047,SARIMAX,17.09,,МЛ,SARIMAX
2263,5.452,SARIMAX,14.65,16.693,МЛ,SARIMAX
2266,11.192,SARIMAX,18.44,17.396,МЛ,SARIMAX
2271,8.936,SARIMAX,22.18,19.695,МЛ,SARIMAX
2285,17.729,SARIMAX,41.8,50.043,МЛ,SARIMAX
2287,8.088,SARIMAX,11.08,14.391,МЛ,SARIMAX
2300,8.327,SARIMAX,10.32,11.225,МЛ,SARIMAX
2301,7.668,SARIMAX,10.45,11.199,МЛ,SARIMAX
2302,6.315,SARIMAX,11.85,17.959,МЛ,SARIMAX
2307,94.401,SARIMAX,64.09,94.499,веса,"(0.00, 0.00, 1.00)"
2322,8.347,TTM,13.25,18.046,МЛ,TTM
2326,6.472,NBEATS,12.72,10.874,МЛ,NBEATS
2447,8.453,SARIMAX,15.35,15.659,МЛ,SARIMAX
2451,7.875,NBEATS,11.64,11.065,МЛ,NBEATS
2452,7.731,SARIMAX,18.35,23.266,МЛ,SARIMAX
2546,41.971,SARIMAX,70.49,63.433,МЛ,SARIMAX
2548,6.998,SARIMAX,13.67,16.019,МЛ,SARIMAX
2549,5.685,TTM,10.21,8.098,МЛ,TTM
2588,6.215,SARIMAX,8.86,10.061,МЛ,SARIMAX
2602,6.671,SARIMAX,10.52,12.055,МЛ,SARIMAX
2603,6.376,SARIMAX,14.05,17.86,МЛ,SARIMAX
2604,13.821,TTM,23.38,13.396,старая,старая
2605,5.576,SARIMAX,8.31,9.505,МЛ,SARIMAX
2606,11.34,SARIMAX,25.91,19.75,МЛ,SARIMAX
2607,7.157,SARIMAX,9.67,8.464,МЛ,SARIMAX
2608,7.906,SARIMAX,10.29,11.129,МЛ,SARIMAX
2609,7.98,SARIMAX,9.49,8.699,МЛ,SARIMAX
2610,6.838,SARIMAX,10.34,11.001,МЛ,SARIMAX
2611,9.28,SARIMAX,24.46,24.992,МЛ,SARIMAX
2612,5.518,HoltWinters,7.17,8.933,МЛ,HoltWinters
2613,6.168,SARIMAX,15.72,12.082,МЛ,SARIMAX
2614,8.02,RandomForest,11.91,14.579,МЛ,RandomForest
2615,7.588,SARIMAX,15.31,12.096,МЛ,SARIMAX
2616,7.28,TTM,13.82,13.155,МЛ,TTM
2646,7.32,RandomForest,18.59,9.139,МЛ,RandomForest
2648,9.025,SARIMAX,109.58,64.118,МЛ,SARIMAX
2649,9.886,NBEATS,11.0,10.931,МЛ,NBEATS
2651,7.89,SARIMAX,89.57,135.53,МЛ,SARIMAX
2653,6.957,RandomForest,8.49,8.796,МЛ,RandomForest
2654,9.203,SARIMAX,17.58,14.284,МЛ,SARIMAX
2660,11.243,NBEATS,11.97,12.254,МЛ,NBEATS
2662,63.141,TTM,28.48,38.269,веса,"(0.60, 0.00, 0.40)"
2664,6.735,SARIMAX,26.42,15.557,МЛ,SARIMAX
2668,8.187,SARIMAX,10.9,11.573,МЛ,SARIMAX
2674,7.814,SARIMAX,17.77,14.671,МЛ,SARIMAX
2685,10.606,SARIMAX,14.81,11.127,МЛ,SARIMAX
2707,6.919,SARIMAX,16.08,12.65,МЛ,SARIMAX
2709,8.672,SARIMAX,10.75,9.604,МЛ,SARIMAX
2711,6.081,RandomForest,8.58,10.566,МЛ,RandomForest
2713,7.301,SARIMAX,9.57,9.125,МЛ,SARIMAX
2715,6.955,SARIMAX,30.24,26.246,МЛ,SARIMAX
