КССС|MAPE, %
1059|10.821
1060|7.182
1062|8.446
1063|12.197
1064|11.542
1066|9.067
1067|14.571
1068|11.541
1071|8.622
1072|30.422
1073|11.895
1075|25.214
1077|12.945
1078|10.173
1079|38.912
1081|764.735
1083|12.289
1084|9.694
1087|16.091
1089|12.06
1094|13.362
1095|13.601
1097|12.241
1101|9.168
1102|12.434
1104|10.42
1106|8.633
1110|9.691
1115|21.325
1116|15.459
1119|15.664
1120|26.68
1121|12.737
1122|15.493
1252|16.638
1254|11.67
1255|9.808
1256|25.516
1257|13.095
1259|13.645
1260|15.72
1261|10.254
1262|18.854
1263|14.823
1264|14.187
1265|58.408
1266|12.256
1268|11.455
1269|19.188
1270|10.174
1271|97.052
1273|204.498
1274|11.149
1275|16.829
1278|26.804
1279|8.982
1751|24.102
1752|10.616
1756|8.715
1767|151.676
1777|9.325
1779|10.713
1780|15.946
1781|8.531
1783|12.851
1785|13.465
1788|18.038
1789|13.895
1794|21.573
1798|13.624
1801|10.846
1809|14.136
1810|19.149
1811|24.984
1814|10.204
1823|12.061
1827|12.627
1831|15.931
1834|10.28
1835|10.773
1837|12.973
1845|40.012
1846|13.287
1855|27.082
1856|874.905
1858|24.95
1859|13.219
1861|14.191
1862|14.59
1863|18.342
1864|11.795
1867|16.877
1873|21.647
1874|12.109
1875|13.679
1876|12.962
1880|15.984
1882|24.2
1883|15.336
1884|14.047
1885|14.37
1886|9.294
1888|11.871
1890|9.819
1891|32.988
1892|8.487
1893|14.912
1894|13.642
1895|11.749
1897|11.697
1898|17.898
1900|13.921
1904|12.926
1905|9.737
1906|13.076
1907|24.367
1908|23.691
1909|9.972
1910|13.347
1911|18.967
1914|10.243
1915|28.733
1916|11.134
1917|13.182
1918|9.595
1919|16.868
1920|11.625
1921|15.368
1935|35.448
1941|15.184
1943|21.042
1947|7.543
1948|21.112
1949|7.596
1954|13.591
1955|8.896
1956|36.731
1957|11.779
1960|13.412
1963|9.876
1964|18.364
1969|8.118
1973|15.641
1978|15.007
1992|15.118
1997|13.558
2092|12.043
2118|13.948
2136|20.429
2147|13.485
2150|13.356
2153|14.416
2155|42.694
2165|11.942
2177|13.678
2190|33.942
2192|9.102
2193|83.6
2195|42.19
2200|13.075
2202|12.862
