КССС|Веса|МАРЕ
1059|(0.07, 0.05, 0.88)|10.12
1060|(0.07, 0.00, 0.93)|6.60
1062|(0.11, 0.00, 0.89)|7.51
1063|(0.00, 0.00, 1.00)|10.78
1064|(0.07, 0.09, 0.84)|8.97
1066|(0.06, 0.00, 0.94)|9.18
1067|(0.06, 0.09, 0.85)|13.46
1068|(0.17, 0.19, 0.64)|9.51
1069|(0.60, 0.07, 0.33)|11.38
1070|(0.00, 0.05, 0.95)|11.76
1071|(0.12, 0.07, 0.81)|8.96
1072|(0.11, 0.16, 0.73)|11.08
1073|(0.00, 0.04, 0.96)|9.03
1075|(0.00, 0.69, 0.31)|279.61
1077|(0.35, 0.08, 0.57)|7.57
1078|(0.22, 0.25, 0.53)|10.11
1079|(1.00, 0.00, 0.00)|99.40
1081|(0.08, 0.00, 0.92)|8.74
1083|(0.02, 0.00, 0.98)|10.06
1084|(0.11, 0.00, 0.89)|7.56
1087|(0.34, 0.16, 0.50)|11.67
1089|(0.10, 0.31, 0.59)|11.61
1092|(0.04, 0.05, 0.91)|11.07
1094|(0.01, 0.08, 0.91)|10.64
1095|(0.00, 0.36, 0.64)|13.03
1097|(0.03, 0.00, 0.97)|8.96
1098|(0.00, 0.07, 0.93)|12.15
1101|(0.06, 0.01, 0.93)|7.33
1102|(0.03, 0.00, 0.97)|9.67
1104|(0.05, 0.05, 0.90)|7.08
1105|(0.11, 0.06, 0.83)|8.72
1106|(0.03, 0.00, 0.97)|7.63
1107|(0.15, 0.17, 0.68)|11.21
1108|(0.46, 0.07, 0.47)|15.74
1110|(0.02, 0.00, 0.98)|7.11
1112|(0.00, 0.43, 0.57)|158.77
1113|(0.00, 0.00, 1.00)|14.01
1114|(0.04, 0.09, 0.87)|7.89
1115|(0.00, 0.50, 0.50)|18.87
1116|(0.00, 0.06, 0.94)|11.81
1119|(0.07, 0.05, 0.88)|9.37
1120|(0.08, 0.16, 0.76)|21.62
1121|(0.00, 0.03, 0.97)|16.87
1122|(0.00, 0.05, 0.95)|14.71
1252|(0.02, 0.54, 0.44)|14.60
1253|(0.00, 0.83, 0.17)|16.66
1254|(0.37, 0.31, 0.32)|15.11
1255|(0.58, 0.21, 0.21)|10.89
1256|(0.01, 0.91, 0.08)|50.98
1257|(0.99, 0.01, 0.00)|19.52
1259|(0.14, 0.01, 0.85)|9.28
1260|(0.07, 0.02, 0.91)|9.53
1261|(0.16, 0.04, 0.80)|10.03
1262|(0.27, 0.31, 0.42)|18.42
1263|(0.63, 0.03, 0.34)|14.55
1264|(0.47, 0.17, 0.36)|13.90
1265|(0.00, 0.41, 0.59)|36.18
1266|(0.37, 0.25, 0.38)|8.31
1268|(0.32, 0.09, 0.59)|11.45
1269|(0.97, 0.00, 0.03)|18.64
1270|(0.00, 0.22, 0.78)|11.92
1271|(0.75, 0.04, 0.21)|17.00
1273|(0.30, 0.00, 0.70)|170.67
1274|(0.67, 0.06, 0.27)|10.21
1275|(0.42, 0.18, 0.40)|17.88
1278|(0.76, 0.00, 0.24)|15.96
1279|(0.58, 0.00, 0.42)|7.48
1751|(0.25, 0.22, 0.53)|32.71
1752|(0.41, 0.11, 0.48)|10.15
1756|(0.03, 0.06, 0.91)|6.58
1765|(0.77, 0.09, 0.14)|13.68
1767|(1.00, 0.00, 0.00)|99.27
1768|(0.15, 0.00, 0.85)|8.69
1770|(0.86, 0.07, 0.07)|14.05
1772|(0.00, 0.21, 0.79)|16.15
1774|(0.00, 0.35, 0.65)|11.29
1775|(1.00, 0.00, 0.00)|44.41
1776|(0.46, 0.17, 0.37)|12.69
1777|(0.10, 0.04, 0.86)|7.87
1779|(0.92, 0.01, 0.07)|18.52
1780|(0.00, 0.09, 0.91)|12.66
1781|(0.03, 0.01, 0.96)|6.96
1783|(0.91, 0.00, 0.09)|16.78
1785|(0.00, 0.40, 0.60)|17.45
1788|(0.66, 0.27, 0.07)|12.13
1789|(0.28, 0.20, 0.52)|27.66
1791|(0.17, 0.83, 0.00)|70.56
1794|(0.37, 0.04, 0.59)|20.12
1798|(0.20, 0.00, 0.80)|14.48
1801|(0.07, 0.00, 0.93)|10.41
1803|(0.04, 0.33, 0.63)|21.64
1805|(0.30, 0.70, 0.00)|60.38
1808|(0.80, 0.00, 0.20)|15.95
1809|(0.00, 0.35, 0.65)|60.89
1810|(0.38, 0.43, 0.19)|21.86
1811|(0.51, 0.09, 0.40)|19.97
1814|(0.40, 0.06, 0.54)|9.22
1822|(0.00, 0.77, 0.23)|51.09
