АЗС,Лучшая модель,MAPE
134190,HoltWinters,13.486
134039,RandomForest,13.519
92404,HoltWinters,13.532
128801,HoltWinters,13.611
155102,SARIMAX,13.632
135028,RandomForest,13.68
3320,HoltWinters,13.68
133320,HoltWinters,13.792
1973,HoltWinters,13.808
125641,SARIMAX,13.835
155134,HoltWinters,13.845
165212,RandomForest,13.933
3495,RandomForest,13.959
134036,RandomForest,13.989
133335,HoltWinters,14.015
133349,RandomForest,14.069
135031,HoltWinters,14.077
155019,RandomForest,14.091
3961,SARIMAX,14.105
133604,HoltWinters,14.108
3367,RandomForest,14.133
1863,RandomForest,14.15
133517,SARIMAX,14.177
5020,RandomForest,14.194
135016,SARIMAX,14.213
135015,SARIMAX,14.217
3832,RandomForest,14.239
1978,HoltWinters,14.26
133649,RandomForest,14.299
3355,HoltWinters,14.299
133774,HoltWinters,14.396
1783,HoltWinters,14.408
64404,HoltWinters,14.42
155081,RandomForest,14.447
7439,SARIMAX,14.494
3985,SARIMAX,14.551
163405,RandomForest,14.574
155053,HoltWinters,14.656
163406,RandomForest,14.697
9049,RandomForest,14.84
133434,HoltWinters,14.879
133214,HoltWinters,15.002
155125,RandomForest,15.007
134157,RandomForest,15.007
155117,HoltWinters,15.071
155122,SARIMAX,15.097
63603,RandomForest,15.097
2153,HoltWinters,15.1
135802,RandomForest,15.125
170009,HoltWinters,15.236
2307,RandomForest,15.282
133463,HoltWinters,15.304
155008,SARIMAX,15.338
134197,SARIMAX,15.414
163624,HoltWinters,15.426
133812,RandomForest,15.45
155126,RandomForest,15.451
104005,HoltWinters,15.457
125639,SARIMAX,15.56
1264,HoltWinters,15.606
3054,HoltWinters,15.665
133237,HoltWinters,15.676
135041,HoltWinters,15.699
133303,SARIMAX,15.729
83603,RandomForest,15.755
133547,SARIMAX,15.759
3173,SARIMAX,15.761
155090,SARIMAX,15.805
5053,RandomForest,15.832
155027,SARIMAX,15.846
6425,SARIMAX,15.862
155080,RandomForest,15.873
160030,RandomForest,15.884
9385,SARIMAX,15.961
6443,RandomForest,16.02
150210,HoltWinters,16.063
155060,RandomForest,16.106
114401,HoltWinters,16.195
134068,RandomForest,16.458
8734,HoltWinters,16.467
134156,HoltWinters,16.571
155095,SARIMAX,16.669
160032,SARIMAX,16.674
151802,RandomForest,16.768
133711,RandomForest,16.862
155016,RandomForest,16.905
155051,HoltWinters,16.968
136807,RandomForest,16.974
125623,RandomForest,17.002
155107,SARIMAX,17.113
155133,HoltWinters,17.173
60002,RandomForest,17.175
169013,SARIMAX,17.181
169014,SARIMAX,17.328
6448,RandomForest,17.455
134024,HoltWinters,17.49
155079,HoltWinters,17.519
155011,RandomForest,17.705
5007,RandomForest,17.742
135075,HoltWinters,17.807
135017,RandomForest,17.816
133252,RandomForest,17.829
133336,RandomForest,17.933
3129,HoltWinters,18.122
133779,SARIMAX,18.125
155028,SARIMAX,18.146
135039,SARIMAX,18.284
6422,SARIMAX,18.288
135036,RandomForest,18.354
155113,SARIMAX,18.415
3431,HoltWinters,18.495
155109,RandomForest,18.529
155061,HoltWinters,18.614
134075,RandomForest,18.722
3209,HoltWinters,18.905
5001,RandomForest,18.953
160076,HoltWinters,19.118
6420,RandomForest,19.32
5016,SARIMAX,19.376
133346,SARIMAX,19.449
3323,HoltWinters,19.453
160053,SARIMAX,19.474
160070,SARIMAX,19.655
135040,HoltWinters,19.802
1943,SARIMAX,19.903
155121,SARIMAX,19.941
2899,HoltWinters,20.206
5075,RandomForest,20.238
163623,RandomForest,20.252
92403,HoltWinters,20.288
3218,RandomForest,20.291
9075,RandomForest,20.292
7061,RandomForest,20.505
5025,HoltWinters,20.531
158201,SARIMAX,21.229
135001,RandomForest,21.725
3962,HoltWinters,21.824
1855,RandomForest,21.955
133719,HoltWinters,22.223
155052,SARIMAX,22.617
155041,SARIMAX,22.618
134076,HoltWinters,22.68
143001,RandomForest,22.785
5013,HoltWinters,22.943
163625,RandomForest,23.212
155094,RandomForest,23.697
155091,SARIMAX,23.809
165003,SARIMAX,24.118
174801,RandomForest,24.442
133211,HoltWinters,24.593
158401,SARIMAX,24.856
155093,SARIMAX,24.877
3142,RandomForest,24.957
3140,HoltWinters,25.335
2905,HoltWinters,25.47
155031,HoltWinters,25.736
135038,RandomForest,25.793
163805,SARIMAX,26.036
133207,HoltWinters,26.202
133209,RandomForest,26.243
161203,RandomForest,26.693
125631,RandomForest,26.873
