АЗС,Лучшая модель,MAPE,error
2895,HoltWinters,8.152,
9321,HoltWinters,8.178,
1871,HoltWinters,8.182,
2206,HoltWinters,8.188,
8932,HoltWinters,8.188,
6425,HoltWinters,8.197,
3319,HoltWinters,8.208,
1880,HoltWinters,8.219,
134123,HoltWinters,8.24,
3137,HoltWinters,8.268,
1884,HoltWinters,8.269,
1910,HoltWinters,8.272,
136906,HoltWinters,8.276,
135030,HoltWinters,8.334,
54402,HoltWinters,8.351,
133533,HoltWinters,8.364,
134071,HoltWinters,8.371,
3367,HoltWinters,8.376,
133310,HoltWinters,8.383,
5014,HoltWinters,8.388,
3048,HoltWinters,8.404,
3455,HoltWinters,8.407,
133713,HoltWinters,8.409,
133292,HoltWinters,8.422,
6444,HoltWinters,8.436,
134177,HoltWinters,8.436,
115002,HoltWinters,8.459,
1264,HoltWinters,8.496,
133784,HoltWinters,8.502,
3545,HoltWinters,8.542,
160061,HoltWinters,8.568,
5007,HoltWinters,8.581,
4090,HoltWinters,8.584,
134178,HoltWinters,8.61,
4224,HoltWinters,8.631,
6480,HoltWinters,8.645,
3139,HoltWinters,8.65,
133494,HoltWinters,8.673,
66201,HoltWinters,8.675,
1776,HoltWinters,8.737,
133732,HoltWinters,8.752,
3031,HoltWinters,8.809,
1973,HoltWinters,8.824,
133462,HoltWinters,8.825,
2649,HoltWinters,8.831,
150601,HoltWinters,8.915,
125649,HoltWinters,8.927,
5001,HoltWinters,8.945,
133808,HoltWinters,8.962,
133305,HoltWinters,8.975,
133547,HoltWinters,8.977,
3057,HoltWinters,8.981,
8933,HoltWinters,8.993,
133523,HoltWinters,8.998,
133294,HoltWinters,9.034,
1887,HoltWinters,9.043,
3156,HoltWinters,9.044,
125666,HoltWinters,9.077,
155051,HoltWinters,9.081,
3341,HoltWinters,9.118,
133453,HoltWinters,9.122,
123401,HoltWinters,9.146,
133440,HoltWinters,9.155,
133410,HoltWinters,9.165,
5080,HoltWinters,9.167,
133216,HoltWinters,9.167,
133442,HoltWinters,9.204,
2902,HoltWinters,9.209,
134125,HoltWinters,9.216,
3064,HoltWinters,9.23,
134151,HoltWinters,9.235,
2610,HoltWinters,9.237,
1261,HoltWinters,9.251,
8874,HoltWinters,9.292,
5028,HoltWinters,9.381,
91802,HoltWinters,9.386,
133238,HoltWinters,9.387,
129004,HoltWinters,9.403,
3454,HoltWinters,9.473,
1863,HoltWinters,9.475,
4171,HoltWinters,9.479,
3210,HoltWinters,9.488,
1898,HoltWinters,9.503,
133780,HoltWinters,9.565,
1975,HoltWinters,9.585,
134032,HoltWinters,9.588,
6422,HoltWinters,9.594,
133313,HoltWinters,9.599,
2907,HoltWinters,9.6,
134048,HoltWinters,9.602,
1252,HoltWinters,9.617,
134064,HoltWinters,9.619,
3447,HoltWinters,9.772,
6479,HoltWinters,9.781,
135020,HoltWinters,9.805,
4161,HoltWinters,9.827,
3142,HoltWinters,9.833,
133593,HoltWinters,9.847,
133370,HoltWinters,9.879,
6435,HoltWinters,9.881,
172816,HoltWinters,9.918,
134124,HoltWinters,9.934,
89601,HoltWinters,9.984,
133578,HoltWinters,9.988,
133345,HoltWinters,10.008,
135026,HoltWinters,10.008,
133801,HoltWinters,10.035,
3985,HoltWinters,10.07,
135010,HoltWinters,10.12,
133258,HoltWinters,10.132,
133337,HoltWinters,10.175,
7172,HoltWinters,10.178,
160046,HoltWinters,10.188,
1108,HoltWinters,10.203,
1775,HoltWinters,10.204,
2200,HoltWinters,10.207,
1974,HoltWinters,10.212,
5070,HoltWinters,10.212,
170804,HoltWinters,10.259,
133264,HoltWinters,10.277,
6447,HoltWinters,10.367,
133223,HoltWinters,10.382,
2735,HoltWinters,10.459,
133246,HoltWinters,10.526,
133811,HoltWinters,10.534,
160023,HoltWinters,10.605,
3275,HoltWinters,10.673,
133620,HoltWinters,10.684,
136807,HoltWinters,10.696,
2901,HoltWinters,10.761,
155044,HoltWinters,10.761,
133452,HoltWinters,10.787,
5049,HoltWinters,10.798,
133341,HoltWinters,10.807,
7146,HoltWinters,10.816,
3317,HoltWinters,10.832,
133230,HoltWinters,10.844,
135051,HoltWinters,10.854,
1828,HoltWinters,10.855,
1846,HoltWinters,10.887,
2118,HoltWinters,10.891,
133403,HoltWinters,10.938,
3065,HoltWinters,10.975,
134148,HoltWinters,10.983,
4173,HoltWinters,11.044,
133582,HoltWinters,11.078,
133539,HoltWinters,11.125,
1873,HoltWinters,11.213,
133222,HoltWinters,11.234,
123002,HoltWinters,11.241,
3766,HoltWinters,11.274,
135054,HoltWinters,11.351,
2150,HoltWinters,11.423,
3456,HoltWinters,11.465,
125615,HoltWinters,11.471,
3431,HoltWinters,11.53,
133451,HoltWinters,11.535,
3972,HoltWinters,11.565,
3814,HoltWinters,11.599,
133803,HoltWinters,11.658,
1915,HoltWinters,11.698,
5037,HoltWinters,11.702,
5048,HoltWinters,11.711,
133282,HoltWinters,11.725,
133716,HoltWinters,11.744,
2743,HoltWinters,11.745,
134021,HoltWinters,11.83,
134011,HoltWinters,11.928,
160027,HoltWinters,11.964,
133340,HoltWinters,12.01,
134173,HoltWinters,12.081,
133328,HoltWinters,12.097,
133208,HoltWinters,12.116,
155059,HoltWinters,12.126,
3309,HoltWinters,12.22,
133626,HoltWinters,12.28,
3803,HoltWinters,12.336,
143602,HoltWinters,12.341,
133804,HoltWinters,12.348,
5534,HoltWinters,12.352,
133393,HoltWinters,12.379,
165212,HoltWinters,12.387,
1079,HoltWinters,12.423,
9467,HoltWinters,12.512,
133792,HoltWinters,12.556,
3000,HoltWinters,12.575,
57601,HoltWinters,12.611,
159203,HoltWinters,12.635,
5082,HoltWinters,12.67,
4169,HoltWinters,12.701,
133744,HoltWinters,12.724,
155108,HoltWinters,12.798,
2211,HoltWinters,12.813,
160070,HoltWinters,12.839,
1812,HoltWinters,12.886,
133791,HoltWinters,12.9,
133514,HoltWinters,12.957,
1954,HoltWinters,13.033,
1875,HoltWinters,13.079,
2606,HoltWinters,13.107,
3401,HoltWinters,13.186,
133554,HoltWinters,13.217,
171803,HoltWinters,13.222,
133276,HoltWinters,13.239,
133316,HoltWinters,13.29,
155041,HoltWinters,13.292,
133395,HoltWinters,13.296,
9749,HoltWinters,13.338,
173402,HoltWinters,13.404,
2452,HoltWinters,13.434,
1893,HoltWinters,13.51,
133226,HoltWinters,13.512,
135057,HoltWinters,13.708,
133712,HoltWinters,13.72,
57402,HoltWinters,13.883,
83603,HoltWinters,13.976,
134059,HoltWinters,14.05,
4999,HoltWinters,14.103,
134168,HoltWinters,14.107,
133783,HoltWinters,14.209,
3170,HoltWinters,14.258,
2899,HoltWinters,14.259,
8907,HoltWinters,14.289,
9516,HoltWinters,14.3,
3827,HoltWinters,14.305,
133522,HoltWinters,14.356,
155115,HoltWinters,14.372,
133209,HoltWinters,14.562,
1827,HoltWinters,14.59,
133491,HoltWinters,14.632,
5075,HoltWinters,14.68,
