ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
1059,2025-11-10,552.0,429.0,123.0
1059,2025-11-11,428.0,332.0,95.0
1059,2025-11-12,400.0,311.0,89.0
1059,2025-11-13,521.0,405.0,116.0
1059,2025-11-14,523.0,407.0,117.0
1059,2025-11-15,517.0,402.0,115.0
1059,2025-11-16,519.0,403.0,116.0
1059,2025-11-17,549.0,426.0,122.0
1059,2025-11-18,423.0,329.0,94.0
1059,2025-11-19,398.0,309.0,89.0
1059,2025-11-20,518.0,403.0,115.0
1059,2025-11-21,517.0,402.0,115.0
1059,2025-11-22,517.0,402.0,115.0
1059,2025-11-23,518.0,402.0,115.0
1059,2025-11-24,547.0,425.0,122.0
1059,2025-11-25,421.0,327.0,94.0
1059,2025-11-26,396.0,308.0,88.0
1059,2025-11-27,517.0,401.0,115.0
1059,2025-11-28,515.0,400.0,115.0
1059,2025-11-29,516.0,401.0,115.0
1059,2025-11-30,516.0,401.0,115.0
1059,2025-12-01,546.0,424.0,122.0
1059,2025-12-02,420.0,326.0,93.0
1059,2025-12-03,395.0,307.0,88.0
1059,2025-12-04,516.0,401.0,115.0
1059,2025-12-05,514.0,400.0,115.0
1059,2025-12-06,516.0,401.0,115.0
1059,2025-12-07,516.0,401.0,115.0
1059,2025-12-08,545.0,423.0,121.0
1059,2025-12-09,419.0,326.0,93.0
1059,2025-12-10,395.0,307.0,88.0
1060,2025-11-10,1529.0,1117.0,412.0
1060,2025-11-11,1599.0,1168.0,431.0
1060,2025-11-12,1608.0,1174.0,433.0
1060,2025-11-13,1613.0,1178.0,435.0
1060,2025-11-14,1716.0,1254.0,463.0
1060,2025-11-15,1538.0,1123.0,415.0
1060,2025-11-16,1462.0,1068.0,394.0
1060,2025-11-17,1565.0,1143.0,422.0
1060,2025-11-18,1564.0,1143.0,422.0
1060,2025-11-19,1572.0,1148.0,424.0
1060,2025-11-20,1584.0,1157.0,427.0
1060,2025-11-21,1685.0,1231.0,454.0
1060,2025-11-22,1514.0,1106.0,408.0
1060,2025-11-23,1419.0,1036.0,383.0
1060,2025-11-24,1551.0,1133.0,418.0
1060,2025-11-25,1558.0,1138.0,420.0
1060,2025-11-26,1563.0,1142.0,421.0
1060,2025-11-27,1568.0,1145.0,423.0
1060,2025-11-28,1701.0,1242.0,459.0
1060,2025-11-29,1493.0,1090.0,402.0
1060,2025-11-30,1402.0,1024.0,378.0
1060,2025-12-01,1520.0,1110.0,410.0
1060,2025-12-02,1569.0,1146.0,423.0
1060,2025-12-03,1595.0,1165.0,430.0
1060,2025-12-04,1612.0,1178.0,435.0
1060,2025-12-05,1721.0,1257.0,464.0
1060,2025-12-06,1472.0,1075.0,397.0
1060,2025-12-07,1381.0,1009.0,372.0
1060,2025-12-08,1547.0,1130.0,417.0
1060,2025-12-09,1594.0,1165.0,430.0
1060,2025-12-10,1621.0,1184.0,437.0
1062,2025-11-10,1309.0,1021.0,288.0
1062,2025-11-11,1167.0,910.0,257.0
1062,2025-11-12,1028.0,802.0,226.0
1062,2025-11-13,1172.0,914.0,258.0
1062,2025-11-14,1208.0,942.0,266.0
1062,2025-11-15,1221.0,952.0,269.0
