ORG_KSSS,date,Прогноз,Чеки дневные,Чеки ночные
1059,2025-11-17,552.0,430.0,122.0
1059,2025-11-18,428.0,333.0,95.0
1059,2025-11-19,400.0,311.0,89.0
1059,2025-11-20,521.0,406.0,116.0
1059,2025-11-21,523.0,407.0,116.0
1059,2025-11-22,517.0,402.0,115.0
1059,2025-11-23,519.0,404.0,115.0
1059,2025-11-24,549.0,427.0,122.0
1059,2025-11-25,423.0,329.0,94.0
1059,2025-11-26,398.0,310.0,88.0
1059,2025-11-27,518.0,403.0,115.0
1059,2025-11-28,517.0,402.0,114.0
1059,2025-11-29,517.0,403.0,115.0
1059,2025-11-30,518.0,403.0,115.0
1059,2025-12-01,547.0,426.0,121.0
1059,2025-12-02,421.0,327.0,93.0
1059,2025-12-03,396.0,309.0,88.0
1059,2025-12-04,517.0,402.0,114.0
1059,2025-12-05,515.0,401.0,114.0
1059,2025-12-06,516.0,402.0,114.0
1059,2025-12-07,516.0,402.0,114.0
1059,2025-12-08,546.0,425.0,121.0
1059,2025-12-09,420.0,327.0,93.0
1059,2025-12-10,395.0,308.0,88.0
1059,2025-12-11,516.0,401.0,114.0
1059,2025-12-12,514.0,400.0,114.0
1059,2025-12-13,516.0,401.0,114.0
1059,2025-12-14,516.0,401.0,114.0
1059,2025-12-15,545.0,424.0,121.0
1059,2025-12-16,419.0,326.0,93.0
1059,2025-12-17,395.0,307.0,87.0
1060,2025-11-17,1535.0,1120.0,414.0
1060,2025-11-18,1592.0,1162.0,430.0
1060,2025-11-19,1599.0,1168.0,432.0
1060,2025-11-20,1608.0,1174.0,434.0
1060,2025-11-21,1708.0,1247.0,461.0
1060,2025-11-22,1531.0,1117.0,413.0
1060,2025-11-23,1453.0,1061.0,392.0
1060,2025-11-24,1552.0,1133.0,419.0
1060,2025-11-25,1557.0,1137.0,420.0
1060,2025-11-26,1567.0,1144.0,423.0
1060,2025-11-27,1579.0,1152.0,426.0
1060,2025-11-28,1691.0,1235.0,456.0
1060,2025-11-29,1507.0,1100.0,407.0
1060,2025-11-30,1422.0,1038.0,384.0
1060,2025-12-01,1506.0,1099.0,406.0
1060,2025-12-02,1571.0,1147.0,424.0
1060,2025-12-03,1604.0,1171.0,433.0
1060,2025-12-04,1617.0,1181.0,437.0
1060,2025-12-05,1725.0,1260.0,466.0
1060,2025-12-06,1497.0,1093.0,404.0
1060,2025-12-07,1390.0,1015.0,375.0
1060,2025-12-08,1546.0,1129.0,417.0
1060,2025-12-09,1592.0,1163.0,430.0
1060,2025-12-10,1621.0,1183.0,437.0
1060,2025-12-11,1625.0,1187.0,439.0
1060,2025-12-12,1708.0,1247.0,461.0
1060,2025-12-13,1499.0,1095.0,405.0
1060,2025-12-14,1404.0,1025.0,379.0
1060,2025-12-15,1554.0,1135.0,419.0
1060,2025-12-16,1602.0,1169.0,432.0
1060,2025-12-17,1624.0,1186.0,438.0
