КССС|MAPE, %
1059|11.411
1060|7.287
1062|8.025
1063|12.758
1064|11.95
1066|9.215
1067|15.453
1068|12.079
1071|9.162
1072|46.917
1073|12.25
1075|25.214
1077|14.843
1078|10.779
1079|37.881
1081|9.624
1083|13.085
1084|10.161
1087|17.56
1089|10.903
1094|13.787
1095|14.087
1097|12.241
1101|9.528
1102|12.133
1104|11.665
1106|9.027
1110|10.014
1115|21.983
1116|16.043
1119|8.269
1120|26.68
1121|13.307
1122|16.175
1252|17.226
1254|11.634
1255|10.053
1256|25.516
1257|13.829
1259|14.102
1260|18.514
1261|10.338
1262|19.548
1263|15.242
1264|14.619
1265|58.408
1266|8.235
1268|12.492
1269|19.96
1270|10.174
1271|88.373
1273|217.393
1274|11.84
1275|17.244
1278|28.579
1279|9.436
1751|24.102
1752|10.713
1756|8.472
1767|165.56
1777|8.943
1779|11.272
1780|15.447
1781|8.458
1783|13.305
1785|12.932
1788|18.038
1789|14.41
1794|23.35
1798|13.624
1801|11.249
1809|16.553
1810|19.861
1811|26.034
1814|10.525
1823|12.014
1827|12.283
1831|15.931
1834|10.213
1835|10.826
1837|13.581
1845|39.667
1846|13.694
1855|22.222
1856|277.882
1858|21.143
1859|13.49
1861|13.012
1862|14.969
1863|19.347
1864|12.18
1867|16.877
1873|18.175
1874|11.551
1875|14.994
1876|11.478
1880|16.216
1882|24.2
1883|15.842
1884|14.449
1885|15.158
1886|9.338
1888|12.489
1890|10.251
1891|32.988
1892|8.743
1893|15.133
1894|13.999
1895|10.563
1897|11.38
1898|17.898
1900|14.749
1904|13.35
1905|9.837
1906|13.076
1907|24.367
1908|23.691
1909|10.523
1910|14.167
1911|20.308
1914|10.786
1915|29.613
1916|11.572
1917|14.204
1918|10.144
1919|17.823
1920|9.982
1921|15.899
1935|37.196
1941|15.857
1943|20.165
1947|7.675
1948|21.147
1949|7.685
1954|13.886
1955|8.866
1956|39.825
1957|12.075
1960|11.915
1963|9.958
1964|19.381
1969|8.361
1973|15.681
1978|14.778
1992|15.638
1997|13.865
2092|12.791
2118|14.677
2136|21.79
2147|13.765
2150|14.462
2153|14.223
2155|47.761
2165|12.135
2177|14.302
2190|34.886
2192|9.31
2193|90.901
2195|42.19
2200|13.339
2202|13.099
2206|9.979
2211|16.879
2223|11.237
2226|9.719
2230|26.496
2235|11.058
2243|19.243
2246|15.079
2248|18.718
2250|10.086
2263|16.744
2266|17.438
2271|20.909
2285|52.58
2287|96.407
2300|11.815
2301|10.546
2302|19.294
2307|152.897
2322|17.697
2326|11.204
2447|15.1
2451|10.843
2452|24.212
2546|63.433
2548|10.214
2549|8.017
2588|10.765
2602|12.063
2603|18.405
2604|13.724
2605|9.454
2606|61.539
2607|8.691
2608|11.583
2609|8.769
2610|10.927
2611|22.49
2612|9.161
2613|12.461
2614|14.069
2615|12.977
2616|13.677
2646|8.475
2648|56.846
2649|11.065
2651|676.168
2653|9.184
2654|14.877
2660|12.405
2662|38.676
2664|16.141
2668|12.363
2674|15.098
2685|11.629
2707|13.281
2709|10.011
2711|11.163
